date,value1,value2
2011-01-01,55.98,48.43
2011-02-01,53.74,46.47
2011-03-01,60.39,51.41
2011-04-01,57.23,50.88
2011-05-01,57.01,50.27
2011-06-01,58.25,50.82
2011-07-01,55.09,47.96
2011-08-01,54.06,47.36
2011-09-01,53.64,48.32
2011-10-01,56.05,46.83
2011-11-01,58.15,46.15
2011-12-01,56.04,43.54
2012-01-01,54.43,42.17
2012-02-01,65.41,49.1
2012-03-01,58.44,45.64
2012-04-01,59.94,45.91
2012-05-01,57.01,43.79
2012-06-01,55.15,42.24
2012-07-01,55.6,42.71
2012-08-01,54.53,41.21
2012-09-01,60.45,43.39
2012-10-01,64.35,47.6
2012-11-01,65.63,49
2012-12-01,65.5,49.76
2013-01-01,66.83,49.96
2013-02-01,68.88,51.44
2013-03-01,86.57,62.9
2013-04-01,69.98,51.3
2013-05-01,66.14,48.89
2013-06-01,60.47,47.31
2013-07-01,65.23,48.73
2013-08-01,64.65,47.31
2013-09-01,65.71,49.63
2013-10-01,65.08,48.22
2013-11-01,68.29,53.05
2013-12-01,69.35,50.81
2014-01-01,65.1,47.67
2014-02-01,58.86,45.15
2014-03-01,56.53,44.41
2014-04-01,49.89,41.77
2014-05-01,45.33,39.62
2014-06-01,39.5,36.67
2014-07-01,37.51,35.46
2014-08-01,40.61,37.95
2014-09-01,48.43,43.28
2014-10-01,50.42,44.81
2014-11-01,54.84,48.43
2014-12-01,53.62,43.96
2015-01-01,46.1,39.86
2015-02-01,50.47,42.86
2015-03-01,47.23,40.91
2015-04-01,46.86,43.97
2015-05-01,44.09,41.21
2015-06-01,43.37,41.66
2015-07-01,43.47,42.2
2015-08-01,39.69,40.86
2015-09-01,41.04,42.04
2015-10-01,39.56,40.29
2015-11-01,35.9,38.01
2015-12-01,34.03,35.07
2016-01-01,32.05,36.95
2016-02-01,29.66,33.85
2016-03-01,29.6,34.76
2016-04-01,29.44,34.37
2016-05-01,30.41,34.61
2016-06-01,34.2,37.51
2016-07-01,34.3,38.4
2016-08-01,30.36,36.51
2016-09-01,28.36,51.13
2016-10-01,42.83,56.03
2016-11-01,48.12,67.54
2016-12-01,46.53,49.87
2017-01-01,53.39,53.37
2017-02-01,51.01,49.49
2017-03-01,41.02,41.99
2017-04-01,39.73,42.1
2017-05-01,39.29,41.24
2017-06-01,34.84,39.68
2017-07-01,36.21,43.05
2017-08-01,42.57,43.34
2017-09-01,46,47.17
2017-10-01,45.4,46.68
2017-11-01,52.95,51.45
2017-12-01,58.29,56.18
2018-01-01,50.44,50.84
2018-02-01,58.96,53.68
2018-03-01,64.3,56.79
2018-04-01,50.94,50.74
2018-05-01,55.58,54.25
2018-06-01,54.97,54
2018-07-01,57.93,57.61
2018-08-01,62.83,61.94
2018-09-01,73.72,67.69
2018-10-01,66.53,64.76
2018-11-01,64.37,62.19
2018-12-01,63.74,64.32
2019-01-01,57.71,62.55
2019-02-01,47.09,50.27
2019-03-01,39.31,44.96
2019-04-01,34.98,43.87
2019-05-01,31.43,41.35
2019-06-01,27.96,39.4
2019-07-01,29.6,41.86
2019-08-01,27.75,39.62
2019-09-01,24.87,37.32
2019-10-01,25.65,37.74
2019-11-01,38.04,46.04
2019-12-01,32.14,39.94
2020-01-01,27.9,35.93
2020-02-01,23.5,32.04
2020-03-01,22.92,33.22
2020-04-01,13.75,24.01
2020-05-01,11.59,24.13
2020-06-01,13.18,28.42
2020-07-01,13.24,31.28
2020-08-01,20.22,37.88
2020-09-01,29.9,45.3
2020-10-01,38.23,44.65
2020-11-01,37.57,46.83
2020-12-01,45.69,59.57
2021-01-01,59.01,90.94
2021-02-01,45.94,56.46
2021-03-01,44.96,56.51
2021-04-01,54.77,69.38
2021-05-01,65.2,76.43
2021-06-01,72.01,79.75
2021-07-01,90.88,94.73
2021-08-01,110.04,108.33
2021-09-01,162.1,227.32
2021-10-01,213.76,191.97
2021-11-01,201.09,209.55
2021-12-01,270.96,262.52
2022-01-01,203.75,206.88
2022-02-01,187.77,166.93
