date,group,value1,value2
2006Q1,From employment to inactivity,411196.50,null
2006Q3,From employment to inactivity,468522.93,null
2007Q1,From employment to inactivity,466403.58,null
2007Q3,From employment to inactivity,447057.17,null
2008Q1,From employment to inactivity,496842.84,null
2008Q3,From employment to inactivity,441681.72,null
2009Q1,From employment to inactivity,521949.20,null
2009Q3,From employment to inactivity,484700.24,null
2010Q1,From employment to inactivity,416025.64,null
2010Q3,From employment to inactivity,524313.04,null
2011Q1,From employment to inactivity,470909.82,null
2011Q3,From employment to inactivity,487763.29,null
2012Q1,From employment to inactivity,462406.15,null
2012Q3,From employment to inactivity,456664.50,null
2013Q1,From employment to inactivity,432146.29,null
2013Q3,From employment to inactivity,485469.82,null
2014Q1,From employment to inactivity,493819.48,null
2014Q3,From employment to inactivity,527676.44,null
2015Q1,From employment to inactivity,513931.47,null
2015Q3,From employment to inactivity,524425.19,null
2016Q1,From employment to inactivity,470710.21,null
2016Q3,From employment to inactivity,582170.02,null
2017Q1,From employment to inactivity,529755.64,null
2017Q3,From employment to inactivity,528753.41,null
2018Q1,From employment to inactivity,567815.47,null
2018Q3,From employment to inactivity,512825.31,null
2019Q1,From employment to inactivity,599622.10,null
2019Q3,From employment to inactivity,537092.13,null
2020Q1,From employment to inactivity,708699.00,null
2020Q3,From employment to inactivity,640141.00,null
2021Q1,From employment to inactivity,856105.00,null
2021Q3,From employment to inactivity,642753.00,null
2006Q1,From unemployment to inactivity,102947.90,null
2006Q3,From unemployment to inactivity,114052.17,null
2007Q1,From unemployment to inactivity,118384.62,null
2007Q3,From unemployment to inactivity,93415.70,null
2008Q1,From unemployment to inactivity,111451.31,null
2008Q3,From unemployment to inactivity,115681.86,null
2009Q1,From unemployment to inactivity,140437.18,null
2009Q3,From unemployment to inactivity,154698.74,null
2010Q1,From unemployment to inactivity,143904.96,null
2010Q3,From unemployment to inactivity,158971.77,null
2011Q1,From unemployment to inactivity,136774.08,null
2011Q3,From unemployment to inactivity,147646.55,null
2012Q1,From unemployment to inactivity,143366.50,null
2012Q3,From unemployment to inactivity,135501.24,null
2013Q1,From unemployment to inactivity,160498.38,null
2013Q3,From unemployment to inactivity,167731.55,null
2014Q1,From unemployment to inactivity,200411.88,null
2014Q3,From unemployment to inactivity,136657.09,null
2015Q1,From unemployment to inactivity,136635.23,null
2015Q3,From unemployment to inactivity,172946.32,null
2016Q1,From unemployment to inactivity,170248.41,null
2016Q3,From unemployment to inactivity,131883.25,null
2017Q1,From unemployment to inactivity,135694.73,null
2017Q3,From unemployment to inactivity,120268.28,null
2018Q1,From unemployment to inactivity,152782.77,null
2018Q3,From unemployment to inactivity,106214.93,null
2019Q1,From unemployment to inactivity,131349.32,null
2019Q3,From unemployment to inactivity,133975.46,null
2020Q1,From unemployment to inactivity,186731.00,null
2020Q3,From unemployment to inactivity,188269.00,null
2021Q1,From unemployment to inactivity,203722.00,null
2021Q3,From unemployment to inactivity,196847.00,null
2006Q1,From inactivity to employment,null,204512.50
2006Q3,From inactivity to employment,null,165361.29
2007Q1,From inactivity to employment,null,188930.01
2007Q3,From inactivity to employment,null,181340.77
2008Q1,From inactivity to employment,null,201692.86
2008Q3,From inactivity to employment,null,181025.22
2009Q1,From inactivity to employment,null,162315.11
2009Q3,From inactivity to employment,null,180153.17
2010Q1,From inactivity to employment,null,215745.45
2010Q3,From inactivity to employment,null,181831.50
2011Q1,From inactivity to employment,null,168937.56
2011Q3,From inactivity to employment,null,182031.83
2012Q1,From inactivity to employment,null,206570.42
2012Q3,From inactivity to employment,null,184933.86
2013Q1,From inactivity to employment,null,217069.20
2013Q3,From inactivity to employment,null,236275.05
2014Q1,From inactivity to employment,null,247054.15
2014Q3,From inactivity to employment,null,239275.47
2015Q1,From inactivity to employment,null,206205.43
2015Q3,From inactivity to employment,null,231611.67
2016Q1,From inactivity to employment,null,235435.83
2016Q3,From inactivity to employment,null,222930.63
2017Q1,From inactivity to employment,null,267912.05
2017Q3,From inactivity to employment,null,269201.98
2018Q1,From inactivity to employment,null,235711.70
2018Q3,From inactivity to employment,null,291301.69
2019Q1,From inactivity to employment,null,239310.34
2019Q3,From inactivity to employment,null,237534.27
2020Q1,From inactivity to employment,null,221610.00
2020Q3,From inactivity to employment,null,205496.00
2021Q1,From inactivity to employment,null,168262.00
2021Q3,From inactivity to employment,null,202398.00
2006Q1,From inactivity to unemployment,null,94883.52
2006Q3,From inactivity to unemployment,null,109716.87
2007Q1,From inactivity to unemployment,null,97121.69
2007Q3,From inactivity to unemployment,null,102172.43
2008Q1,From inactivity to unemployment,null,103959.14
2008Q3,From inactivity to unemployment,null,104312.96
2009Q1,From inactivity to unemployment,null,101290.17
2009Q3,From inactivity to unemployment,null,131618.89
2010Q1,From inactivity to unemployment,null,134600.82
2010Q3,From inactivity to unemployment,null,117529.45
2011Q1,From inactivity to unemployment,null,110818.82
2011Q3,From inactivity to unemployment,null,138729.85
2012Q1,From inactivity to unemployment,null,127240.20
2012Q3,From inactivity to unemployment,null,142892.49
2013Q1,From inactivity to unemployment,null,118077.06
2013Q3,From inactivity to unemployment,null,144233.04
2014Q1,From inactivity to unemployment,null,130930.77
2014Q3,From inactivity to unemployment,null,124793.46
2015Q1,From inactivity to unemployment,null,138902.05
2015Q3,From inactivity to unemployment,null,146614.86
2016Q1,From inactivity to unemployment,null,125504.76
2016Q3,From inactivity to unemployment,null,131370.05
2017Q1,From inactivity to unemployment,null,116033.09
2017Q3,From inactivity to unemployment,null,125999.02
2018Q1,From inactivity to unemployment,null,130095.45
2018Q3,From inactivity to unemployment,null,129326.05
2019Q1,From inactivity to unemployment,null,122510.75
2019Q3,From inactivity to unemployment,null,141018.36
2020Q1,From inactivity to unemployment,null,141363.00
2020Q3,From inactivity to unemployment,null,135601.00
2021Q1,From inactivity to unemployment,null,162021.00
2021Q3,From inactivity to unemployment,null,150264.00
