date,metric,value
2000,$ billion,1.34
2001,$ billion,1.32
2002,$ billion,3.18
2003,$ billion,2.9
2004,$ billion,6.91
2005,$ billion,2.53
2006,$ billion,-1.62
2007,$ billion,-5.25
2008,$ billion,-12.78
2009,$ billion,-1.74
2010,$ billion,-3.02
2011,$ billion,-10.23
2012,$ billion,-14.34
2013,$ billion,-16.52
2014,$ billion,-4.6
2015,$ billion,5.04
2016,$ billion,-1.87
2017,$ billion,-3.47
2018,$ billion,-6.43
2019,$ billion,-4.12
2020,$ billion,5.27
2021,$ billion,-2.64
2000,% GDP,4.1
2001,% GDP,3.4
2002,% GDP,7.2
2003,% GDP,5.6
2004,% GDP,10.3
2005,% GDP,2.8
2006,% GDP,-1.4
2007,% GDP,-3.5
2008,% GDP,-6.8
2009,% GDP,-1.4
2010,% GDP,-2.1
2011,% GDP,-6
2012,% GDP,-7.9
2013,% GDP,-8.7
2014,% GDP,-3.4
2015,% GDP,5.5
2016,% GDP,-2
2017,% GDP,-3.1
2018,% GDP,-4.9
2019,% GDP,-2.7
2020,% GDP,3.4
2021,% GDP,null
