Region,Change in payroll employment (%),,,,,
Tees Valley and Durham,-1.2,,,,,
Northumberland and Tyne and Wear,-1.7,,,,,
Cumbria,-1.8,,,,,
Greater Manchester,-2.1,,,,,
Lancashire,-1.1,,,,,
Cheshire,-1.7,,,,,
Merseyside,-1.4,,,,,
East Yorkshire and Northern Lincolnshire,-1.6,,,,,
North Yorkshire,-2.2,,,,,
South Yorkshire,-1.8,,,,,
West Yorkshire,-1.8,,,,,
Derbyshire and Nottinghamshire,-1.8,,,,,
"Leicestershire, Rutland and Northamptonshire",-1.4,,,,,
Lincolnshire,-1.8,,,,,
"Herefordshire, Worcestershire and Warwickshire",-1.9,,,,,
Shropshire and Staffordshire,-1.7,,,,,
West Midlands (county),-2.1,,,,,
East Anglia,-2,,,,,
Bedfordshire and Hertfordshire,-2.2,,,,,
Essex,-2.1,,,,,
Inner London - West,-5.4,,,,,
Inner London - East,-6.1,,,,,
Outer London - East and North East,-3.9,,,,,
Outer London - South,-3.6,,,,,
Outer London - West and North West,-5.9,,,,,
"Berkshire, Buckinghamshire and Oxfordshire",-2.9,,,,,
"Surrey, East and West Sussex",-3,,,,,
Hampshire and Isle of Wight,-2.7,,,,,
Kent,-2.1,,,,,
"Gloucestershire, Wiltshire and Bristol/Bath area",-2.5,,,,,
Dorset and Somerset,-2.2,,,,,
Cornwall and Isles of Scilly,-0.4,,,,,
Devon,-1.9,,,,,
West Wales and The Valleys,-1.6,,,,,
East Wales,-2.6,,,,,
North Eastern Scotland,-5.3,,,,,
Highlands and Islands,-2.4,,,,,
Eastern Scotland,-3,,,,,
West Central Scotland,-2.3,,,,,
Southern Scotland,-2.2,,,,,
Northern Ireland,-0.8,,,,,
UK,-2.5,,,,,
,,,,,,
,,,,,,
