Person,Percentage,Month
Lone mother,53.68896,01/04/2020
Lone mother,56.55182,01/05/2020
Lone mother,50.87524,01/06/2020
Lone mother,36.32884,01/07/2020
Lone mother,29.5208,01/09/2020
Lone mother,27.20369,01/11/2020
Father (couple),39.7697,01/04/2020
Father (couple),45.13652,01/05/2020
Father (couple),38.59221,01/06/2020
Father (couple),34.32106,01/07/2020
Father (couple),25.66558,01/09/2020
Father (couple),29.76148,01/11/2020
Mother (couple),50.75487,01/04/2020
Mother (couple),47.049,01/05/2020
Mother (couple),45.82525,01/06/2020
Mother (couple),46.54744,01/07/2020
Mother (couple),30.19788,01/09/2020
Mother (couple),32.09816,01/11/2020
