Date,Country,Employment rate
1992-04-01,Scotland,69
1992-07-01,Scotland,68
1992-10-01,Scotland,67
1993-01-01,Scotland,67
1993-04-01,Scotland,67
1993-07-01,Scotland,67
1993-10-01,Scotland,67
1994-01-01,Scotland,68
1994-04-01,Scotland,68
1994-07-01,Scotland,69
1994-10-01,Scotland,68
1995-01-01,Scotland,69
1995-04-01,Scotland,69
1995-07-01,Scotland,69
1995-10-01,Scotland,68
1996-01-01,Scotland,68
1996-04-01,Scotland,68
1996-07-01,Scotland,68
1996-10-01,Scotland,68
1997-01-01,Scotland,68
1997-04-01,Scotland,69
1997-07-01,Scotland,69
1997-10-01,Scotland,70
1998-01-01,Scotland,70
1998-04-01,Scotland,69
1998-07-01,Scotland,69
1998-10-01,Scotland,69
1999-01-01,Scotland,69
1999-04-01,Scotland,69
1999-07-01,Scotland,70
1999-10-01,Scotland,70
2000-01-01,Scotland,70
2000-04-01,Scotland,70
2000-07-01,Scotland,71
2000-10-01,Scotland,72
2001-01-01,Scotland,72
2001-04-01,Scotland,72
2001-07-01,Scotland,71
2001-10-01,Scotland,71
2002-01-01,Scotland,71
2002-04-01,Scotland,71
2002-07-01,Scotland,72
2002-10-01,Scotland,72
2003-01-01,Scotland,72
2003-04-01,Scotland,73
2003-07-01,Scotland,72
2003-10-01,Scotland,72
2004-01-01,Scotland,73
2004-04-01,Scotland,73
2004-07-01,Scotland,73
2004-10-01,Scotland,73
2005-01-01,Scotland,73
2005-04-01,Scotland,73
2005-07-01,Scotland,73
2005-10-01,Scotland,73
2006-01-01,Scotland,73
2006-04-01,Scotland,73
2006-07-01,Scotland,74
2006-10-01,Scotland,74
2007-01-01,Scotland,75
2007-04-01,Scotland,75
2007-07-01,Scotland,74
2007-10-01,Scotland,74
2008-01-01,Scotland,74
2008-04-01,Scotland,74
2008-07-01,Scotland,74
2008-10-01,Scotland,73
2009-01-01,Scotland,73
2009-04-01,Scotland,72
2009-07-01,Scotland,72
2009-10-01,Scotland,72
2010-01-01,Scotland,70
2010-04-01,Scotland,70
2010-07-01,Scotland,71
2010-10-01,Scotland,71
2011-01-01,Scotland,71
2011-04-01,Scotland,72
2011-07-01,Scotland,71
2011-10-01,Scotland,71
2012-01-01,Scotland,71
2012-04-01,Scotland,71
2012-07-01,Scotland,70
2012-10-01,Scotland,71
2013-01-01,Scotland,72
2013-04-01,Scotland,72
2013-07-01,Scotland,73
2013-10-01,Scotland,73
2014-01-01,Scotland,73
2014-04-01,Scotland,73
2014-07-01,Scotland,74
2014-10-01,Scotland,74
2015-01-01,Scotland,75
2015-04-01,Scotland,74
2015-07-01,Scotland,74
2015-10-01,Scotland,75
2016-01-01,Scotland,73
2016-04-01,Scotland,74
2016-07-01,Scotland,73
2016-10-01,Scotland,74
2017-01-01,Scotland,74
2017-04-01,Scotland,75
2017-07-01,Scotland,75
2017-10-01,Scotland,74
2018-01-01,Scotland,75
2018-04-01,Scotland,75
2018-07-01,Scotland,75
2018-10-01,Scotland,76
2019-01-01,Scotland,75
2019-04-01,Scotland,75
2019-07-01,Scotland,74
2019-10-01,Scotland,75
2020-01-01,Scotland,75
2020-04-01,Scotland,74
2020-07-01,Scotland,74
