Minority group ,Factor adjusted by,Hazard ratio,Sex 
Bangladeshi,Age,2.54,Female
Black African,Age,2.91,
Black Caribbean,Age,2.2,
Chinese,Age,1.19,
Indian,Age,1.81,
Mixed/Multiple ethnic groups,Age,1.35,
Other ethnic group,Age,1.86,
Pakistani,Age,2.55,
Bangladeshi,and Geography,1.66,
Black African,and Geography,1.9,
Black Caribbean,and Geography,1.43,
Chinese,and Geography,0.95,
Indian,and Geography,1.28,
Mixed/Multiple ethnic groups,and Geography,1.11,
Other ethnic group,and Geography,1.36,
Pakistani,and Geography,1.78,
Bangladeshi,and socio-economic,1.22,
Black African,and socio-economic,1.55,
Black Caribbean,and socio-economic,1.34,
Chinese,and socio-economic,0.99,
Indian,and socio-economic,1.23,
Mixed/Multiple ethnic groups,and socio-economic,1,
Other ethnic group,and socio-economic,1.24,
Pakistani,and socio-economic,1.51,
Bangladeshi,and health/disability,1.05,
Black African,and health/disability,1.64,
Black Caribbean,and health/disability,1.25,
Chinese,and health/disability,0.97,
Indian,and health/disability,1.05,
Mixed/Multiple ethnic groups,and health/disability,0.98,
Other ethnic group,and health/disability,1.14,
Pakistani,and health/disability,1.26,
Bangladeshi,and hospital-based comorbidity ,1.05,
Black African,and hospital-based comorbidity ,2.06,
Black Caribbean,and hospital-based comorbidity ,1.28,
Chinese,and hospital-based comorbidity ,1.23,
Indian,and hospital-based comorbidity ,1.18,
Mixed/Multiple ethnic groups,and hospital-based comorbidity ,1.04,
Other ethnic group,and hospital-based comorbidity ,1.29,
Pakistani,and hospital-based comorbidity ,1.26,
