Nation,Date,Cumulative 1st doses (%),
England,2021-02-09,19.69133135,
England,2021-02-08,19.13764362,
England,2021-02-07,18.68945989,
England,2021-02-06,18.28170293,
England,2021-02-05,17.46745041,
England,2021-02-04,16.75389972,
England,2021-02-03,16.06381805,
England,2021-02-02,15.39084869,
England,2021-02-01,14.85755822,
England,2021-01-31,14.35919591,
England,2021-01-30,13.8451177,
England,2021-01-29,12.88629706,
England,2021-01-28,12.11105535,
England,2021-01-27,11.5013351,
England,2021-01-26,11.05380338,
England,2021-01-25,10.59311765,
England,2021-01-24,10.17587892,
England,2021-01-23,9.82305831,
England,2021-01-22,9.035433624,
England,2021-01-21,8.281301597,
England,2021-01-20,7.646051454,
England,2021-01-19,7.08082108,
England,2021-01-18,6.550728507,
England,2021-01-17,6.25376808,
England,2021-01-16,5.979168071,
England,2021-01-15,5.489829163,
England,2021-01-14,4.919725547,
England,2021-01-13,4.431525447,
England,2021-01-12,4.005467625,
England,2021-01-11,3.695847072,
England,2021-01-10,3.480648031,
Northern Ireland,2021-02-09,17.61967653,
Northern Ireland,2021-02-08,16.77200902,
Northern Ireland,2021-02-07,16.02594332,
Northern Ireland,2021-02-06,15.62655947,
Northern Ireland,2021-02-05,15.30834091,
Northern Ireland,2021-02-04,14.53433999,
Northern Ireland,2021-02-03,13.92721107,
Northern Ireland,2021-02-02,13.02610227,
Northern Ireland,2021-02-01,12.32682409,
Northern Ireland,2021-01-31,11.71319984,
Northern Ireland,2021-01-30,11.33256269,
Northern Ireland,2021-01-29,10.77618187,
Northern Ireland,2021-01-28,10.35720641,
Northern Ireland,2021-01-27,9.256326482,
Northern Ireland,2021-01-26,8.879069023,
Northern Ireland,2021-01-25,8.624377993,
Northern Ireland,2021-01-24,8.430310081,
Northern Ireland,2021-01-23,8.219185316,
Northern Ireland,2021-01-22,8.15169721,
Northern Ireland,2021-01-21,7.976006341,
Northern Ireland,2021-01-20,7.61548889,
Northern Ireland,2021-01-19,7.310472221,
Northern Ireland,2021-01-18,7.015858649,
Northern Ireland,2021-01-17,6.638812421,
Northern Ireland,2021-01-16,6.357347939,
Northern Ireland,2021-01-15,6.226332296,
Northern Ireland,2021-01-14,6.050007736,
Northern Ireland,2021-01-13,5.423392814,
Northern Ireland,2021-01-12,4.827511912,
Northern Ireland,2021-01-11,4.445713,
Northern Ireland,2021-01-10,4.119256448,
Scotland,2021-02-09,18.0398111,
Scotland,2021-02-08,16.98830377,
Scotland,2021-02-07,15.86628961,
Scotland,2021-02-06,15.3618875,
Scotland,2021-02-05,14.3947248,
Scotland,2021-02-04,13.59090659,
Scotland,2021-02-03,12.70929658,
Scotland,2021-02-02,11.88406275,
Scotland,2021-02-01,11.17965332,
Scotland,2021-01-31,10.54119305,
Scotland,2021-01-30,10.36496257,
Scotland,2021-01-29,9.945820292,
Scotland,2021-01-28,9.442186957,
Scotland,2021-01-27,8.999286146,
Scotland,2021-01-26,8.458111398,
Scotland,2021-01-25,8.015302107,
Scotland,2021-01-24,7.603499716,
Scotland,2021-01-23,7.395493566,
Scotland,2021-01-22,6.967711823,
Scotland,2021-01-21,6.561126059,
Scotland,2021-01-20,6.129463877,
Scotland,2021-01-19,5.67256054,
Scotland,2021-01-18,5.20897626,
Scotland,2021-01-17,4.850383468,
Scotland,2021-01-16,4.115461351,
Scotland,2021-01-15,4.115461351,
Scotland,2021-01-14,4.115461351,
Scotland,2021-01-13,3.81101166,
Scotland,2021-01-12,3.513718815,
Scotland,2021-01-11,3.220434536,
Scotland,2021-01-10,2.990445335,
Wales,2021-02-09,20.78795285,
Wales,2021-02-08,19.94240819,
Wales,2021-02-07,19.15633299,
Wales,2021-02-06,18.70106655,
Wales,2021-02-05,17.66629801,
Wales,2021-02-04,16.5893458,
Wales,2021-02-03,15.55942997,
Wales,2021-02-02,14.66903741,
Wales,2021-02-01,13.94408095,
Wales,2021-01-31,13.20399546,
Wales,2021-01-30,12.79665347,
Wales,2021-01-29,11.9953858,
Wales,2021-01-28,11.48959411,
Wales,2021-01-27,10.65917848,
Wales,2021-01-26,9.905391231,
Wales,2021-01-25,9.184177382,
Wales,2021-01-24,8.590022008,
Wales,2021-01-23,8.39036322,
Wales,2021-01-22,7.629439633,
Wales,2021-01-21,6.734067498,
Wales,2021-01-20,6.040035155,
Wales,2021-01-19,5.576363698,
Wales,2021-01-18,5.136004268,
Wales,2021-01-17,4.812649011,
Wales,2021-01-16,4.008241357,
Wales,2021-01-15,4.008241357,
Wales,2021-01-14,4.008241357,
Wales,2021-01-13,3.583169541,
Wales,2021-01-12,3.215188404,
Wales,2021-01-11,2.893831321,
Wales,2021-01-10,2.728902695,
