Date,Conultantion type,Consultations per 1000 patients,Detail
Feb-19,Face-to-face,149.8,GP
Mar-19,Face-to-face,159.1,
Apr-19,Face-to-face,145.5,
May-19,Face-to-face,152.8,
Jun-19,Face-to-face,142.9,
Jul-19,Face-to-face,163.0,
Feb-19,Home,3.7,
Mar-19,Home,4.3,
Apr-19,Home,4.0,
May-19,Home,3.9,
Jun-19,Home,3.6,
Jul-19,Home,4.3,
Feb-19,Telephone,68.5,
Mar-19,Telephone,71.9,
Apr-19,Telephone,67.2,
May-19,Telephone,70.3,
Jun-19,Telephone,63.9,
Jul-19,Telephone,70.7,
Feb-19,Video,0.0,
Mar-19,Video,0.0,
Apr-19,Video,0.0,
May-19,Video,0.0,
Jun-19,Video,0.0,
Jul-19,Video,0.0,
Feb-19,e-consult,0.6,
Mar-19,e-consult,0.9,
Apr-19,e-consult,1.1,
May-19,e-consult,1.1,
Jun-19,e-consult,0.6,
Jul-19,e-consult,0.4,
