date,metric,value
1967-03-01,Household debt to income, 54.01 
1967-06-01,Household debt to income, 54.10 
1967-09-01,Household debt to income, 54.63 
1967-12-01,Household debt to income, 54.95 
1968-03-01,Household debt to income, 55.17 
1968-06-01,Household debt to income, 55.31 
1968-09-01,Household debt to income, 56.30 
1968-12-01,Household debt to income, 55.30 
1969-03-01,Household debt to income, 55.17 
1969-06-01,Household debt to income, 55.38 
1969-09-01,Household debt to income, 55.43 
1969-12-01,Household debt to income, 54.38 
1970-03-01,Household debt to income, 54.18 
1970-06-01,Household debt to income, 54.24 
1970-09-01,Household debt to income, 54.13 
1970-12-01,Household debt to income, 53.28 
1971-03-01,Household debt to income, 52.78 
1971-06-01,Household debt to income, 52.72 
1971-09-01,Household debt to income, 53.34 
1971-12-01,Household debt to income, 54.61 
1972-03-01,Household debt to income, 55.64 
1972-06-01,Household debt to income, 57.27 
1972-09-01,Household debt to income, 57.93 
1972-12-01,Household debt to income, 58.27 
1973-03-01,Household debt to income, 58.92 
1973-06-01,Household debt to income, 60.02 
1973-09-01,Household debt to income, 60.80 
1973-12-01,Household debt to income, 58.49 
1974-03-01,Household debt to income, 57.64 
1974-06-01,Household debt to income, 57.10 
1974-09-01,Household debt to income, 56.10 
1974-12-01,Household debt to income, 54.49 
1975-03-01,Household debt to income, 52.70 
1975-06-01,Household debt to income, 51.35 
1975-09-01,Household debt to income, 49.81 
1975-12-01,Household debt to income, 50.65 
1976-03-01,Household debt to income, 50.51 
1976-06-01,Household debt to income, 50.32 
1976-09-01,Household debt to income, 50.08 
1976-12-01,Household debt to income, 50.73 
1977-03-01,Household debt to income, 50.77 
1977-06-01,Household debt to income, 50.75 
1977-09-01,Household debt to income, 51.18 
1977-12-01,Household debt to income, 51.46 
1978-03-01,Household debt to income, 51.49 
1978-06-01,Household debt to income, 51.43 
1978-09-01,Household debt to income, 51.05 
1978-12-01,Household debt to income, 51.17 
1979-03-01,Household debt to income, 51.19 
1979-06-01,Household debt to income, 51.62 
1979-09-01,Household debt to income, 51.67 
1979-12-01,Household debt to income, 50.97 
1980-03-01,Household debt to income, 50.30 
1980-06-01,Household debt to income, 49.74 
1980-09-01,Household debt to income, 49.51 
1980-12-01,Household debt to income, 49.72 
1981-03-01,Household debt to income, 49.67 
1981-06-01,Household debt to income, 50.53 
1981-09-01,Household debt to income, 51.35 
1981-12-01,Household debt to income, 52.13 
1982-03-01,Household debt to income, 52.28 
1982-06-01,Household debt to income, 53.46 
1982-09-01,Household debt to income, 55.03 
1982-12-01,Household debt to income, 56.73 
1983-03-01,Household debt to income, 57.94 
1983-06-01,Household debt to income, 59.23 
1983-09-01,Household debt to income, 60.52 
1983-12-01,Household debt to income, 61.51 
1984-03-01,Household debt to income, 61.98 
1984-06-01,Household debt to income, 64.02 
1984-09-01,Household debt to income, 64.98 
