year,country,value,value2,,,,,
2008,Austria,0.000,0.000,,,,,Austria
2008,Belgium,0.071,7.087,,,,,Belgium
2008,Bulgaria,0.000,0.000,,,,,Bulgaria
2008,Cyprus,0.026,2.621,,,,,Cyprus
2008,Czech Republic,0.007,0.662,,,,,Czech Republic
2008,Germany,0.140,13.972,,,,,Germany
2008,Denmark,0.015,1.482,,,,,Denmark
2008,Estonia,0.000,0.003,,,,,Estonia
2008,Spain,0.000,0.000,,,,,Spain
2008,Finland,0.000,0.000,,,,,Finland
2008,France,0.000,0.000,,,,,France
2008,Greece,0.000,0.000,,,,,Greece
2008,Croatia,0.000,0.000,,,,,Croatia
2008,Hungary,0.000,0.000,,,,,Hungary
2008,Ireland,0.023,2.281,,,,,Ireland
2008,Italy,0.202,20.201,,,,,Italy
2008,Lithuania,0.000,0.000,,,,,Lithuania
2008,Luxembourg,0.000,0.000,,,,,Luxembourg
2008,Latvia,0.000,0.021,,,,,Latvia
2008,Malta,0.017,1.715,,,,,Malta
2008,Netherlands,0.087,8.679,,,,,Netherlands
2008,Poland,0.048,4.837,,,,,Poland
2008,Portugal,0.001,0.058,,,,,Portugal
2008,Romania,0.000,0.000,,,,,Romania
2008,Sweden,0.155,15.515,,,,,Sweden
2008,Slovenia,0.001,0.148,,,,,Slovenia
2008,Slovakia,0.000,0.000,,,,,Slovakia
2008,United Kingdom,0.207,20.719,,,,,United Kingdom
2009,Austria,0.000,0.000,,,,,
2009,Belgium,0.080,8.038,,,,,
2009,Bulgaria,0.000,0.000,,,,,
2009,Cyprus,0.018,1.803,,,,,
2009,Czech Republic,0.003,0.265,,,,,
2009,Germany,0.144,14.363,,,,,
2009,Denmark,0.019,1.941,,,,,
2009,Estonia,0.000,0.012,,,,,
2009,Spain,0.000,0.000,,,,,
2009,Finland,0.000,0.000,,,,,
2009,France,0.194,19.378,,,,,
2009,Greece,0.000,0.000,,,,,
2009,Croatia,0.000,0.000,,,,,
2009,Hungary,0.000,0.000,,,,,
2009,Ireland,0.013,1.306,,,,,
2009,Italy,0.087,8.685,,,,,
2009,Lithuania,0.001,0.098,,,,,
2009,Luxembourg,0.000,0.000,,,,,
2009,Latvia,0.000,0.020,,,,,
2009,Malta,0.013,1.334,,,,,
2009,Netherlands,0.080,7.992,,,,,
2009,Poland,0.055,5.467,,,,,
2009,Portugal,0.000,0.046,,,,,
2009,Romania,0.000,0.000,,,,,
2009,Sweden,0.119,11.912,,,,,
2009,Slovenia,0.001,0.069,,,,,
2009,Slovakia,0.000,0.000,,,,,
2009,United Kingdom,0.173,17.270,,,,,
2010,Austria,0.000,0.000,,,,,
2010,Belgium,0.097,9.681,,,,,
2010,Bulgaria,0.000,0.000,,,,,
2010,Cyprus,0.015,1.482,,,,,
2010,Czech Republic,0.001,0.137,,,,,
2010,Germany,0.209,20.907,,,,,
2010,Denmark,0.026,2.578,,,,,
2010,Estonia,0.000,0.014,,,,,
2010,Spain,0.012,1.198,,,,,
2010,Finland,0.000,0.000,,,,,
2010,France,0.210,21.006,,,,,
2010,Greece,0.000,0.000,,,,,
2010,Croatia,0.000,0.000,,,,,
2010,Hungary,0.000,0.000,,,,,
2010,Ireland,0.009,0.891,,,,,
2010,Italy,0.051,5.132,,,,,
2010,Lithuania,0.002,0.175,,,,,
2010,Luxembourg,0.002,0.205,,,,,
2010,Latvia,0.000,0.016,,,,,
2010,Malta,0.000,0.044,,,,,
2010,Netherlands,0.067,6.690,,,,,
2010,Poland,0.023,2.291,,,,,
2010,Portugal,0.000,0.044,,,,,
2010,Romania,0.000,0.000,,,,,
2010,Sweden,0.154,15.360,,,,,
2010,Slovenia,0.001,0.074,,,,,
2010,Slovakia,0.001,0.142,,,,,
2010,United Kingdom,0.119,11.934,,,,,
2011,Austria,0.000,0.000,,,,,
2011,Belgium,0.093,9.343,,,,,
2011,Bulgaria,0.002,0.246,,,,,
2011,Cyprus,0.007,0.677,,,,,
2011,Czech Republic,0.001,0.141,,,,,
2011,Germany,0.178,17.797,,,,,
2011,Denmark,0.015,1.494,,,,,
2011,Estonia,0.000,0.010,,,,,
2011,Spain,0.011,1.094,,,,,
2011,Finland,0.000,0.000,,,,,
2011,France,0.183,18.345,,,,,
2011,Greece,0.038,3.786,,,,,
2011,Croatia,0.000,0.000,,,,,
2011,Hungary,0.000,0.000,,,,,
2011,Ireland,0.004,0.410,,,,,
2011,Italy,0.165,16.473,,,,,
2011,Lithuania,0.002,0.153,,,,,
2011,Luxembourg,0.007,0.706,,,,,
2011,Latvia,0.001,0.099,,,,,
2011,Malta,0.007,0.749,,,,,
2011,Netherlands,0.044,4.380,,,,,
2011,Poland,0.020,1.999,,,,,
2011,Portugal,0.001,0.070,,,,,
2011,Romania,0.006,0.648,,,,,
2011,Sweden,0.109,10.881,,,,,
2011,Slovenia,0.001,0.089,,,,,
2011,Slovakia,0.001,0.110,,,,,
2011,United Kingdom,0.103,10.301,,,,,
2012,Austria,0.000,0.000,,,,,
2012,Belgium,0.064,6.391,,,,,
2012,Bulgaria,0.004,0.396,,,,,
2012,Cyprus,0.006,0.585,,,,,
2012,Czech Republic,0.001,0.136,,,,,
2012,Germany,0.241,24.106,,,,,
2012,Denmark,0.022,2.205,,,,,
2012,Estonia,0.000,0.024,,,,,
2012,Spain,0.008,0.791,,,,,
2012,Finland,0.010,0.963,,,,,
2012,France,0.177,17.676,,,,,
2012,Greece,0.037,3.670,,,,,
2012,Croatia,0.000,0.000,,,,,
2012,Hungary,0.000,0.000,,,,,
2012,Ireland,0.003,0.254,,,,,
2012,Italy,0.065,6.523,,,,,
2012,Lithuania,0.002,0.203,,,,,
2012,Luxembourg,0.006,0.648,,,,,
2012,Latvia,0.001,0.051,,,,,
2012,Malta,0.008,0.793,,,,,
2012,Netherlands,0.035,3.508,,,,,
2012,Poland,0.036,3.554,,,,,
2012,Portugal,0.001,0.065,,,,,
2012,Romania,0.009,0.908,,,,,
2012,Sweden,0.157,15.656,,,,,
2012,Slovenia,0.001,0.077,,,,,
2012,Slovakia,0.002,0.161,,,,,
2012,United Kingdom,0.107,10.657,,,,,
2013,Austria,0.000,0.000,,,,,
2013,Belgium,0.031,3.085,,,,,
2013,Bulgaria,0.019,1.927,,,,,
2013,Cyprus,0.003,0.315,,,,,
2013,Czech Republic,0.001,0.107,,,,,
2013,Germany,0.315,31.476,,,,,
2013,Denmark,0.020,2.009,,,,,
2013,Estonia,0.000,0.021,,,,,
2013,Spain,0.012,1.230,,,,,
2013,Finland,0.008,0.811,,,,,
2013,France,0.150,14.951,,,,,
2013,Greece,0.023,2.278,,,,,
2013,Croatia,0.003,0.301,,,,,
2013,Hungary,0.037,3.737,,,,,
2013,Ireland,0.002,0.209,,,,,
2013,Italy,0.077,7.725,,,,,
2013,Lithuania,0.001,0.070,,,,,
2013,Luxembourg,0.002,0.203,,,,,
2013,Latvia,0.000,0.049,,,,,
2013,Malta,0.006,0.648,,,,,
2013,Netherlands,0.027,2.723,,,,,
2013,Poland,0.042,4.227,,,,,
2013,Portugal,0.001,0.122,,,,,
2013,Romania,0.004,0.390,,,,,
2013,Sweden,0.125,12.453,,,,,
2013,Slovenia,0.000,0.043,,,,,
2013,Slovakia,0.001,0.070,,,,,
2013,United Kingdom,0.088,8.821,,,,,
2014,Austria,0.045,4.523,,,,,
2014,Belgium,0.024,2.437,,,,,
2014,Bulgaria,0.021,2.112,,,,,
2014,Cyprus,0.003,0.284,,,,,
2014,Czech Republic,0.001,0.149,,,,,
2014,Germany,0.322,32.214,,,,,
2014,Denmark,0.026,2.645,,,,,
2014,Estonia,0.000,0.019,,,,,
2014,Spain,0.011,1.053,,,,,
2014,Finland,0.006,0.627,,,,,
2014,France,0.102,10.159,,,,,
2014,Greece,0.015,1.472,,,,,
2014,Croatia,0.001,0.056,,,,,
2014,Hungary,0.039,3.926,,,,,
2014,Ireland,0.002,0.243,,,,,
2014,Italy,0.127,12.675,,,,,
2014,Lithuania,0.001,0.072,,,,,
2014,Luxembourg,0.002,0.161,,,,,
2014,Latvia,0.001,0.070,,,,,
2014,Malta,0.002,0.244,,,,,
2014,Netherlands,0.037,3.721,,,,,
2014,Poland,0.011,1.104,,,,,
2014,Portugal,0.001,0.065,,,,,
2014,Romania,0.003,0.267,,,,,
2014,Sweden,0.133,13.274,,,,,
2014,Slovenia,0.001,0.058,,,,,
2014,Slovakia,0.000,0.037,,,,,
2014,United Kingdom,0.063,6.333,,,,,
