date,country,value,
1980,England/Wales,12.6,
1981,England/Wales,12.4,
1982,England/Wales,12.3,
1983,England/Wales,12.1,
1984,England/Wales,12.8,
1985,England/Wales,13.1,
1986,England/Wales,13.5,
1987,England/Wales,14.2,
1988,England/Wales,15.3,
1989,England/Wales,15.5,
1990,England/Wales,15.8,
1991,England/Wales,15.2,
1992,England/Wales,14.8,
1993,England/Wales,14.7,
1994,England/Wales,14.6,
1995,England/Wales,14.4,
1996,England/Wales,15.7,
1997,England/Wales,15.9,
1998,England/Wales,16.6,
1999,England/Wales,16.2,
2000,England/Wales,16.3,
2001,England/Wales,16.3,
2002,England/Wales,16.2,
2003,England/Wales,16.6,
2004,England/Wales,16.9,
2005,England/Wales,17.0,
2006,England/Wales,17.5,
2007,England/Wales,17.9,
2008,England/Wales,17.6,
2009,England/Wales,17.0,
2010,England/Wales,17.1,
2011,England/Wales,17.2,
2012,England/Wales,16.4,
2013,England/Wales,16.5,
2014,England/Wales,16.5,
2015,England/Wales,17.0,
2016,England/Wales,16.6,
2017,England/Wales,17.3,
2018,England/Wales,18.0,
2019,England/Wales,18.6,
2020,England/Wales,18.9,
2021,England/Wales,19.2,
1980,Scotland,7.3,
1981,Scotland,8.2,
1982,Scotland,7.6,
1983,Scotland,7.6,
1984,Scotland,8.2,
1985,Scotland,8.2,
1986,Scotland,8.6,
1987,Scotland,8.4,
1988,Scotland,9.0,
1989,Scotland,9.1,
1990,Scotland,9.1,
1991,Scotland,9.9,
1992,Scotland,9.8,
1993,Scotland,10.0,
1994,Scotland,10.3,
1995,Scotland,10.1,
1996,Scotland,10.9,
1997,Scotland,11.1,
1998,Scotland,11.5,
1999,Scotland,11.2,
2000,Scotland,11.1,
2001,Scotland,11.3,
2002,Scotland,11.1,
2003,Scotland,11.5,
2004,Scotland,11.7,
2005,Scotland,11.9,
2006,Scotland,12.4,
2007,Scotland,12.9,
2008,Scotland,13.1,
2009,Scotland,12.4,
2010,Scotland,12.2,
2011,Scotland,11.9,
2012,Scotland,12.0,
2013,Scotland,11.5,
2014,Scotland,11.4,
2015,Scotland,11.7,
2016,Scotland,11.7,
2017,Scotland,12.2,
2018,Scotland,13.0,
2019,Scotland,13.2,
2020,Scotland,13.4,
2021,Scotland,null,
