date,region,value
2020 Q1,North East,-3.4
2020 Q2,North East,-17.3
2020 Q3,North East,15.7
2020 Q4,North East,1.6
2021 Q1,North East,-1.3
2021 Q2,North East,6.9
2021 Q3,North East,-1.2
2020 Q1,North West,-1.8
2020 Q2,North West,-19.4
2020 Q3,North West,19.3
2020 Q4,North West,0.7
2021 Q1,North West,-1.3
2021 Q2,North West,4.0
2021 Q3,North West,1.2
2020 Q1,Yorkshire & The Humber,-3.2
2020 Q2,Yorkshire & The Humber,-18.8
2020 Q3,Yorkshire & The Humber,19.2
2020 Q4,Yorkshire & The Humber,0.4
2021 Q1,Yorkshire & The Humber,-0.7
2021 Q2,Yorkshire & The Humber,6.0
2021 Q3,Yorkshire & The Humber,0.0
2020 Q1,East Midlands,-3.3
2020 Q2,East Midlands,-18.5
2020 Q3,East Midlands,19.6
2020 Q4,East Midlands,-0.8
2021 Q1,East Midlands,-1.4
2021 Q2,East Midlands,5.2
2021 Q3,East Midlands,-0.5
2020 Q1,West Midlands,-4.3
2020 Q2,West Midlands,-20.2
2020 Q3,West Midlands,16.8
2020 Q4,West Midlands,-0.3
2021 Q1,West Midlands,-1.1
2021 Q2,West Midlands,5.1
2021 Q3,West Midlands,-0.6
2020 Q1,East of England,-2.2
2020 Q2,East of England,-21.1
2020 Q3,East of England,18.8
2020 Q4,East of England,1.4
2021 Q1,East of England,0.5
2021 Q2,East of England,4.2
2021 Q3,East of England,-0.6
2020 Q1,London,-1.9
2020 Q2,London,-17.2
2020 Q3,London,13.3
2020 Q4,London,3.1
2021 Q1,London,-0.1
2021 Q2,London,4.5
2021 Q3,London,2.3
2020 Q1,South East,-3.1
2020 Q2,South East,-20.4
2020 Q3,South East,19.1
2020 Q4,South East,1.0
2021 Q1,South East,-1.3
2021 Q2,South East,4.4
2021 Q3,South East,-0.4
2020 Q1,South West,-3.2
2020 Q2,South West,-18.9
2020 Q3,South West,19.9
2020 Q4,South West,0.2
2021 Q1,South West,-0.3
2021 Q2,South West,5.2
2021 Q3,South West,0.6
