group,time,value,value2
Night time cultural & leisure activities,Night evening and day,26.15,0.2615
Activities which support night time cultural & leisure activities,Night evening and day,24.15,0.2415
24-hour health & personal social services,Night evening and day,48.33,0.4833
Activities which support wider social & economic activities,Night evening and day,25.58,0.2558
Predominantly daytime industries,Night evening and day,22.43,0.2243
Night time cultural & leisure activities,Evening and day,50.62,0.5062
Activities which support night time cultural & leisure activities,Evening and day,50.14,0.5014
24-hour health & personal social services,Evening and day,33.82,0.3382
Activities which support wider social & economic activities,Evening and day,51.94,0.5194
Predominantly daytime industries,Evening and day,67.34,0.6734
Night time cultural & leisure activities,Night and day,1.21,0.0121
Activities which support night time cultural & leisure activities,Night and day,2.37,0.0237
24-hour health & personal social services,Night and day,4.39,0.0439
Activities which support wider social & economic activities,Night and day,5.27,0.0527
Predominantly daytime industries,Night and day,2.06,0.0206
Night time cultural & leisure activities,Night and evening,4.6,0.046
Activities which support night time cultural & leisure activities,Night and evening,6.99,0.0699
24-hour health & personal social services,Night and evening,4.54,0.0454
Activities which support wider social & economic activities,Night and evening,3.76,0.0376
Predominantly daytime industries,Night and evening,2.16,0.0216
Night time cultural & leisure activities,Evening only,13.83,0.1383
Activities which support night time cultural & leisure activities,Evening only,7.9,0.079
24-hour health & personal social services,Evening only,2.36,0.0236
Activities which support wider social & economic activities,Evening only,4.79,0.0479
Predominantly daytime industries,Evening only,3.48,0.0348
Night time cultural & leisure activities,Night only,3.58,0.0358
Activities which support night time cultural & leisure activities,Night only,8.45,0.0845
24-hour health & personal social services,Night only,6.56,0.0656
Activities which support wider social & economic activities,Night only,8.65,0.0865
Predominantly daytime industries,Night only,2.53,0.0253
