date,measure,value
2013-01-01,IPHRP,2.5
2013-02-01,IPHRP,2.4
2013-03-01,IPHRP,2.4
2013-04-01,IPHRP,2.2
2013-05-01,IPHRP,2.2
2013-06-01,IPHRP,2.2
2013-07-01,IPHRP,2.1
2013-08-01,IPHRP,2.1
2013-09-01,IPHRP,1.9
2013-10-01,IPHRP,1.8
2013-11-01,IPHRP,1.8
2013-12-01,IPHRP,1.7
2014-01-01,IPHRP,1.7
2014-02-01,IPHRP,1.6
2014-03-01,IPHRP,1.6
2014-04-01,IPHRP,1.6
2014-05-01,IPHRP,1.5
2014-06-01,IPHRP,1.5
2014-07-01,IPHRP,1.5
2014-08-01,IPHRP,1.4
2014-09-01,IPHRP,1.4
2014-10-01,IPHRP,1.6
2014-11-01,IPHRP,1.6
2014-12-01,IPHRP,1.7
2015-01-01,IPHRP,1.9
2015-02-01,IPHRP,2
2015-03-01,IPHRP,2.1
2015-04-01,IPHRP,2.2
2015-05-01,IPHRP,2.4
2015-06-01,IPHRP,2.5
2015-07-01,IPHRP,2.4
2015-08-01,IPHRP,2.7
2015-09-01,IPHRP,2.7
2015-10-01,IPHRP,2.7
2015-11-01,IPHRP,2.7
2015-12-01,IPHRP,2.5
2016-01-01,IPHRP,2.6
2016-02-01,IPHRP,2.6
2016-03-01,IPHRP,2.6
2016-04-01,IPHRP,2.6
2016-05-01,IPHRP,2.5
2016-06-01,IPHRP,2.4
2016-07-01,IPHRP,2.4
2016-08-01,IPHRP,2.3
2016-09-01,IPHRP,2.3
2016-10-01,IPHRP,2.3
2016-11-01,IPHRP,2.3
2016-12-01,IPHRP,2.3
2017-01-01,IPHRP,2.2
2017-02-01,IPHRP,2.1
2017-03-01,IPHRP,1.9
2017-04-01,IPHRP,1.8
2017-05-01,IPHRP,1.8
2017-06-01,IPHRP,1.8
2017-07-01,IPHRP,1.8
2017-08-01,IPHRP,1.6
2017-09-01,IPHRP,1.6
2017-10-01,IPHRP,1.5
2017-11-01,IPHRP,1.4
2017-12-01,IPHRP,1.2
2018-01-01,IPHRP,1.1
2018-02-01,IPHRP,1.1
2018-03-01,IPHRP,1.1
2018-04-01,IPHRP,1
2018-05-01,IPHRP,1
2018-06-01,IPHRP,1
2018-07-01,IPHRP,0.9
2018-08-01,IPHRP,0.9
2018-09-01,IPHRP,0.9
2018-10-01,IPHRP,0.9
2018-11-01,IPHRP,0.9
2018-12-01,IPHRP,1
2019-01-01,IPHRP,1
2019-02-01,IPHRP,1.1
2019-03-01,IPHRP,1.2
2019-04-01,IPHRP,1.2
2019-05-01,IPHRP,1.3
2019-06-01,IPHRP,1.3
2019-07-01,IPHRP,1.3
2019-08-01,IPHRP,1.3
2019-09-01,IPHRP,1.3
2019-10-01,IPHRP,1.3
2019-11-01,IPHRP,1.4
2019-12-01,IPHRP,1.4
2020-01-01,IPHRP,1.5
2020-02-01,IPHRP,1.4
2020-03-01,IPHRP,1.4
2020-04-01,IPHRP,1.5
2020-05-01,IPHRP,1.5
2020-06-01,IPHRP,1.5
2020-07-01,IPHRP,1.4
2020-08-01,IPHRP,1.5
2020-09-01,IPHRP,1.5
2020-10-01,IPHRP,1.4
2020-11-01,IPHRP,1.4
2020-12-01,IPHRP,1.4
2021-01-01,IPHRP,1.3
2021-02-01,IPHRP,1.3
2021-03-01,IPHRP,1.3
2021-04-01,IPHRP,1.2
2021-05-01,IPHRP,1.2
2021-06-01,IPHRP,1.2
2021-07-01,IPHRP,1.3
2021-08-01,IPHRP,1.3
2021-09-01,IPHRP,1.4
2021-10-01,IPHRP,1.6
2021-11-01,IPHRP,1.7
2021-12-01,IPHRP,1.9
2022-01-01,IPHRP,2.1
2022-02-01,IPHRP,2.3
2022-03-01,IPHRP,2.4
2013-01-01,Private sector average,0.85
2013-02-01,Private sector average,0.85
2013-03-01,Private sector average,0.8
2013-04-01,Private sector average,0.1
2013-05-01,Private sector average,0
2013-06-01,Private sector average,0.05
2013-07-01,Private sector average,0.65
2013-08-01,Private sector average,0.65
2013-09-01,Private sector average,0.85
2013-10-01,Private sector average,1.5
2013-11-01,Private sector average,1.55
2013-12-01,Private sector average,1.8
2014-01-01,Private sector average,2.3
2014-02-01,Private sector average,2.4
2014-03-01,Private sector average,2.4
2014-04-01,Private sector average,2.9
2014-05-01,Private sector average,3.05
2014-06-01,Private sector average,2.9
2014-07-01,Private sector average,3.4
2014-08-01,Private sector average,3.45
2014-09-01,Private sector average,3.6
2014-10-01,Private sector average,3.85
2014-11-01,Private sector average,3.95
2014-12-01,Private sector average,4
2015-01-01,Private sector average,4.25
2015-02-01,Private sector average,4.25
2015-03-01,Private sector average,4.3
2015-04-01,Private sector average,4.6
2015-05-01,Private sector average,4.55
2015-06-01,Private sector average,4.7
2015-07-01,Private sector average,4.45
2015-08-01,Private sector average,4.45
2015-09-01,Private sector average,4.4
2015-10-01,Private sector average,4.1
2015-11-01,Private sector average,3.97
2015-12-01,Private sector average,3.8
2016-01-01,Private sector average,3.73
2016-02-01,Private sector average,3.67
2016-03-01,Private sector average,3.87
2016-04-01,Private sector average,3.5
2016-05-01,Private sector average,3.43
2016-06-01,Private sector average,3.37
2016-07-01,Private sector average,2.93
2016-08-01,Private sector average,2.7
2016-09-01,Private sector average,2.33
2016-10-01,Private sector average,2.1
2016-11-01,Private sector average,2.03
2016-12-01,Private sector average,1.57
