Time,Value,Case,Detail
1,0.25,Both A and B healthy,Probabilities of different health states with more meetings over time
2,0.252357371,Both A and B healthy,
3,0.254811973,Both A and B healthy,
4,0.257360012,Both A and B healthy,
5,0.259997992,Both A and B healthy,
6,0.262722677,Both A and B healthy,
7,0.265531068,Both A and B healthy,
8,0.26842037,Both A and B healthy,
9,0.271387973,Both A and B healthy,
10,0.274431431,Both A and B healthy,
11,0.277548442,Both A and B healthy,
12,0.280736834,Both A and B healthy,
13,0.283994551,Both A and B healthy,
14,0.28731964,Both A and B healthy,
15,0.290710239,Both A and B healthy,
16,0.29416457,Both A and B healthy,
17,0.297680926,Both A and B healthy,
18,0.301257665,Both A and B healthy,
19,0.304893204,Both A and B healthy,
20,0.308586009,Both A and B healthy,
21,0.312334596,Both A and B healthy,
22,0.316137516,Both A and B healthy,
23,0.31999336,Both A and B healthy,
24,0.323900748,Both A and B healthy,
25,0.32785833,Both A and B healthy,
26,0.331864778,Both A and B healthy,
27,0.335918786,Both A and B healthy,
28,0.340019068,Both A and B healthy,
29,0.344164352,Both A and B healthy,
30,0.348353381,Both A and B healthy,
31,0.352584909,Both A and B healthy,
32,0.356857701,Both A and B healthy,
33,0.361170528,Both A and B healthy,
34,0.365522171,Both A and B healthy,
35,0.369911415,Both A and B healthy,
36,0.37433705,Both A and B healthy,
37,0.378797869,Both A and B healthy,
38,0.383292669,Both A and B healthy,
39,0.387820247,Both A and B healthy,
40,0.392379405,Both A and B healthy,
41,0.396968941,Both A and B healthy,
42,0.401587659,Both A and B healthy,
43,0.406234358,Both A and B healthy,
44,0.41090784,Both A and B healthy,
45,0.415606906,Both A and B healthy,
46,0.420330356,Both A and B healthy,
47,0.425076992,Both A and B healthy,
48,0.429845612,Both A and B healthy,
49,0.434635017,Both A and B healthy,
50,0.439444006,Both A and B healthy,
51,0.444271378,Both A and B healthy,
52,0.449115933,Both A and B healthy,
53,0.453976472,Both A and B healthy,
54,0.458851796,Both A and B healthy,
55,0.463740708,Both A and B healthy,
56,0.468642011,Both A and B healthy,
57,0.473554513,Both A and B healthy,
58,0.478477021,Both A and B healthy,
59,0.483408348,Both A and B healthy,
60,0.488347309,Both A and B healthy,
61,0.493292723,Both A and B healthy,
62,0.498243414,Both A and B healthy,
63,0.503198212,Both A and B healthy,
64,0.50815595,Both A and B healthy,
65,0.51311547,Both A and B healthy,
66,0.518075619,Both A and B healthy,
67,0.523035253,Both A and B healthy,
68,0.527993236,Both A and B healthy,
69,0.532948438,Both A and B healthy,
70,0.537899743,Both A and B healthy,
71,0.54284604,Both A and B healthy,
72,0.547786231,Both A and B healthy,
73,0.55271923,Both A and B healthy,
74,0.557643961,Both A and B healthy,
75,0.562559361,Both A and B healthy,
76,0.56746438,Both A and B healthy,
77,0.572357982,Both A and B healthy,
78,0.577239143,Both A and B healthy,
79,0.582106855,Both A and B healthy,
80,0.586960127,Both A and B healthy,
81,0.59179798,Both A and B healthy,
82,0.596619454,Both A and B healthy,
83,0.601423605,Both A and B healthy,
84,0.606209505,Both A and B healthy,
85,0.610976246,Both A and B healthy,
86,0.615722935,Both A and B healthy,
87,0.6204487,Both A and B healthy,
88,0.625152687,Both A and B healthy,
89,0.629834061,Both A and B healthy,
90,0.634492007,Both A and B healthy,
91,0.63912573,Both A and B healthy,
92,0.643734454,Both A and B healthy,
93,0.648317426,Both A and B healthy,
94,0.652873912,Both A and B healthy,
