date,metric,value
2007-01-01,Joint income,54.33
2007-04-01,Joint income,55.89
2007-07-01,Joint income,55.55
2007-10-01,Joint income,55.93
2008-01-01,Joint income,56.93
2008-04-01,Joint income,59.20
2008-07-01,Joint income,58.11
2008-10-01,Joint income,56.72
2009-01-01,Joint income,57.65
2009-04-01,Joint income,58.04
2009-07-01,Joint income,57.77
2009-10-01,Joint income,56.36
2010-01-01,Joint income,55.40
2010-04-01,Joint income,56.54
2010-07-01,Joint income,57.30
2010-10-01,Joint income,57.09
2011-01-01,Joint income,58.00
2011-04-01,Joint income,57.46
2011-07-01,Joint income,57.25
2011-10-01,Joint income,57.02
2012-01-01,Joint income,56.48
2012-04-01,Joint income,56.30
2012-07-01,Joint income,55.91
2012-10-01,Joint income,55.89
2013-01-01,Joint income,56.51
2013-04-01,Joint income,58.79
2013-07-01,Joint income,60.13
2013-10-01,Joint income,58.28
2014-01-01,Joint income,58.40
2014-04-01,Joint income,59.21
2014-07-01,Joint income,60.28
2014-10-01,Joint income,61.69
2015-01-01,Joint income,61.41
2015-04-01,Joint income,63.05
2015-07-01,Joint income,63.55
2015-10-01,Joint income,62.86
2016-01-01,Joint income,63.05
2016-04-01,Joint income,63.21
2016-07-01,Joint income,63.78
2016-10-01,Joint income,63.04
2017-01-01,Joint income,62.75
2017-04-01,Joint income,63.68
2017-07-01,Joint income,64.07
2017-10-01,Joint income,63.75
2018-01-01,Joint income,63.82
2018-04-01,Joint income,64.24
2018-07-01,Joint income,65.16
2018-10-01,Joint income,64.78
2019-01-01,Joint income,64.50
2019-04-01,Joint income,65.08
2019-07-01,Joint income,65.88
2019-10-01,Joint income,65.14
2020-01-01,Joint income,64.39
2020-04-01,Joint income,64.66
2020-07-01,Joint income,65.60
2020-10-01,Joint income,66.27
2021-01-01,Joint income,66.45
2021-04-01,Joint income,65.88
2021-07-01,Joint income,65.55
2021-10-01,Joint income,64.09
2007-01-01,Single income,45.67
2007-04-01,Single income,44.11
2007-07-01,Single income,44.46
2007-10-01,Single income,44.07
2008-01-01,Single income,43.07
2008-04-01,Single income,40.80
2008-07-01,Single income,41.89
2008-10-01,Single income,43.28
2009-01-01,Single income,42.35
2009-04-01,Single income,41.96
2009-07-01,Single income,42.23
2009-10-01,Single income,43.64
2010-01-01,Single income,44.60
2010-04-01,Single income,43.46
2010-07-01,Single income,42.70
2010-10-01,Single income,42.91
2011-01-01,Single income,42.00
2011-04-01,Single income,42.54
2011-07-01,Single income,42.75
2011-10-01,Single income,42.98
2012-01-01,Single income,43.52
2012-04-01,Single income,43.70
2012-07-01,Single income,44.08
2012-10-01,Single income,44.11
2013-01-01,Single income,43.49
2013-04-01,Single income,41.21
2013-07-01,Single income,39.87
2013-10-01,Single income,41.72
2014-01-01,Single income,41.60
2014-04-01,Single income,40.80
2014-07-01,Single income,39.72
2014-10-01,Single income,38.31
2015-01-01,Single income,38.59
2015-04-01,Single income,36.95
2015-07-01,Single income,36.45
2015-10-01,Single income,37.14
2016-01-01,Single income,36.95
2016-04-01,Single income,36.79
2016-07-01,Single income,36.22
2016-10-01,Single income,36.96
2017-01-01,Single income,37.25
2017-04-01,Single income,36.32
2017-07-01,Single income,35.93
2017-10-01,Single income,36.25
2018-01-01,Single income,36.18
2018-04-01,Single income,35.77
2018-07-01,Single income,34.84
2018-10-01,Single income,35.22
2019-01-01,Single income,35.50
2019-04-01,Single income,34.92
2019-07-01,Single income,34.12
2019-10-01,Single income,34.86
2020-01-01,Single income,35.61
2020-04-01,Single income,35.34
2020-07-01,Single income,34.40
2020-10-01,Single income,33.73
2021-01-01,Single income,33.55
2021-04-01,Single income,34.12
2021-07-01,Single income,34.45
2021-10-01,Single income,35.92
