Year,Country,GDP per capita
2000,Czech Republic,11230
2001,Czech Republic,11620
2002,Czech Republic,11830
2003,Czech Republic,12260
2004,Czech Republic,12840
2005,Czech Republic,13650
2006,Czech Republic,14530
2007,Czech Republic,15250
2008,Czech Republic,15500
2009,Czech Republic,14690
2010,Czech Republic,15020
2011,Czech Republic,15310
2012,Czech Republic,15170
2013,Czech Republic,15160
2014,Czech Republic,15480
2015,Czech Republic,16290
2016,Czech Republic,16670
2017,Czech Republic,17490
2018,Czech Republic,17990
2019,Czech Republic,18460
2020,Czech Republic,17340
2000,Slovakia,7780
2001,Slovakia,8060
2002,Slovakia,8430
2003,Slovakia,8890
2004,Slovakia,9360
2005,Slovakia,9970
2006,Slovakia,10800
2007,Slovakia,11960
2008,Slovakia,12610
2009,Slovakia,11890
2010,Slovakia,12610
2011,Slovakia,13020
2012,Slovakia,13180
2013,Slovakia,13250
2014,Slovakia,13600
2015,Slovakia,14300
2016,Slovakia,14550
2017,Slovakia,14960
2018,Slovakia,15510
2019,Slovakia,15890
2020,Slovakia,15180
2000,EU27,22460
2001,EU27,22900
2002,EU27,23090
2003,EU27,23210
2004,EU27,23710
2005,EU27,24060
2006,EU27,24820
2007,EU27,25510
2008,EU27,25580
2009,EU27,24410
2010,EU27,24900
2011,EU27,25320
2012,EU27,25100
2013,EU27,25060
2014,EU27,25420
2015,EU27,25950
2016,EU27,26410
2017,EU27,27110
2018,EU27,27620
2019,EU27,28070
2020,EU27,26380
