Nation,Date,Cases by date
England,2020-03-25,2256
England,2020-03-24,2031
England,2020-03-23,2017
England,2020-03-22,1206
England,2020-03-21,1033
England,2020-03-20,1081
England,2020-03-19,928
England,2020-03-18,907
England,2020-03-17,680
England,2020-03-16,545
England,2020-03-15,396
England,2020-03-14,315
England,2020-03-13,393
England,2020-03-12,414
England,2020-03-11,353
England,2020-03-10,227
England,2020-03-09,125
England,2020-03-08,50
England,2020-03-07,55
England,2020-03-06,73
England,2020-03-05,46
England,2020-03-04,49
England,2020-03-03,54
England,2020-03-02,38
England,2020-03-01,20
England,2020-02-29,5
England,2020-02-28,11
England,2020-02-27,7
England,2020-02-26,4
England,2020-02-25,5
England,2020-02-24,2
England,2020-02-23,1
England,2020-02-22,0
England,2020-02-21,1
England,2020-02-20,0
England,2020-02-19,0
England,2020-02-18,0
England,2020-02-17,0
England,2020-02-16,0
England,2020-02-15,0
England,2020-02-14,0
England,2020-02-13,0
England,2020-02-12,0
England,2020-02-11,1
England,2020-02-10,0
England,2020-02-09,1
England,2020-02-08,5
England,2020-02-07,0
England,2020-02-06,0
England,2020-02-05,1
England,2020-02-04,1
England,2020-02-03,0
England,2020-02-02,1
England,2020-02-01,1
England,2020-01-31,2
England,2020-01-30,2
Northern Ireland,2021-02-09,265
Northern Ireland,2021-02-08,383
Northern Ireland,2021-02-07,285
Northern Ireland,2021-02-06,324
Northern Ireland,2021-02-05,442
Northern Ireland,2021-02-04,408
Northern Ireland,2021-02-03,489
Northern Ireland,2021-02-02,458
Northern Ireland,2021-02-01,530
Northern Ireland,2021-01-31,399
Northern Ireland,2021-01-30,402
Northern Ireland,2021-01-29,532
Northern Ireland,2021-01-28,521
Northern Ireland,2021-01-27,619
Northern Ireland,2021-01-26,636
Northern Ireland,2021-01-25,634
Northern Ireland,2021-01-24,449
Northern Ireland,2021-01-23,472
Northern Ireland,2021-01-22,616
Northern Ireland,2021-01-21,758
Northern Ireland,2021-01-20,785
Northern Ireland,2021-01-19,863
Northern Ireland,2021-01-18,915
Northern Ireland,2021-01-17,614
Northern Ireland,2021-01-16,694
Northern Ireland,2021-01-15,849
Northern Ireland,2021-01-14,917
Northern Ireland,2021-01-13,1060
Northern Ireland,2021-01-12,1119
Northern Ireland,2021-01-11,1267
Northern Ireland,2021-01-10,883
Northern Ireland,2021-01-09,1000
Northern Ireland,2021-01-08,1239
Northern Ireland,2021-01-07,1241
Northern Ireland,2021-01-06,1529
Northern Ireland,2021-01-05,1622
Northern Ireland,2021-01-04,2007
Northern Ireland,2021-01-03,1631
Northern Ireland,2021-01-02,1929
Northern Ireland,2021-01-01,1249
Northern Ireland,2020-12-31,1724
Northern Ireland,2020-12-30,2232
Northern Ireland,2020-12-29,2310
Northern Ireland,2020-12-28,1393
Northern Ireland,2020-12-27,1091
Northern Ireland,2020-12-26,718
Northern Ireland,2020-12-25,341
Northern Ireland,2020-12-24,625
Northern Ireland,2020-12-23,808
Northern Ireland,2020-12-22,724
Northern Ireland,2020-12-21,722
Northern Ireland,2020-12-20,489
Northern Ireland,2020-12-19,485
Northern Ireland,2020-12-18,538
Northern Ireland,2020-12-17,604
Northern Ireland,2020-12-16,617
Northern Ireland,2020-12-15,538
Northern Ireland,2020-12-14,567
Northern Ireland,2020-12-13,400
Northern Ireland,2020-12-12,361
Northern Ireland,2020-12-11,521
Northern Ireland,2020-12-10,501
Northern Ireland,2020-12-09,455
Northern Ireland,2020-12-08,470
Northern Ireland,2020-12-07,469
Northern Ireland,2020-12-06,368
Northern Ireland,2020-12-05,398
Northern Ireland,2020-12-04,433
Northern Ireland,2020-12-03,497
Northern Ireland,2020-12-02,414
Northern Ireland,2020-12-01,400
Northern Ireland,2020-11-30,506
Northern Ireland,2020-11-29,257
Northern Ireland,2020-11-28,343
Northern Ireland,2020-11-27,331
Northern Ireland,2020-11-26,337
Northern Ireland,2020-11-25,418
Northern Ireland,2020-11-24,341
Northern Ireland,2020-11-23,376
Northern Ireland,2020-11-22,274
Northern Ireland,2020-11-21,293
Northern Ireland,2020-11-20,372
Northern Ireland,2020-11-19,350
Northern Ireland,2020-11-18,439
Northern Ireland,2020-11-17,573
Northern Ireland,2020-11-16,580
Northern Ireland,2020-11-15,373
Northern Ireland,2020-11-14,422
Northern Ireland,2020-11-13,474
Northern Ireland,2020-11-12,551
Northern Ireland,2020-11-11,609
Northern Ireland,2020-11-10,698
Northern Ireland,2020-11-09,648
Northern Ireland,2020-11-08,423
Northern Ireland,2020-11-07,457
Northern Ireland,2020-11-06,487
Northern Ireland,2020-11-05,563
Northern Ireland,2020-11-04,593
Northern Ireland,2020-11-03,656
Northern Ireland,2020-11-02,698
Northern Ireland,2020-11-01,465
Northern Ireland,2020-10-31,515
Northern Ireland,2020-10-30,691
Northern Ireland,2020-10-29,694
Northern Ireland,2020-10-28,755
Northern Ireland,2020-10-27,822
Northern Ireland,2020-10-26,891
Northern Ireland,2020-10-25,682
Northern Ireland,2020-10-24,742
Northern Ireland,2020-10-23,885
Northern Ireland,2020-10-22,1079
Northern Ireland,2020-10-21,1115
Northern Ireland,2020-10-20,1064
Northern Ireland,2020-10-19,1042
Northern Ireland,2020-10-18,793
Northern Ireland,2020-10-17,842
Northern Ireland,2020-10-16,972
Northern Ireland,2020-10-15,1110
Northern Ireland,2020-10-14,1065
Northern Ireland,2020-10-13,1086
Northern Ireland,2020-10-12,1107
Northern Ireland,2020-10-11,833
Northern Ireland,2020-10-10,802
Northern Ireland,2020-10-09,843
Northern Ireland,2020-10-08,983
Northern Ireland,2020-10-07,1033
Northern Ireland,2020-10-06,805
Northern Ireland,2020-10-05,711
Northern Ireland,2020-10-04,615
Northern Ireland,2020-10-03,623
Northern Ireland,2020-10-02,698
Northern Ireland,2020-10-01,481
Northern Ireland,2020-09-30,643
Northern Ireland,2020-09-29,389
Northern Ireland,2020-09-28,296
Northern Ireland,2020-09-27,272
Northern Ireland,2020-09-26,268
Northern Ireland,2020-09-25,244
Northern Ireland,2020-09-24,283
Northern Ireland,2020-09-23,219
Northern Ireland,2020-09-22,170
Northern Ireland,2020-09-21,135
Northern Ireland,2020-09-20,124
Northern Ireland,2020-09-19,161
Northern Ireland,2020-09-18,168
Northern Ireland,2020-09-17,168
Northern Ireland,2020-09-16,133
Northern Ireland,2020-09-15,107
Northern Ireland,2020-09-14,119
Northern Ireland,2020-09-13,91
Northern Ireland,2020-09-12,106
Northern Ireland,2020-09-11,73
Northern Ireland,2020-09-10,79
Northern Ireland,2020-09-09,98
Northern Ireland,2020-09-08,56
Northern Ireland,2020-09-07,72
Northern Ireland,2020-09-06,104
Northern Ireland,2020-09-05,90
Northern Ireland,2020-09-04,130
Northern Ireland,2020-09-03,106
Northern Ireland,2020-09-02,90
Northern Ireland,2020-09-01,65
Northern Ireland,2020-08-31,54
Northern Ireland,2020-08-30,35
Northern Ireland,2020-08-29,43
Northern Ireland,2020-08-28,86
Northern Ireland,2020-08-27,78
Northern Ireland,2020-08-26,71
Northern Ireland,2020-08-25,65
Northern Ireland,2020-08-24,45
Northern Ireland,2020-08-23,52
Northern Ireland,2020-08-22,42
Northern Ireland,2020-08-21,80
Northern Ireland,2020-08-20,71
Northern Ireland,2020-08-19,41
Northern Ireland,2020-08-18,43
Northern Ireland,2020-08-17,53
Northern Ireland,2020-08-16,20
Northern Ireland,2020-08-15,22
Northern Ireland,2020-08-14,57
Northern Ireland,2020-08-13,51
Northern Ireland,2020-08-12,39
Northern Ireland,2020-08-11,38
Northern Ireland,2020-08-10,44
Northern Ireland,2020-08-09,25
Northern Ireland,2020-08-08,27
Northern Ireland,2020-08-07,16
Northern Ireland,2020-08-06,17
Northern Ireland,2020-08-05,29
Northern Ireland,2020-08-04,17
Northern Ireland,2020-08-03,18
Northern Ireland,2020-08-02,9
Northern Ireland,2020-08-01,10
Northern Ireland,2020-07-31,13
Northern Ireland,2020-07-30,10
Northern Ireland,2020-07-29,11
Northern Ireland,2020-07-28,13
Northern Ireland,2020-07-27,12
Northern Ireland,2020-07-26,1
Northern Ireland,2020-07-25,4
Northern Ireland,2020-07-24,14
Northern Ireland,2020-07-23,12
Northern Ireland,2020-07-22,8
Northern Ireland,2020-07-21,12
Northern Ireland,2020-07-20,3
Northern Ireland,2020-07-19,3
Northern Ireland,2020-07-18,7
Northern Ireland,2020-07-17,8
Northern Ireland,2020-07-16,19
Northern Ireland,2020-07-15,15
Northern Ireland,2020-07-14,7
Northern Ireland,2020-07-13,3
Northern Ireland,2020-07-12,4
Northern Ireland,2020-07-11,6
Northern Ireland,2020-07-10,4
Northern Ireland,2020-07-09,5
Northern Ireland,2020-07-08,6
Northern Ireland,2020-07-07,5
Northern Ireland,2020-07-06,8
Northern Ireland,2020-07-05,2
Northern Ireland,2020-07-04,1
Northern Ireland,2020-07-03,8
Northern Ireland,2020-07-02,3
Northern Ireland,2020-07-01,4
Northern Ireland,2020-06-30,2
Northern Ireland,2020-06-29,4
Northern Ireland,2020-06-28,5
Northern Ireland,2020-06-27,4
Northern Ireland,2020-06-26,3
Northern Ireland,2020-06-25,5
Northern Ireland,2020-06-24,4
Northern Ireland,2020-06-23,8
Northern Ireland,2020-06-22,4
Northern Ireland,2020-06-21,3
Northern Ireland,2020-06-20,5
Northern Ireland,2020-06-19,12
Northern Ireland,2020-06-18,7
Northern Ireland,2020-06-17,5
Northern Ireland,2020-06-16,11
Northern Ireland,2020-06-15,19
Northern Ireland,2020-06-14,8
Northern Ireland,2020-06-13,10
Northern Ireland,2020-06-12,10
Northern Ireland,2020-06-11,10
Northern Ireland,2020-06-10,16
Northern Ireland,2020-06-09,11
Northern Ireland,2020-06-08,14
Northern Ireland,2020-06-07,5
Northern Ireland,2020-06-06,8
Northern Ireland,2020-06-05,24
Northern Ireland,2020-06-04,11
Northern Ireland,2020-06-03,11
Northern Ireland,2020-06-02,21
Northern Ireland,2020-06-01,24
Northern Ireland,2020-05-31,26
Northern Ireland,2020-05-30,13
Northern Ireland,2020-05-29,20
Northern Ireland,2020-05-28,28
Northern Ireland,2020-05-27,33
Northern Ireland,2020-05-26,27
Northern Ireland,2020-05-25,39
Northern Ireland,2020-05-24,30
Northern Ireland,2020-05-23,54
Northern Ireland,2020-05-22,33
Northern Ireland,2020-05-21,56
Northern Ireland,2020-05-20,74
Northern Ireland,2020-05-19,72
Northern Ireland,2020-05-18,62
Northern Ireland,2020-05-17,36
Northern Ireland,2020-05-16,40
Northern Ireland,2020-05-15,66
Northern Ireland,2020-05-14,74
Northern Ireland,2020-05-13,75
Northern Ireland,2020-05-12,91
Northern Ireland,2020-05-11,75
Northern Ireland,2020-05-10,61
Northern Ireland,2020-05-09,54
Northern Ireland,2020-05-08,72
Northern Ireland,2020-05-07,97
Northern Ireland,2020-05-06,80
Northern Ireland,2020-05-05,73
Northern Ireland,2020-05-04,74
Northern Ireland,2020-05-03,54
Northern Ireland,2020-05-02,90
Northern Ireland,2020-05-01,97
Northern Ireland,2020-04-30,115
Northern Ireland,2020-04-29,91
Northern Ireland,2020-04-28,74
Northern Ireland,2020-04-27,71
Northern Ireland,2020-04-26,44
Northern Ireland,2020-04-25,52
Northern Ireland,2020-04-24,83
Northern Ireland,2020-04-23,72
Northern Ireland,2020-04-22,96
Northern Ireland,2020-04-21,131
Northern Ireland,2020-04-20,112
Northern Ireland,2020-04-19,41
Northern Ireland,2020-04-18,85
Northern Ireland,2020-04-17,155
Northern Ireland,2020-04-16,138
Northern Ireland,2020-04-15,133
Northern Ireland,2020-04-14,95
Northern Ireland,2020-04-13,107
Northern Ireland,2020-04-12,73
Northern Ireland,2020-04-11,67
Northern Ireland,2020-04-10,94
Northern Ireland,2020-04-09,99
Northern Ireland,2020-04-08,102
Northern Ireland,2020-04-07,129
Northern Ireland,2020-04-06,105
Northern Ireland,2020-04-05,60
Northern Ireland,2020-04-04,87
Northern Ireland,2020-04-03,102
Northern Ireland,2020-04-02,105
Northern Ireland,2020-04-01,102
Northern Ireland,2020-03-31,112
Northern Ireland,2020-03-30,84
Northern Ireland,2020-03-29,62
Northern Ireland,2020-03-28,76
Northern Ireland,2020-03-27,67
Northern Ireland,2020-03-26,76
Northern Ireland,2020-03-25,56
Northern Ireland,2020-03-24,41
Northern Ireland,2020-03-23,41
Northern Ireland,2020-03-22,18
Northern Ireland,2020-03-21,20
Northern Ireland,2020-03-20,17
Northern Ireland,2020-03-19,14
Northern Ireland,2020-03-18,13
Northern Ireland,2020-03-17,9
Northern Ireland,2020-03-16,8
Northern Ireland,2020-03-15,2
Northern Ireland,2020-03-14,10
Northern Ireland,2020-03-13,11
Northern Ireland,2020-03-12,4
Northern Ireland,2020-03-11,11
Northern Ireland,2020-03-10,5
Northern Ireland,2020-03-09,3
Northern Ireland,2020-03-08,3
Northern Ireland,2020-03-07,5
Northern Ireland,2020-03-06,2
Northern Ireland,2020-03-05,2
Northern Ireland,2020-03-04,0
Northern Ireland,2020-03-03,0
Northern Ireland,2020-03-02,0
Northern Ireland,2020-03-01,0
Northern Ireland,2020-02-29,0
Northern Ireland,2020-02-28,0
Northern Ireland,2020-02-27,0
Northern Ireland,2020-02-26,0
Northern Ireland,2020-02-25,0
Northern Ireland,2020-02-24,0
Northern Ireland,2020-02-23,0
Northern Ireland,2020-02-22,0
Northern Ireland,2020-02-21,0
Northern Ireland,2020-02-20,0
Northern Ireland,2020-02-19,0
Northern Ireland,2020-02-18,0
Northern Ireland,2020-02-17,0
Northern Ireland,2020-02-16,0
Northern Ireland,2020-02-15,0
Northern Ireland,2020-02-14,0
Northern Ireland,2020-02-13,0
Northern Ireland,2020-02-12,0
Northern Ireland,2020-02-11,0
Northern Ireland,2020-02-10,0
Northern Ireland,2020-02-09,0
Northern Ireland,2020-02-08,0
Northern Ireland,2020-02-07,0
Northern Ireland,2020-02-06,0
Northern Ireland,2020-02-05,0
Northern Ireland,2020-02-04,0
Northern Ireland,2020-02-03,0
Scotland,2021-02-09,159
Scotland,2021-02-08,907
Scotland,2021-02-07,647
Scotland,2021-02-06,674
Scotland,2021-02-05,933
Scotland,2021-02-04,899
Scotland,2021-02-03,925
Scotland,2021-02-02,1036
Scotland,2021-02-01,1099
Scotland,2021-01-31,806
Scotland,2021-01-30,780
Scotland,2021-01-29,963
Scotland,2021-01-28,1121
Scotland,2021-01-27,1114
Scotland,2021-01-26,1173
Scotland,2021-01-25,1320
Scotland,2021-01-24,864
Scotland,2021-01-23,936
Scotland,2021-01-22,1244
Scotland,2021-01-21,1243
Scotland,2021-01-20,1587
Scotland,2021-01-19,1558
Scotland,2021-01-18,1738
Scotland,2021-01-17,1197
Scotland,2021-01-16,1175
Scotland,2021-01-15,1554
Scotland,2021-01-14,1626
Scotland,2021-01-13,1711
Scotland,2021-01-12,1989
Scotland,2021-01-11,2107
Scotland,2021-01-10,1432
Scotland,2021-01-09,1497
Scotland,2021-01-08,1841
Scotland,2021-01-07,2205
Scotland,2021-01-06,2560
Scotland,2021-01-05,3061
Scotland,2021-01-04,2386
Scotland,2021-01-03,2223
Scotland,2021-01-02,2219
Scotland,2021-01-01,1167
Scotland,2020-12-31,2379
Scotland,2020-12-30,2973
Scotland,2020-12-29,3149
Scotland,2020-12-28,1825
Scotland,2020-12-27,1705
Scotland,2020-12-26,1058
Scotland,2020-12-25,521
Scotland,2020-12-24,1022
Scotland,2020-12-23,1324
Scotland,2020-12-22,1333
Scotland,2020-12-21,1323
Scotland,2020-12-20,824
Scotland,2020-12-19,756
Scotland,2020-12-18,930
Scotland,2020-12-17,914
Scotland,2020-12-16,1051
Scotland,2020-12-15,1037
Scotland,2020-12-14,1102
Scotland,2020-12-13,722
Scotland,2020-12-12,683
Scotland,2020-12-11,872
Scotland,2020-12-10,896
Scotland,2020-12-09,996
Scotland,2020-12-08,1041
Scotland,2020-12-07,953
Scotland,2020-12-06,645
Scotland,2020-12-05,664
Scotland,2020-12-04,646
Scotland,2020-12-03,808
Scotland,2020-12-02,948
Scotland,2020-12-01,924
Scotland,2020-11-30,973
Scotland,2020-11-29,553
Scotland,2020-11-28,572
Scotland,2020-11-27,737
Scotland,2020-11-26,802
Scotland,2020-11-25,930
Scotland,2020-11-24,990
Scotland,2020-11-23,1159
Scotland,2020-11-22,706
Scotland,2020-11-21,763
Scotland,2020-11-20,864
Scotland,2020-11-19,981
Scotland,2020-11-18,1115
Scotland,2020-11-17,1225
Scotland,2020-11-16,1275
Scotland,2020-11-15,812
Scotland,2020-11-14,919
Scotland,2020-11-13,1062
Scotland,2020-11-12,1196
Scotland,2020-11-11,1250
Scotland,2020-11-10,1290
Scotland,2020-11-09,1295
Scotland,2020-11-08,878
Scotland,2020-11-07,844
Scotland,2020-11-06,1141
Scotland,2020-11-05,1294
Scotland,2020-11-04,1303
Scotland,2020-11-03,1392
Scotland,2020-11-02,1478
Scotland,2020-11-01,974
Scotland,2020-10-31,745
Scotland,2020-10-30,1106
Scotland,2020-10-29,1098
Scotland,2020-10-28,1268
Scotland,2020-10-27,1308
Scotland,2020-10-26,1345
Scotland,2020-10-25,939
Scotland,2020-10-24,954
Scotland,2020-10-23,1287
Scotland,2020-10-22,1503
Scotland,2020-10-21,1580
Scotland,2020-10-20,1684
Scotland,2020-10-19,1355
Scotland,2020-10-18,828
Scotland,2020-10-17,862
Scotland,2020-10-16,1251
Scotland,2020-10-15,1294
Scotland,2020-10-14,1290
Scotland,2020-10-13,1423
Scotland,2020-10-12,1361
Scotland,2020-10-11,959
Scotland,2020-10-10,942
Scotland,2020-10-09,1096
Scotland,2020-10-08,1171
Scotland,2020-10-07,1250
Scotland,2020-10-06,1192
Scotland,2020-10-05,1099
Scotland,2020-10-04,744
Scotland,2020-10-03,702
Scotland,2020-10-02,818
Scotland,2020-10-01,777
Scotland,2020-09-30,793
Scotland,2020-09-29,661
Scotland,2020-09-28,625
Scotland,2020-09-27,359
Scotland,2020-09-26,437
Scotland,2020-09-25,576
Scotland,2020-09-24,716
Scotland,2020-09-23,572
Scotland,2020-09-22,497
Scotland,2020-09-21,454
Scotland,2020-09-20,320
Scotland,2020-09-19,236
Scotland,2020-09-18,270
Scotland,2020-09-17,265
Scotland,2020-09-16,280
Scotland,2020-09-15,238
Scotland,2020-09-14,186
Scotland,2020-09-13,178
Scotland,2020-09-12,214
Scotland,2020-09-11,216
Scotland,2020-09-10,231
Scotland,2020-09-09,223
Scotland,2020-09-08,103
Scotland,2020-09-07,167
Scotland,2020-09-06,154
Scotland,2020-09-05,137
Scotland,2020-09-04,170
Scotland,2020-09-03,202
Scotland,2020-09-02,192
Scotland,2020-09-01,199
Scotland,2020-08-31,143
Scotland,2020-08-30,102
Scotland,2020-08-29,94
Scotland,2020-08-28,105
Scotland,2020-08-27,97
Scotland,2020-08-26,98
Scotland,2020-08-25,72
Scotland,2020-08-24,59
Scotland,2020-08-23,67
Scotland,2020-08-22,51
Scotland,2020-08-21,91
Scotland,2020-08-20,141
Scotland,2020-08-19,93
Scotland,2020-08-18,78
Scotland,2020-08-17,75
Scotland,2020-08-16,33
Scotland,2020-08-15,20
Scotland,2020-08-14,50
Scotland,2020-08-13,59
Scotland,2020-08-12,49
Scotland,2020-08-11,63
Scotland,2020-08-10,59
Scotland,2020-08-09,26
Scotland,2020-08-08,27
Scotland,2020-08-07,46
Scotland,2020-08-06,65
Scotland,2020-08-05,67
Scotland,2020-08-04,58
Scotland,2020-08-03,62
Scotland,2020-08-02,19
Scotland,2020-08-01,23
Scotland,2020-07-31,21
Scotland,2020-07-30,27
Scotland,2020-07-29,28
Scotland,2020-07-28,22
Scotland,2020-07-27,13
Scotland,2020-07-26,7
Scotland,2020-07-25,3
Scotland,2020-07-24,11
Scotland,2020-07-23,23
Scotland,2020-07-22,16
Scotland,2020-07-21,19
Scotland,2020-07-20,13
Scotland,2020-07-19,17
Scotland,2020-07-18,13
Scotland,2020-07-17,8
Scotland,2020-07-16,21
Scotland,2020-07-15,16
Scotland,2020-07-14,10
Scotland,2020-07-13,17
Scotland,2020-07-12,2
Scotland,2020-07-11,9
Scotland,2020-07-10,12
Scotland,2020-07-09,8
Scotland,2020-07-08,10
Scotland,2020-07-07,11
Scotland,2020-07-06,8
Scotland,2020-07-05,2
Scotland,2020-07-04,5
Scotland,2020-07-03,6
Scotland,2020-07-02,13
