Entity,Code,Year,"Mortality rate, under-5 (per 1,000 live births)"
Afghanistan,AFG,1962,34.46
Afghanistan,AFG,1963,33.87
Afghanistan,AFG,1964,33.31
Afghanistan,AFG,1965,32.76
Afghanistan,AFG,1966,32.2
Afghanistan,AFG,1967,31.68
Afghanistan,AFG,1968,31.14
Afghanistan,AFG,1969,30.58
Afghanistan,AFG,1970,30.03
Afghanistan,AFG,1971,29.48
Afghanistan,AFG,1972,28.93
Afghanistan,AFG,1973,28.36
Afghanistan,AFG,1974,27.78
Afghanistan,AFG,1975,27.2
Afghanistan,AFG,1976,26.62
Afghanistan,AFG,1977,26.01
Afghanistan,AFG,1978,25.4
Afghanistan,AFG,1979,24.78
Afghanistan,AFG,1980,24.15
Afghanistan,AFG,1981,23.51
Afghanistan,AFG,1982,22.86
Afghanistan,AFG,1983,22.22
Afghanistan,AFG,1984,21.58
Afghanistan,AFG,1985,20.93
Afghanistan,AFG,1986,20.29
Afghanistan,AFG,1987,19.64
Afghanistan,AFG,1988,19.01
Afghanistan,AFG,1989,18.38
Afghanistan,AFG,1990,17.77
Afghanistan,AFG,1991,17.17
Afghanistan,AFG,1992,16.59
Afghanistan,AFG,1993,16.04
Afghanistan,AFG,1994,15.52
Afghanistan,AFG,1995,15.03
Afghanistan,AFG,1996,14.56
Afghanistan,AFG,1997,14.12
Afghanistan,AFG,1998,13.69
Afghanistan,AFG,1999,13.28
Afghanistan,AFG,2000,12.87
Afghanistan,AFG,2001,12.46
Afghanistan,AFG,2002,12.04
Afghanistan,AFG,2003,11.63
Afghanistan,AFG,2004,11.21
Afghanistan,AFG,2005,10.79
Afghanistan,AFG,2006,10.37
Afghanistan,AFG,2007,9.95
Afghanistan,AFG,2008,9.54
Afghanistan,AFG,2009,9.14
Afghanistan,AFG,2010,8.76
Afghanistan,AFG,2011,8.39
Afghanistan,AFG,2012,8.03
Afghanistan,AFG,2013,7.68
Afghanistan,AFG,2014,7.36
Afghanistan,AFG,2015,7.04
Afghanistan,AFG,2016,6.76
Afghanistan,AFG,2017,6.49
Afghanistan,AFG,2018,6.25
Afghanistan,AFG,2019,6.03
Pakistan,PAK,1960,25.24
Pakistan,PAK,1961,24.34
Pakistan,PAK,1962,23.47
Pakistan,PAK,1963,22.67
Pakistan,PAK,1964,21.94
Pakistan,PAK,1965,21.27
Pakistan,PAK,1966,20.7
Pakistan,PAK,1967,20.19
Pakistan,PAK,1968,19.75
Pakistan,PAK,1969,19.36
Pakistan,PAK,1970,19
Pakistan,PAK,1971,18.66
Pakistan,PAK,1972,18.34
Pakistan,PAK,1973,18.05
Pakistan,PAK,1974,17.78
Pakistan,PAK,1975,17.54
Pakistan,PAK,1976,17.31
Pakistan,PAK,1977,17.1
Pakistan,PAK,1978,16.89
Pakistan,PAK,1979,16.68
Pakistan,PAK,1980,16.47
Pakistan,PAK,1981,16.25
Pakistan,PAK,1982,16.03
Pakistan,PAK,1983,15.79
Pakistan,PAK,1984,15.55
Pakistan,PAK,1985,15.28
Pakistan,PAK,1986,15.02
Pakistan,PAK,1987,14.75
Pakistan,PAK,1988,14.48
Pakistan,PAK,1989,14.22
Pakistan,PAK,1990,13.95
Pakistan,PAK,1991,13.67
Pakistan,PAK,1992,13.37
Pakistan,PAK,1993,13.07
Pakistan,PAK,1994,12.75
Pakistan,PAK,1995,12.42
Pakistan,PAK,1996,12.08
Pakistan,PAK,1997,11.73
Pakistan,PAK,1998,11.39
Pakistan,PAK,1999,11.06
Pakistan,PAK,2000,10.75
Pakistan,PAK,2001,10.47
Pakistan,PAK,2002,10.22
Pakistan,PAK,2003,10
Pakistan,PAK,2004,9.8
Pakistan,PAK,2005,9.61
Pakistan,PAK,2006,9.44
Pakistan,PAK,2007,9.27
Pakistan,PAK,2008,9.09
Pakistan,PAK,2009,8.91
Pakistan,PAK,2010,8.71
Pakistan,PAK,2011,8.5
Pakistan,PAK,2012,8.29
Pakistan,PAK,2013,8.06
Pakistan,PAK,2014,7.83
Pakistan,PAK,2015,7.61
Pakistan,PAK,2016,7.38
Pakistan,PAK,2017,7.16
Pakistan,PAK,2018,6.94
Pakistan,PAK,2019,6.72
India,IND,1960,24.14
India,IND,1961,23.81
India,IND,1962,23.49
India,IND,1963,23.17
India,IND,1964,22.88
India,IND,1965,22.61
India,IND,1966,22.35
India,IND,1967,22.11
India,IND,1968,21.84
India,IND,1969,21.58
India,IND,1970,21.3
India,IND,1971,20.99
India,IND,1972,20.66
India,IND,1973,20.29
India,IND,1974,19.9
India,IND,1975,19.45
India,IND,1976,18.96
India,IND,1977,18.44
India,IND,1978,17.89
India,IND,1979,17.33
India,IND,1980,16.79
India,IND,1981,16.28
India,IND,1982,15.8
India,IND,1983,15.36
India,IND,1984,14.95
India,IND,1985,14.56
India,IND,1986,14.17
India,IND,1987,13.78
India,IND,1988,13.38
India,IND,1989,13
India,IND,1990,12.62
India,IND,1991,12.27
India,IND,1992,11.94
India,IND,1993,11.61
India,IND,1994,11.28
India,IND,1995,10.95
India,IND,1996,10.61
India,IND,1997,10.26
India,IND,1998,9.9
India,IND,1999,9.54
India,IND,2000,9.18
India,IND,2001,8.82
India,IND,2002,8.46
India,IND,2003,8.12
India,IND,2004,7.78
India,IND,2005,7.45
India,IND,2006,7.12
India,IND,2007,6.79
India,IND,2008,6.47
India,IND,2009,6.14
India,IND,2010,5.82
India,IND,2011,5.51
India,IND,2012,5.2
India,IND,2013,4.91
India,IND,2014,4.62
India,IND,2015,4.35
India,IND,2016,4.09
India,IND,2017,3.85
India,IND,2018,3.63
India,IND,2019,3.43
