Time period,Age group,Change in meantal health,Gender 
April-June,16-30,-0.1926,Men
July-September,16-30,-0.1276,
November ,16-30,-0.2059,
April-June,30-40,-0.1527,
July-September,30-40,-0.0709,
November ,30-40,-0.2021,
April-June,40-50,-0.1333,
July-September,40-50,-0.0617,
November ,40-50,-0.2275,
April-June,50-60,-0.0833,
July-September,50-60,-0.0543,
November ,50-60,-0.1559,
April-June,60-70,-0.1324,
July-September,60-70,-0.0653,
November ,60-70,-0.2177,
April-June,70+,-0.0821,
July-September,70+,-0.0325,
November ,70+,-0.162,
