Date,Value,Measure
1945,-0.54,Average earnings growth
1946,4.08,Average earnings growth
1947,7.57,Average earnings growth
1948,8.98,Average earnings growth
1949,4.23,Average earnings growth
1950,4.70,Average earnings growth
1951,9.80,Average earnings growth
1952,8.18,Average earnings growth
1953,6.01,Average earnings growth
1954,6.48,Average earnings growth
1955,8.52,Average earnings growth
1956,8.13,Average earnings growth
1957,5.45,Average earnings growth
1958,3.44,Average earnings growth
1959,2.73,Average earnings growth
1960,5.79,Average earnings growth
1961,7.00,Average earnings growth
1962,3.48,Average earnings growth
1963,4.25,Average earnings growth
1964,8.52,Average earnings growth
1965,6.76,Average earnings growth
1966,6.42,Average earnings growth
1967,3.76,Average earnings growth
1968,8.45,Average earnings growth
1969,7.71,Average earnings growth
1970,12.69,Average earnings growth
1971,12.00,Average earnings growth
1972,12.62,Average earnings growth
1973,14.49,Average earnings growth
1974,18.92,Average earnings growth
1975,28.95,Average earnings growth
1976,16.50,Average earnings growth
1977,9.97,Average earnings growth
1978,13.27,Average earnings growth
1979,16.73,Average earnings growth
1980,21.47,Average earnings growth
1981,13.78,Average earnings growth
1982,9.69,Average earnings growth
1983,8.67,Average earnings growth
1984,6.24,Average earnings growth
1985,8.91,Average earnings growth
1986,7.95,Average earnings growth
1987,7.92,Average earnings growth
1988,9.20,Average earnings growth
1989,9.58,Average earnings growth
1990,10.56,Average earnings growth
1991,7.78,Average earnings growth
1992,6.00,Average earnings growth
1993,2.98,Average earnings growth
1994,3.77,Average earnings growth
1995,3.26,Average earnings growth
1996,3.63,Average earnings growth
1997,4.41,Average earnings growth
1998,5.20,Average earnings growth
1999,4.58,Average earnings growth
2000,4.21,Average earnings growth
2001,5.14,Average earnings growth
2002,3.17,Average earnings growth
2003,3.22,Average earnings growth
2004,4.36,Average earnings growth
2005,4.67,Average earnings growth
2006,4.70,Average earnings growth
2007,4.88,Average earnings growth
2008,3.56,Average earnings growth
2009,-0.08,Average earnings growth
2010,2.30,Average earnings growth
2011,2.34,Average earnings growth
2012,1.37,Average earnings growth
2013,1.17,Average earnings growth
2014,1.23,Average earnings growth
2015,2.43,Average earnings growth
2016,2.37,Average earnings growth
1945,2.80,Consumer price inflation
1946,3.10,Consumer price inflation
1947,7.00,Consumer price inflation
1948,7.70,Consumer price inflation
1949,2.80,Consumer price inflation
1950,3.92,Consumer price inflation
1951,9.05,Consumer price inflation
1952,10.65,Consumer price inflation
1953,3.63,Consumer price inflation
1954,2.29,Consumer price inflation
1955,5.07,Consumer price inflation
1956,5.16,Consumer price inflation
1957,3.84,Consumer price inflation
1958,2.88,Consumer price inflation
1959,0.60,Consumer price inflation
1960,0.79,Consumer price inflation
1961,3.25,Consumer price inflation
1962,4.20,Consumer price inflation
1963,2.11,Consumer price inflation
1964,3.23,Consumer price inflation
1965,4.26,Consumer price inflation
1966,4.00,Consumer price inflation
1967,2.24,Consumer price inflation
1968,4.00,Consumer price inflation
1969,5.20,Consumer price inflation
1970,6.52,Consumer price inflation
1971,9.41,Consumer price inflation
1972,7.19,Consumer price inflation
1973,9.35,Consumer price inflation
1974,15.73,Consumer price inflation
1975,22.70,Consumer price inflation
1976,15.66,Consumer price inflation
1977,14.94,Consumer price inflation
1978,7.47,Consumer price inflation
1979,11.37,Consumer price inflation
1980,15.15,Consumer price inflation
1981,11.81,Consumer price inflation
1982,8.11,Consumer price inflation
1983,4.93,Consumer price inflation
1984,4.26,Consumer price inflation
1985,4.92,Consumer price inflation
1986,3.33,Consumer price inflation
1987,3.20,Consumer price inflation
1988,3.76,Consumer price inflation
1989,5.24,Consumer price inflation
1990,6.97,Consumer price inflation
1991,7.53,Consumer price inflation
1992,4.26,Consumer price inflation
1993,2.51,Consumer price inflation
1994,1.98,Consumer price inflation
1995,2.66,Consumer price inflation
1996,2.40,Consumer price inflation
1997,1.82,Consumer price inflation
1998,1.56,Consumer price inflation
1999,1.33,Consumer price inflation
2000,0.80,Consumer price inflation
2001,1.23,Consumer price inflation
2002,1.26,Consumer price inflation
2003,1.36,Consumer price inflation
2004,1.34,Consumer price inflation
2005,2.06,Consumer price inflation
2006,2.33,Consumer price inflation
2007,2.32,Consumer price inflation
2008,3.60,Consumer price inflation
2009,2.17,Consumer price inflation
2010,3.30,Consumer price inflation
2011,4.46,Consumer price inflation
2012,2.83,Consumer price inflation
2013,2.56,Consumer price inflation
2014,1.46,Consumer price inflation
2015,0.04,Consumer price inflation
2016,0.66,Consumer price inflation
