date,measure,value
1770,Net reproducible capital,9.78
1771,Net reproducible capital,9.75
1772,Net reproducible capital,9.73
1773,Net reproducible capital,9.69
1774,Net reproducible capital,9.65
1775,Net reproducible capital,9.60
1776,Net reproducible capital,9.55
1777,Net reproducible capital,9.52
1778,Net reproducible capital,9.50
1779,Net reproducible capital,9.48
1780,Net reproducible capital,9.45
1781,Net reproducible capital,9.43
1782,Net reproducible capital,9.42
1783,Net reproducible capital,9.38
1784,Net reproducible capital,9.35
1785,Net reproducible capital,9.31
1786,Net reproducible capital,9.28
1787,Net reproducible capital,9.26
1788,Net reproducible capital,9.24
1789,Net reproducible capital,9.20
1790,Net reproducible capital,9.18
1791,Net reproducible capital,9.16
1792,Net reproducible capital,9.16
1793,Net reproducible capital,9.17
1794,Net reproducible capital,9.17
1795,Net reproducible capital,9.16
1796,Net reproducible capital,9.18
1797,Net reproducible capital,9.19
1798,Net reproducible capital,9.21
1799,Net reproducible capital,9.21
1800,Net reproducible capital,9.21
1801,Net reproducible capital,9.22
1802,Net reproducible capital,9.25
1803,Net reproducible capital,9.26
1804,Net reproducible capital,9.26
1805,Net reproducible capital,9.25
1806,Net reproducible capital,9.27
1807,Net reproducible capital,9.28
1808,Net reproducible capital,9.30
1809,Net reproducible capital,9.30
1810,Net reproducible capital,9.29
1811,Net reproducible capital,9.29
1812,Net reproducible capital,9.27
1813,Net reproducible capital,9.23
1814,Net reproducible capital,9.19
1815,Net reproducible capital,9.15
1816,Net reproducible capital,9.16
1817,Net reproducible capital,9.15
1818,Net reproducible capital,9.16
1819,Net reproducible capital,9.15
1820,Net reproducible capital,9.11
1821,Net reproducible capital,9.07
1822,Net reproducible capital,9.04
1823,Net reproducible capital,9.01
1824,Net reproducible capital,8.98
1825,Net reproducible capital,8.97
1826,Net reproducible capital,9.03
1827,Net reproducible capital,9.04
1828,Net reproducible capital,9.07
1829,Net reproducible capital,9.08
1830,Net reproducible capital,9.08
1831,Net reproducible capital,9.11
1832,Net reproducible capital,9.11
1833,Net reproducible capital,9.13
1834,Net reproducible capital,9.15
1835,Net reproducible capital,9.17
1836,Net reproducible capital,9.23
1837,Net reproducible capital,9.30
1838,Net reproducible capital,9.38
1839,Net reproducible capital,9.44
1840,Net reproducible capital,9.48
1841,Net reproducible capital,9.53
1842,Net reproducible capital,9.57
1843,Net reproducible capital,9.59
1844,Net reproducible capital,9.63
1845,Net reproducible capital,9.69
1846,Net reproducible capital,9.84
1847,Net reproducible capital,10.00
1848,Net reproducible capital,10.15
1849,Net reproducible capital,10.31
1850,Net reproducible capital,9.29
1851,Net reproducible capital,9.29
1852,Net reproducible capital,9.32
1853,Net reproducible capital,9.34
1854,Net reproducible capital,9.36
1855,Net reproducible capital,9.38
1856,Net reproducible capital,9.31
1857,Net reproducible capital,9.26
1858,Net reproducible capital,9.21
1859,Net reproducible capital,9.14
1860,Net reproducible capital,9.11
1861,Net reproducible capital,9.11
1862,Net reproducible capital,9.14
1863,Net reproducible capital,9.17
1864,Net reproducible capital,9.26
1865,Net reproducible capital,9.37
1866,Net reproducible capital,9.44
1867,Net reproducible capital,9.44
1868,Net reproducible capital,9.42
1869,Net reproducible capital,9.40
1870,Net reproducible capital,9.41
1871,Net reproducible capital,9.47
1872,Net reproducible capital,9.53
1873,Net reproducible capital,9.56
1874,Net reproducible capital,9.62
1875,Net reproducible capital,9.73
1876,Net reproducible capital,9.85
1877,Net reproducible capital,9.94
1878,Net reproducible capital,9.99
1879,Net reproducible capital,9.99
1880,Net reproducible capital,9.94
1881,Net reproducible capital,9.95
1882,Net reproducible capital,9.92
1883,Net reproducible capital,9.91
1884,Net reproducible capital,9.92
1885,Net reproducible capital,9.88
1886,Net reproducible capital,9.80
1887,Net reproducible capital,9.72
1888,Net reproducible capital,9.65
