Measure,Date,Percentage
LFS Employment,Jul-15,1.557254532
LFS Employment,Aug-15,1.390264132
LFS Employment,Sep-15,1.594805699
LFS Employment,Oct-15,1.869855242
LFS Employment,Nov-15,2.102947134
LFS Employment,Dec-15,1.888639611
LFS Employment,Jan-16,1.703867067
LFS Employment,Feb-16,1.370989978
LFS Employment,Mar-16,1.319611558
LFS Employment,Apr-16,1.50184601
LFS Employment,May-16,2.064454344
LFS Employment,Jun-16,2.004045984
LFS Employment,Jul-16,1.858976561
LFS Employment,Aug-16,1.856168409
LFS Employment,Sep-16,1.501160325
LFS Employment,Oct-16,1.125514278
LFS Employment,Nov-16,0.926213644
LFS Employment,Dec-16,0.959092566
LFS Employment,Jan-17,0.962417562
LFS Employment,Feb-17,0.957336324
LFS Employment,Mar-17,1.169825261
LFS Employment,Apr-17,1.10203702
LFS Employment,May-17,0.932346378
LFS Employment,Jun-17,0.993311271
LFS Employment,Jul-17,1.102552861
LFS Employment,Aug-17,0.913238039
LFS Employment,Sep-17,0.788318713
LFS Employment,Oct-17,0.935726199
LFS Employment,Nov-17,1.257985565
LFS Employment,Dec-17,0.959472911
LFS Employment,Jan-18,1.22110445
LFS Employment,Feb-18,1.251191134
LFS Employment,Mar-18,1.22765259
LFS Employment,Apr-18,1.338042937
LFS Employment,May-18,1.186617657
LFS Employment,Jun-18,0.991850623
LFS Employment,Jul-18,0.846921996
LFS Employment,Aug-18,0.945636984
LFS Employment,Sep-18,1.133094716
LFS Employment,Oct-18,1.224049775
LFS Employment,Nov-18,1.012640506
LFS Employment,Dec-18,1.361116546
LFS Employment,Jan-19,1.444849727
LFS Employment,Feb-19,1.39732023
LFS Employment,Mar-19,1.081511578
LFS Employment,Apr-19,1.090461606
LFS Employment,May-19,1.081255637
LFS Employment,Jun-19,1.29470947
LFS Employment,Jul-19,1.127217751
LFS Employment,Aug-19,0.86372275
LFS Employment,Sep-19,0.98513439
LFS Employment,Oct-19,0.943044853
LFS Employment,Nov-19,1.089912017
LFS Employment,Dec-19,1.021120998
LFS Employment,Jan-20,0.822318618
LFS Employment,Feb-20,1.064820968
LFS Employment,Mar-20,0.935194074
LFS Employment,Apr-20,0.286006993
LFS Employment,May-20,-0.016360826
LFS Employment,Jun-20,-0.429913031
LFS Employment,Jul-20,-0.341896282
LFS Employment,Aug-20,-0.313595694
LFS Employment,Sep-20,-0.75859293
LFS Employment,Oct-20,
