Year,Country,GDP per capita
1918,USA,10471.31
1919,USA,10449.78
1920,USA,10152.93
1921,USA,9674.88
1922,USA,10009.72
1923,USA,11071.24
1924,USA,11126.71
1925,USA,11149.77
1926,USA,11647.77
1927,USA,11532.40
1928,USA,11451.07
1929,USA,11954.24
1930,USA,10694.98
1931,USA,9930.96
1932,USA,8380.50
1933,USA,8048.22
1934,USA,8667.09
1935,USA,9680.84
1918,UK,8630.00
1919,UK,7605.00
1920,UK,7017.00
1921,UK,6792.00
1922,UK,7391.00
1923,UK,7587.00
1924,UK,7844.00
1925,UK,8199.00
1926,UK,7868.00
1927,UK,8472.00
1928,UK,8539.00
1929,UK,8772.00
1930,UK,8673.00
1931,UK,8190.00
1932,UK,8206.00
1933,UK,8411.00
1934,UK,8939.00
1935,UK,9244.00
1918,Canada,7079.00
1919,Canada,6406.00
1920,Canada,6154.00
1921,Canada,5351.00
1922,Canada,6046.00
1923,Canada,6338.00
1924,Canada,6339.00
1925,Canada,6918.00
1926,Canada,7168.00
1927,Canada,7726.00
1928,Canada,8244.00
1929,Canada,8074.00
1930,Canada,7669.00
1931,Canada,6382.00
1932,Canada,5852.00
1933,Canada,5372.00
1934,Canada,5883.00
1935,Canada,6298.00
1918,Germany,4755.00
1919,Germany,4122.00
1920,Germany,4457.00
1921,Germany,4906.00
1922,Germany,5310.00
1923,Germany,4383.00
1924,Germany,5099.00
1925,Germany,5630.00
1926,Germany,5746.00
1927,Germany,6282.00
1928,Germany,6519.00
1929,Germany,6457.00
1930,Germany,6333.00
1931,Germany,5821.00
1932,Germany,5359.00
1933,Germany,5668.00
1934,Germany,6150.00
1935,Germany,6567.00
1918,France,3819.00
1919,France,4481.00
1920,France,5144.00
1921,France,4901.00
1922,France,5754.00
1923,France,5984.00
1924,France,6661.00
1925,France,6641.00
1926,France,6773.00
1927,France,6621.00
1928,France,7063.00
1929,France,7508.00
1930,France,7224.00
1931,France,6751.00
1932,France,6311.00
1933,France,6757.00
1934,France,6682.00
1935,France,6513.00
1918,Italy,3856.00
1919,Italy,3701.00
1920,Italy,3789.00
1921,Italy,3660.00
1922,Italy,3928.00
1923,Italy,4248.00
1924,Italy,4324.00
1925,Italy,4580.00
1926,Italy,4576.00
1927,Italy,4454.00
1928,Italy,4693.00
1929,Italy,4889.00
1930,Italy,4631.00
1931,Italy,4538.00
1932,Italy,4602.00
1933,Italy,4514.00
1934,Italy,4466.00
1935,Italy,4670.00
1918,Japan,2973.49
1919,Japan,3219.31
1920,Japan,2973.96
1921,Japan,3244.35
1922,Japan,3243.83
1923,Japan,3243.55
1924,Japan,3316.36
1925,Japan,3414.35
1926,Japan,3358.54
1927,Japan,3346.89
1928,Japan,3554.12
1929,Japan,3665.09
1930,Japan,3334.11
1931,Japan,3320.81
1932,Japan,3529.29
1933,Japan,3786.80
1934,Japan,3755.69
1935,Japan,3825.30
