Date,Conultantion type,Consultations per 1000 patients,Detail
Feb-20,Face-to-face,150.2,GP
Mar-20,Face-to-face,90.2,
Apr-20,Face-to-face,16.5,
May-20,Face-to-face,19.4,
Jun-20,Face-to-face,28.2,
Jul-20,Face-to-face,33.5,
Feb-20,Home,4.9,
Mar-20,Home,3.4,
Apr-20,Home,1.6,
May-20,Home,1.5,
Jun-20,Home,1.9,
Jul-20,Home,2.2,
Feb-20,Telephone,74.8,
Mar-20,Telephone,138.6,
Apr-20,Telephone,159.2,
May-20,Telephone,161.5,
Jun-20,Telephone,189.0,
Jul-20,Telephone,194.2,
Feb-20,Video,0.0,
Mar-20,Video,0.2,
Apr-20,Video,2.0,
May-20,Video,1.9,
Jun-20,Video,2.0,
Jul-20,Video,1.8,
Feb-20,e-consult,0.5,
Mar-20,e-consult,0.7,
Apr-20,e-consult,0.6,
May-20,e-consult,0.7,
Jun-20,e-consult,0.7,
Jul-20,e-consult,1.0,
