horizontal,vertical,colour,group,rate,
1,1,blue,Poor (<100% federal poverty level),49%,
2,1,blue,Poor (<100% federal poverty level),49%,
3,1,blue,Poor (<100% federal poverty level),49%,
4,1,blue,Poor (<100% federal poverty level),49%,
5,1,blue,Poor (<100% federal poverty level),49%,
6,1,blue,Poor (<100% federal poverty level),49%,
7,1,blue,Poor (<100% federal poverty level),49%,
8,1,blue,Poor (<100% federal poverty level),49%,
9,1,blue,Poor (<100% federal poverty level),49%,
10,1,blue,Poor (<100% federal poverty level),49%,
1,2,blue,Poor (<100% federal poverty level),49%,
2,2,blue,Poor (<100% federal poverty level),49%,
3,2,blue,Poor (<100% federal poverty level),49%,
4,2,blue,Poor (<100% federal poverty level),49%,
5,2,blue,Poor (<100% federal poverty level),49%,
6,2,blue,Poor (<100% federal poverty level),49%,
7,2,blue,Poor (<100% federal poverty level),49%,
8,2,blue,Poor (<100% federal poverty level),49%,
9,2,blue,Poor (<100% federal poverty level),49%,
10,2,blue,Poor (<100% federal poverty level),49%,
1,3,blue,Poor (<100% federal poverty level),49%,
2,3,blue,Poor (<100% federal poverty level),49%,
3,3,blue,Poor (<100% federal poverty level),49%,
4,3,blue,Poor (<100% federal poverty level),49%,
5,3,blue,Poor (<100% federal poverty level),49%,
6,3,blue,Poor (<100% federal poverty level),49%,
7,3,blue,Poor (<100% federal poverty level),49%,
8,3,blue,Poor (<100% federal poverty level),49%,
9,3,blue,Poor (<100% federal poverty level),49%,
10,3,blue,Poor (<100% federal poverty level),49%,
1,4,blue,Poor (<100% federal poverty level),49%,
2,4,blue,Poor (<100% federal poverty level),49%,
3,4,blue,Poor (<100% federal poverty level),49%,
4,4,blue,Poor (<100% federal poverty level),49%,
5,4,blue,Poor (<100% federal poverty level),49%,
6,4,blue,Poor (<100% federal poverty level),49%,
7,4,blue,Poor (<100% federal poverty level),49%,
8,4,blue,Poor (<100% federal poverty level),49%,
9,4,blue,Poor (<100% federal poverty level),49%,
10,4,blue,Poor (<100% federal poverty level),49%,
1,5,blue,Poor (<100% federal poverty level),49%,
2,5,blue,Poor (<100% federal poverty level),49%,
3,5,blue,Poor (<100% federal poverty level),49%,
4,5,blue,Poor (<100% federal poverty level),49%,
5,5,blue,Poor (<100% federal poverty level),49%,
6,5,blue,Poor (<100% federal poverty level),49%,
7,5,blue,Poor (<100% federal poverty level),49%,
8,5,blue,Poor (<100% federal poverty level),49%,
9,5,blue,Poor (<100% federal poverty level),49%,
10,5,green,Low income (100-199% federal poverty level),26%,
1,6,green,Low income (100-199% federal poverty level),26%,
2,6,green,Low income (100-199% federal poverty level),26%,
3,6,green,Low income (100-199% federal poverty level),26%,
4,6,green,Low income (100-199% federal poverty level),26%,
5,6,green,Low income (100-199% federal poverty level),26%,
6,6,green,Low income (100-199% federal poverty level),26%,
7,6,green,Low income (100-199% federal poverty level),26%,
8,6,green,Low income (100-199% federal poverty level),26%,
9,6,green,Low income (100-199% federal poverty level),26%,
10,6,green,Low income (100-199% federal poverty level),26%,
1,7,green,Low income (100-199% federal poverty level),26%,
2,7,green,Low income (100-199% federal poverty level),26%,
3,7,green,Low income (100-199% federal poverty level),26%,
4,7,green,Low income (100-199% federal poverty level),26%,
5,7,green,Low income (100-199% federal poverty level),26%,
6,7,green,Low income (100-199% federal poverty level),26%,
7,7,green,Low income (100-199% federal poverty level),26%,
8,7,green,Low income (100-199% federal poverty level),26%,
9,7,green,Low income (100-199% federal poverty level),26%,
10,7,green,Low income (100-199% federal poverty level),26%,
1,8,green,Low income (100-199% federal poverty level),26%,
2,8,green,Low income (100-199% federal poverty level),26%,
3,8,green,Low income (100-199% federal poverty level),26%,
4,8,green,Low income (100-199% federal poverty level),26%,
5,8,green,Low income (100-199% federal poverty level),26%,
6,8,grey,Above low income,25%,
7,8,grey,Above low income,25%,
8,8,grey,Above low income,25%,
9,8,grey,Above low income,25%,
10,8,grey,Above low income,25%,
1,9,grey,Above low income,25%,
2,9,grey,Above low income,25%,
3,9,grey,Above low income,25%,
4,9,grey,Above low income,25%,
5,9,grey,Above low income,25%,
6,9,grey,Above low income,25%,
7,9,grey,Above low income,25%,
8,9,grey,Above low income,25%,
9,9,grey,Above low income,25%,
10,9,grey,Above low income,25%,
1,10,grey,Above low income,25%,
2,10,grey,Above low income,25%,
3,10,grey,Above low income,25%,
4,10,grey,Above low income,25%,
5,10,grey,Above low income,25%,
6,10,grey,Above low income,25%,
7,10,grey,Above low income,25%,
8,10,grey,Above low income,25%,
9,10,grey,Above low income,25%,
10,10,grey,Above low income,25%,
