sector,metric,value
Services,Quarterly national accounts,0.9
Human health and social work activities,Quarterly national accounts,17.3
"Professional, scientific and technical activities",Quarterly national accounts,5.4
Public administration and defence,Quarterly national accounts,2.8
Information and communication,Quarterly national accounts,1.8
Repair of motor vehicles and motorcycles,Quarterly national accounts,1.2
"Arts, entertainment and recreation",Quarterly national accounts,-0.1
Transportation and storage,Quarterly national accounts,-0.7
Financial and insurance activities,Quarterly national accounts,-1.9
Real estate activities,Quarterly national accounts,-1.9
Accommodation and food service activities,Quarterly national accounts,-2.5
Administrative and support service activities,Quarterly national accounts,-4.1
Education,Quarterly national accounts,-5.2
Other service activities,Quarterly national accounts,-17.4
Activities of hh as employers,Quarterly national accounts,-17.7
Services,1st quarterly estimate,0.5
Human health and social work activities,1st quarterly estimate,15.8
"Professional, scientific and technical activities",1st quarterly estimate,4.2
Public administration and defence,1st quarterly estimate,2.3
Information and communication,1st quarterly estimate,0.7
Repair of motor vehicles and motorcycles,1st quarterly estimate,1
"Arts, entertainment and recreation",1st quarterly estimate,2.8
Transportation and storage,1st quarterly estimate,-3.1
Financial and insurance activities,1st quarterly estimate,-2.2
Real estate activities,1st quarterly estimate,-1.8
Accommodation and food service activities,1st quarterly estimate,-0.3
Administrative and support service activities,1st quarterly estimate,-4.8
Education,1st quarterly estimate,-4.1
Other service activities,1st quarterly estimate,-22.5
Activities of hh as employers,1st quarterly estimate,-9.5
