Status,Preference,Percentage of respondents
What they were doing before Covid,WFH all of the time,13
What they were doing before Covid,WFH some of the time,19
What they were doing before Covid,Furloughed,0
What they were doing before Covid,Never WFH,68
What they were doing before Covid,Don't know,0
What they are doing now,WFH all of the time,33
What they are doing now,WFH some of the time,15
What they are doing now,Furloughed,7
What they are doing now,Never WFH,46
What they are doing now,Don't know,0
What they want after Covid,WFH all of the time,18
What they want after Covid,WFH some of the time,39
What they want after Covid,Furloughed,0
What they want after Covid,Never WFH,39
What they want after Covid,Don't know,3
