quarter,sector,value
2022 Q1,Wholesale/retail trade (motor vehicles/motorcycles repair),-2
2022 Q2,Wholesale/retail trade (motor vehicles/motorcycles repair),-1.5
2022 Q1,Transportation and storage,3.2
2022 Q2,Transportation and storage,0.7
2022 Q1,Accommodation and food service activities,5.8
2022 Q2,Accommodation and food service activities,3.9
2022 Q1,Financial and insurance activities,-1
2022 Q2,Financial and insurance activities,0.5
2022 Q1,Real estate activities,-0.4
2022 Q2,Real estate activities,0.1
2022 Q1,Professional scientific and technical activities,4.2
2022 Q2,Professional scientific and technical activities,2
2022 Q1,Public administration and defence,1.1
2022 Q2,Public administration and defence,0
2022 Q1,Education,0.2
2022 Q2,Education,0.8
2022 Q1,Human health and social work activities,-4.3
2022 Q2,Human health and social work activities,-3.5
2022 Q1,Other service activities,4
2022 Q2,Other service activities,0.4
2022 Q1,Total Services,0.8
2022 Q2,Total Services,0.2
