Country,Firm size,Percentage
Denmark,SME,52
Denmark,Large,90
Finland,SME,51
Finland,Large,92
Sweden,SME,49
Sweden,Large,92
Malta,SME,41
Malta,Large,71
Belgium,SME,40
Belgium,Large,83
Netherlands,SME,36
Netherlands,Large,67
Czechia,SME,33
Czechia,Large,68
Lithuania,SME,33
Lithuania,Large,61
Austria,SME,32
Austria,Large,73
Ireland,SME,31
Ireland,Large,67
Luxembourg,SME,30
Luxembourg,Large,58
UK,SME,29
UK,Large,67
Germany,SME,27
Germany,Large,66
Cyprus,SME,26
Cyprus,Large,63
EU,SME,25
EU,Large,62
Spain,SME,24
Spain,Large,45
Portugal,SME,24
Portugal,Large,60
France,SME,23
France,Large,69
Croatia,SME,22
Croatia,Large,47
Estonia,SME,21
Estonia,Large,59
Slovenia,SME,21
Slovenia,Large,66
Italy,SME,20
Italy,Large,55
Slovakia,SME,17
Slovakia,Large,44
Hungary,SME,15
Hungary,Large,46
Latvia,SME,13
Latvia,Large,43
Bulgaria,SME,12
Bulgaria,Large,26
Romania,SME,10
Romania,Large,30
Poland,SME,9
Poland,Large,50
Greece,SME,6
Greece,Large,24
