sector,region,value
Total,UKD North West,99.08
"Agriculture, foresty and fishing",UKD North West,91.58
Mining and quarrying,UKD North West,79.09
Manufacturing,UKD North West,105.54
"Electricity, gas, steam and air",UKD North West,87.10
"Water supply, sewerage ",UKD North West,105.32
Construction,UKD North West,87.46
Wholesale and retail: vehicle repair,UKD North West,106.85
Transport and storage,UKD North West,95.16
Accommodation and food service activities,UKD North West,86.66
Information and communication,UKD North West,114.96
Financial and insurance activities,UKD North West,93.11
Real estate activities,UKD North West,97.29
Professional scientific and technical activities,UKD North West,110.09
Administrative and support service activities,UKD North West,109.17
Public administration and defence,UKD North West,102.83
Education,UKD North West,93.19
Human health and social work activities,UKD North West,94.59
"Arts, entertainment and recreation",UKD North West,82.72
Other service activities,UKD North West,91.99
Activities of households as employers (undifferentiated),UKD North West,97.89
Total,UKE Yorkshire and The Humber,99.01
"Agriculture, foresty and fishing",UKE Yorkshire and The Humber,91.04
Mining and quarrying,UKE Yorkshire and The Humber,108.43
Manufacturing,UKE Yorkshire and The Humber,96.85
"Electricity, gas, steam and air",UKE Yorkshire and The Humber,108.13
"Water supply, sewerage ",UKE Yorkshire and The Humber,100.72
Construction,UKE Yorkshire and The Humber,114.23
Wholesale and retail: vehicle repair,UKE Yorkshire and The Humber,102.98
Transport and storage,UKE Yorkshire and The Humber,93.56
Accommodation and food service activities,UKE Yorkshire and The Humber,88.64
Information and communication,UKE Yorkshire and The Humber,109.83
Financial and insurance activities,UKE Yorkshire and The Humber,96.09
Real estate activities,UKE Yorkshire and The Humber,98.64
Professional scientific and technical activities,UKE Yorkshire and The Humber,102.02
Administrative and support service activities,UKE Yorkshire and The Humber,82.05
Public administration and defence,UKE Yorkshire and The Humber,107.12
Education,UKE Yorkshire and The Humber,92.64
Human health and social work activities,UKE Yorkshire and The Humber,102.91
"Arts, entertainment and recreation",UKE Yorkshire and The Humber,84.56
Other service activities,UKE Yorkshire and The Humber,96.43
Activities of households as employers (undifferentiated),UKE Yorkshire and The Humber,91.60
Total,UKF East Midlands,96.99
"Agriculture, foresty and fishing",UKF East Midlands,84.13
Mining and quarrying,UKF East Midlands,101.59
Manufacturing,UKF East Midlands,96.33
"Electricity, gas, steam and air",UKF East Midlands,103.29
"Water supply, sewerage ",UKF East Midlands,93.64
Construction,UKF East Midlands,88.75
Wholesale and retail: vehicle repair,UKF East Midlands,105.57
Transport and storage,UKF East Midlands,107.12
Accommodation and food service activities,UKF East Midlands,85.25
Information and communication,UKF East Midlands,92.52
Financial and insurance activities,UKF East Midlands,94.80
Real estate activities,UKF East Midlands,97.77
Professional scientific and technical activities,UKF East Midlands,94.64
Administrative and support service activities,UKF East Midlands,97.38
Public administration and defence,UKF East Midlands,103.27
Education,UKF East Midlands,89.16
Human health and social work activities,UKF East Midlands,101.80
"Arts, entertainment and recreation",UKF East Midlands,99.86
Other service activities,UKF East Midlands,85.26
Activities of households as employers (undifferentiated),UKF East Midlands,98.52
Total,UKG West Midlands,92.44
"Agriculture, foresty and fishing",UKG West Midlands,91.31
Mining and quarrying,UKG West Midlands,116.50
Manufacturing,UKG West Midlands,79.62
"Electricity, gas, steam and air",UKG West Midlands,100.92
"Water supply, sewerage ",UKG West Midlands,108.34
Construction,UKG West Midlands,91.61
Wholesale and retail: vehicle repair,UKG West Midlands,104.73
Transport and storage,UKG West Midlands,90.95
Accommodation and food service activities,UKG West Midlands,76.37
Information and communication,UKG West Midlands,88.40
Financial and insurance activities,UKG West Midlands,99.10
Real estate activities,UKG West Midlands,96.61
Professional scientific and technical activities,UKG West Midlands,95.43
Administrative and support service activities,UKG West Midlands,73.55
Public administration and defence,UKG West Midlands,105.10
Education,UKG West Midlands,86.47
Human health and social work activities,UKG West Midlands,102.18
"Arts, entertainment and recreation",UKG West Midlands,91.81
Other service activities,UKG West Midlands,93.16
Activities of households as employers (undifferentiated),UKG West Midlands,101.22
Total,UKH East of England,97.34
"Agriculture, foresty and fishing",UKH East of England,88.55
Mining and quarrying,UKH East of England,117.91
Manufacturing,UKH East of England,95.40
"Electricity, gas, steam and air",UKH East of England,95.82
"Water supply, sewerage ",UKH East of England,92.80
Construction,UKH East of England,99.95
Wholesale and retail: vehicle repair,UKH East of England,101.74
Transport and storage,UKH East of England,92.88
Accommodation and food service activities,UKH East of England,83.49
Information and communication,UKH East of England,105.55
Financial and insurance activities,UKH East of England,106.76
Real estate activities,UKH East of England,96.09
Professional scientific and technical activities,UKH East of England,95.57
Administrative and support service activities,UKH East of England,93.40
Public administration and defence,UKH East of England,103.97
Education,UKH East of England,95.24
Human health and social work activities,UKH East of England,99.98
"Arts, entertainment and recreation",UKH East of England,88.71
Other service activities,UKH East of England,89.58
Activities of households as employers (undifferentiated),UKH East of England,95.82
Total,UKI London,99.05
"Agriculture, foresty and fishing",UKI London,105.07
Mining and quarrying,UKI London,138.49
Manufacturing,UKI London,107.28
"Electricity, gas, steam and air",UKI London,103.74
"Water supply, sewerage ",UKI London,83.20
Construction,UKI London,94.67
Wholesale and retail: vehicle repair,UKI London,111.92
Transport and storage,UKI London,74.07
Accommodation and food service activities,UKI London,60.82
Information and communication,UKI London,111.01
Financial and insurance activities,UKI London,92.05
Real estate activities,UKI London,100.57
Professional scientific and technical activities,UKI London,106.18
Administrative and support service activities,UKI London,106.38
Public administration and defence,UKI London,110.52
Education,UKI London,88.77
Human health and social work activities,UKI London,99.78
"Arts, entertainment and recreation",UKI London,72.00
Other service activities,UKI London,95.72
Activities of households as employers (undifferentiated),UKI London,96.42
Total,UKJ South East,95.61
"Agriculture, foresty and fishing",UKJ South East,109.96
Mining and quarrying,UKJ South East,97.19
Manufacturing,UKJ South East,95.30
"Electricity, gas, steam and air",UKJ South East,102.55
"Water supply, sewerage ",UKJ South East,58.84
Construction,UKJ South East,92.28
Wholesale and retail: vehicle repair,UKJ South East,108.78
Transport and storage,UKJ South East,86.08
Accommodation and food service activities,UKJ South East,78.58
Information and communication,UKJ South East,96.37
Financial and insurance activities,UKJ South East,96.43
Real estate activities,UKJ South East,98.48
Professional scientific and technical activities,UKJ South East,92.78
Administrative and support service activities,UKJ South East,86.80
Public administration and defence,UKJ South East,107.51
Education,UKJ South East,94.14
Human health and social work activities,UKJ South East,98.76
"Arts, entertainment and recreation",UKJ South East,84.11
Other service activities,UKJ South East,88.57
Activities of households as employers (undifferentiated),UKJ South East,96.68
Total,UKK South West,98.92
"Agriculture, foresty and fishing",UKK South West,89.68
Mining and quarrying,UKK South West,108.50
Manufacturing,UKK South West,100.18
"Electricity, gas, steam and air",UKK South West,94.50
"Water supply, sewerage ",UKK South West,65.86
Construction,UKK South West,96.57
Wholesale and retail: vehicle repair,UKK South West,105.85
Transport and storage,UKK South West,92.12
Accommodation and food service activities,UKK South West,84.61
Information and communication,UKK South West,103.56
Financial and insurance activities,UKK South West,97.40
Real estate activities,UKK South West,96.01
Professional scientific and technical activities,UKK South West,104.42
Administrative and support service activities,UKK South West,127.61
Public administration and defence,UKK South West,108.19
Education,UKK South West,90.38
Human health and social work activities,UKK South West,98.79
"Arts, entertainment and recreation",UKK South West,83.25
Other service activities,UKK South West,88.58
Activities of households as employers (undifferentiated),UKK South West,94.04
Total,UKL Wales,100.76
"Agriculture, foresty and fishing",UKL Wales,82.56
Mining and quarrying,UKL Wales,117.69
Manufacturing,UKL Wales,102.69
"Electricity, gas, steam and air",UKL Wales,117.15
"Water supply, sewerage ",UKL Wales,103.75
Construction,UKL Wales,100.61
Wholesale and retail: vehicle repair,UKL Wales,108.33
Transport and storage,UKL Wales,94.14
Accommodation and food service activities,UKL Wales,84.31
Information and communication,UKL Wales,97.22
Financial and insurance activities,UKL Wales,78.08
Real estate activities,UKL Wales,103.13
Professional scientific and technical activities,UKL Wales,101.78
