date,metric,value,value2
1921,Inflation,8.02,null
1922,Inflation,14.58,null
1923,Inflation,6.42,null
1924,Inflation,0.73,null
1925,Inflation,-0.19,null
1926,Inflation,0.72,null
1927,Inflation,2.5,null
1928,Inflation,0.34,null
1929,Inflation,0.92,null
1930,Inflation,2.8,null
1931,Inflation,4.29,null
1932,Inflation,2.59,null
1933,Inflation,2.18,null
1934,Inflation,0.05,null
1935,Inflation,-0.73,null
1936,Inflation,-0.84,null
1937,Inflation,-3.38,null
1938,Inflation,-1.59,null
1939,Inflation,-3.06,null
1940,Inflation,-17.01,null
1941,Inflation,-10.81,null
1942,Inflation,-7.12,null
1943,Inflation,-3.4,null
1944,Inflation,-2.63,null
1945,Inflation,-2.53,null
1946,Inflation,-3.38,null
1947,Inflation,-6.89,null
1948,Inflation,-7.25,null
1949,Inflation,-2.68,null
1950,Inflation,-2.89,null
1951,Inflation,-9.32,null
1952,Inflation,-5.44,null
1953,Inflation,-2.38,null
1954,Inflation,-1.96,null
1955,Inflation,-3.91,null
1956,Inflation,-5.18,null
1957,Inflation,-3.61,null
1958,Inflation,-2.93,null
1959,Inflation,-1.16,null
1960,Inflation,-1.31,null
1961,Inflation,-3.26,null
1962,Inflation,-3.87,null
1963,Inflation,-1.92,null
1964,Inflation,-3.97,null
1965,Inflation,-5.57,null
1966,Inflation,-4.32,null
1967,Inflation,-3.1,null
1968,Inflation,-5.32,null
1969,Inflation,-6.18,null
1970,Inflation,-6.8,null
1971,Inflation,-8.97,null
1972,Inflation,-7.51,null
1973,Inflation,-9.96,null
1974,Inflation,-18.28,null
1975,Inflation,-23.57,null
1976,Inflation,-16.53,null
1977,Inflation,-14.81,null
1978,Inflation,-10.66,null
1979,Inflation,-14.58,null
1980,Inflation,-17.22,null
1981,Inflation,-12.32,null
1982,Inflation,-9.19,null
1983,Inflation,-5.97,null
1984,Inflation,-5.51,null
1985,Inflation,-4.36,null
1986,Inflation,-4.46,null
1987,Inflation,-4.5,null
1988,Inflation,-5.3,null
1989,Inflation,-5.88,null
1990,Inflation,-7.86,null
1991,Inflation,-7.56,null
1992,Inflation,-4.11,null
1993,Inflation,-3.5,null
1994,Inflation,-1.73,null
1995,Inflation,-3.04,null
1996,Inflation,-3.63,null
1997,Inflation,-1.94,null
1998,Inflation,-1.52,null
1999,Inflation,-0.5,null
2000,Inflation,-0.61,null
2001,Inflation,-0.88,null
2002,Inflation,-0.49,null
2003,Inflation,-1.44,null
2004,Inflation,-1.92,null
2005,Inflation,-2.7,null
2006,Inflation,-2.68,null
2007,Inflation,-2.62,null
2008,Inflation,-3.6,null
2009,Inflation,-0.63,null
2010,Inflation,-1.21,null
2011,Inflation,-3.68,null
2012,Inflation,-1.85,null
2013,Inflation,-2.2,null
2014,Inflation,-1.4,null
2015,Inflation,0.42,null
2016,Inflation,-1.13,null
2017,Inflation,-1.79,null
2018,Inflation,-2.05,null
2019,Inflation,-1.34,null
