Time period,Age group,Change in mental health,Gender
April-June,16-30,-0.3069,Women
July-September,16-30,-0.0537,
November ,16-30,-0.3905,
April-June,30-40,-0.2793,
July-September,30-40,-0.0553,
November ,30-40,-0.3037,
April-June,40-50,-0.2015,
July-September,40-50,-0.0837,
November ,40-50,-0.305,
April-June,50-60,-0.1383,
July-September,50-60,-0.0481,
November ,50-60,-0.2125,
April-June,60-70,-0.2275,
July-September,60-70,-0.1209,
November ,60-70,-0.247,
April-June,70+,-0.2131,
July-September,70+,-0.1295,
November ,70+,-0.2918,
