Measure,Date,Percentage
LFS Employment,01/07/2015,1.557254532
LFS Employment,01/08/2015,1.390264132
LFS Employment,01/09/2015,1.594805699
LFS Employment,01/10/2015,1.869855242
LFS Employment,01/11/2015,2.102947134
LFS Employment,01/12/2015,1.888639611
LFS Employment,01/01/2016,1.703867067
LFS Employment,01/02/2016,1.370989978
LFS Employment,01/03/2016,1.319611558
LFS Employment,01/04/2016,1.50184601
LFS Employment,01/05/2016,2.064454344
LFS Employment,01/06/2016,2.004045984
LFS Employment,01/07/2016,1.858976561
LFS Employment,01/08/2016,1.856168409
LFS Employment,01/09/2016,1.501160325
LFS Employment,01/10/2016,1.125514278
LFS Employment,01/11/2016,0.926213644
LFS Employment,01/12/2016,0.959092566
LFS Employment,01/01/2017,0.962417562
LFS Employment,01/02/2017,0.957336324
LFS Employment,01/03/2017,1.169825261
LFS Employment,01/04/2017,1.10203702
LFS Employment,01/05/2017,0.932346378
LFS Employment,01/06/2017,0.993311271
LFS Employment,01/07/2017,1.102552861
LFS Employment,01/08/2017,0.913238039
LFS Employment,01/09/2017,0.788318713
LFS Employment,01/10/2017,0.935726199
LFS Employment,01/11/2017,1.257985565
LFS Employment,01/12/2017,0.959472911
LFS Employment,01/01/2018,1.22110445
LFS Employment,01/02/2018,1.251191134
LFS Employment,01/03/2018,1.22765259
LFS Employment,01/04/2018,1.338042937
LFS Employment,01/05/2018,1.186617657
LFS Employment,01/06/2018,0.991850623
LFS Employment,01/07/2018,0.846921996
LFS Employment,01/08/2018,0.945636984
LFS Employment,01/09/2018,1.133094716
LFS Employment,01/10/2018,1.224049775
LFS Employment,01/11/2018,1.012640506
LFS Employment,01/12/2018,1.361116546
LFS Employment,01/01/2019,1.444849727
LFS Employment,01/02/2019,1.39732023
LFS Employment,01/03/2019,1.081511578
LFS Employment,01/04/2019,1.090461606
LFS Employment,01/05/2019,1.081255637
LFS Employment,01/06/2019,1.29470947
LFS Employment,01/07/2019,1.127217751
LFS Employment,01/08/2019,0.86372275
LFS Employment,01/09/2019,0.98513439
LFS Employment,01/10/2019,0.943044853
LFS Employment,01/11/2019,1.089912017
LFS Employment,01/12/2019,1.021120998
LFS Employment,01/01/2020,0.822318618
LFS Employment,01/02/2020,1.064820968
LFS Employment,01/03/2020,0.935194074
LFS Employment,01/04/2020,0.286006993
LFS Employment,01/05/2020,-0.016360826
LFS Employment,01/06/2020,-0.429913031
LFS Employment,01/07/2020,-0.341896282
LFS Employment,01/08/2020,-0.313595694
LFS Employment,01/09/2020,-0.75859293
LFS Employment,01/10/2020,
LFS Employees,01/07/2015,2.119631473
LFS Employees,01/08/2015,1.883187468
LFS Employees,01/09/2015,1.865845639
LFS Employees,01/10/2015,2.066982705
LFS Employees,01/11/2015,2.168112268
LFS Employees,01/12/2015,1.689137063
LFS Employees,01/01/2016,1.665841444
LFS Employees,01/02/2016,1.172873546
LFS Employees,01/03/2016,0.958358379
LFS Employees,01/04/2016,1.021657992
LFS Employees,01/05/2016,1.278254243
LFS Employees,01/06/2016,1.387238114
LFS Employees,01/07/2016,1.44410254
LFS Employees,01/08/2016,1.216038523
LFS Employees,01/09/2016,1.015817336
LFS Employees,01/10/2016,0.807281109
LFS Employees,01/11/2016,0.556192799
LFS Employees,01/12/2016,0.63116719
LFS Employees,01/01/2017,0.51405836
LFS Employees,01/02/2017,0.689314183
LFS Employees,01/03/2017,1.011142629
LFS Employees,01/04/2017,0.944289609
LFS Employees,01/05/2017,1.140748097
LFS Employees,01/06/2017,1.176402784
LFS Employees,01/07/2017,1.000710647
LFS Employees,01/08/2017,0.874573161
LFS Employees,01/09/2017,0.914003442
LFS Employees,01/10/2017,0.977877598
LFS Employees,01/11/2017,1.543146327
LFS Employees,01/12/2017,1.246605994
LFS Employees,01/01/2018,1.65723638
LFS Employees,01/02/2018,1.791352241
LFS Employees,01/03/2018,1.780398118
LFS Employees,01/04/2018,1.735320681
LFS Employees,01/05/2018,1.473998234
LFS Employees,01/06/2018,1.374583804
LFS Employees,01/07/2018,1.203203236
LFS Employees,01/08/2018,1.503396598
LFS Employees,01/09/2018,1.586950428
LFS Employees,01/10/2018,1.642337911
LFS Employees,01/11/2018,1.05327317
LFS Employees,01/12/2018,1.505473988
LFS Employees,01/01/2019,1.529696555
LFS Employees,01/02/2019,1.329948029
LFS Employees,01/03/2019,0.608584917
LFS Employees,01/04/2019,0.872662458
LFS Employees,01/05/2019,0.679348385
LFS Employees,01/06/2019,0.782435043
LFS Employees,01/07/2019,0.850220096
LFS Employees,01/08/2019,0.353466495
LFS Employees,01/09/2019,0.398778236
LFS Employees,01/10/2019,0.395798179
LFS Employees,01/11/2019,0.646168873
LFS Employees,01/12/2019,0.490739738
LFS Employees,01/01/2020,0.205414563
LFS Employees,01/02/2020,0.519929763
LFS Employees,01/03/2020,1.024562455
LFS Employees,01/04/2020,0.549914109
LFS Employees,01/05/2020,0.641143029
LFS Employees,01/06/2020,0.565940622
LFS Employees,01/07/2020,0.617254971
LFS Employees,01/08/2020,1.146720134
LFS Employees,01/09/2020,0.81330852
LFS Employees,01/10/2020,
RTI 3-month average,01/07/2015,
RTI 3-month average,01/08/2015,
RTI 3-month average,01/09/2015,2.661941588
RTI 3-month average,01/10/2015,2.667510698
RTI 3-month average,01/11/2015,2.656512171
RTI 3-month average,01/12/2015,2.611879412
RTI 3-month average,01/01/2016,2.415513021
RTI 3-month average,01/02/2016,2.252514186
RTI 3-month average,01/03/2016,2.049405706
RTI 3-month average,01/04/2016,1.903041671
RTI 3-month average,01/05/2016,1.770657975
RTI 3-month average,01/06/2016,1.68554368
RTI 3-month average,01/07/2016,1.619995532
RTI 3-month average,01/08/2016,1.526776096
RTI 3-month average,01/09/2016,1.439144561
RTI 3-month average,01/10/2016,1.335083762
RTI 3-month average,01/11/2016,1.260450348
RTI 3-month average,01/12/2016,1.282662838
RTI 3-month average,01/01/2017,1.260716264
RTI 3-month average,01/02/2017,1.255893562
RTI 3-month average,01/03/2017,1.214917786
RTI 3-month average,01/04/2017,1.264574769
RTI 3-month average,01/05/2017,1.306394973
RTI 3-month average,01/06/2017,1.307810778
RTI 3-month average,01/07/2017,1.281280864
RTI 3-month average,01/08/2017,1.296789611
RTI 3-month average,01/09/2017,1.318982586
RTI 3-month average,01/10/2017,1.366544154
RTI 3-month average,01/11/2017,1.371702179
RTI 3-month average,01/12/2017,1.36436803
RTI 3-month average,01/01/2018,1.362370609
RTI 3-month average,01/02/2018,1.325942832
RTI 3-month average,01/03/2018,1.241039256
RTI 3-month average,01/04/2018,1.180516583
RTI 3-month average,01/05/2018,1.123394196
RTI 3-month average,01/06/2018,1.110961845
RTI 3-month average,01/07/2018,1.085756949
RTI 3-month average,01/08/2018,1.101274011
RTI 3-month average,01/09/2018,1.096538124
RTI 3-month average,01/10/2018,1.072893256
RTI 3-month average,01/11/2018,1.066626874
RTI 3-month average,01/12/2018,1.058336721
RTI 3-month average,01/01/2019,1.061445828
RTI 3-month average,01/02/2019,1.065403102
RTI 3-month average,01/03/2019,1.178755121
RTI 3-month average,01/04/2019,1.210029949
RTI 3-month average,01/05/2019,1.208242422
RTI 3-month average,01/06/2019,1.118135282
RTI 3-month average,01/07/2019,1.042380063
RTI 3-month average,01/08/2019,0.970004591
RTI 3-month average,01/09/2019,0.93454701
RTI 3-month average,01/10/2019,0.927313761
RTI 3-month average,01/11/2019,0.865810874
RTI 3-month average,01/12/2019,0.800293735
RTI 3-month average,01/01/2020,0.773083858
RTI 3-month average,01/02/2020,0.759539562
RTI 3-month average,01/03/2020,0.633112358
RTI 3-month average,01/04/2020,-0.050056268
RTI 3-month average,01/05/2020,-0.881239029
RTI 3-month average,01/06/2020,-1.680697701
RTI 3-month average,01/07/2020,-1.946130577
RTI 3-month average,01/08/2020,-2.115594591
RTI 3-month average,01/09/2020,-2.299646279
RTI 3-month average,01/10/2020,-2.518664783
