Date,Conultantion type,Consultations per 1000 patients,Detail
Feb-19,Face-to-face,77.0,Nurses/paramedic
Mar-19,Face-to-face,81.1,
Apr-19,Face-to-face,75.3,
May-19,Face-to-face,80.7,
Jun-19,Face-to-face,81.3,
Jul-19,Face-to-face,92.6,
Feb-19,Home,0.7,
Mar-19,Home,0.7,
Apr-19,Home,0.8,
May-19,Home,0.8,
Jun-19,Home,0.7,
Jul-19,Home,1.0,
Feb-19,Telephone,7.9,
Mar-19,Telephone,8.1,
Apr-19,Telephone,7.3,
May-19,Telephone,7.0,
Jun-19,Telephone,7.0,
Jul-19,Telephone,7.7,
Feb-19,Video,0.0,
Mar-19,Video,0.0,
Apr-19,Video,0.0,
May-19,Video,0.0,
Jun-19,Video,0.0,
Jul-19,Video,0.0,
Feb-19,e-consult,0.4,
Mar-19,e-consult,0.6,
Apr-19,e-consult,0.2,
May-19,e-consult,0.0,
Jun-19,e-consult,0.0,
Jul-19,e-consult,0.0,
