Year,Country,Inflation rate
1992,Czech Republic,11.10
1993,Czech Republic,20.80
1994,Czech Republic,10.00
1995,Czech Republic,9.10
1996,Czech Republic,8.80
1997,Czech Republic,8.16
1998,Czech Republic,9.59
1999,Czech Republic,1.87
2000,Czech Republic,3.94
2001,Czech Republic,4.47
2002,Czech Republic,1.43
2003,Czech Republic,0.00
2004,Czech Republic,2.56
2005,Czech Republic,1.62
2006,Czech Republic,2.09
2007,Czech Republic,2.88
2008,Czech Republic,6.31
2009,Czech Republic,0.55
2010,Czech Republic,1.20
2011,Czech Republic,2.16
2012,Czech Republic,3.59
2013,Czech Republic,1.33
2014,Czech Republic,0.50
2015,Czech Republic,0.20
2016,Czech Republic,0.70
2017,Czech Republic,2.38
2018,Czech Republic,1.94
2019,Czech Republic,2.57
2020,Czech Republic,3.34
1992,Slovakia,10.00
1993,Slovakia,23.20
1994,Slovakia,13.40
1995,Slovakia,9.90
1996,Slovakia,5.80
1997,Slovakia,6.02
1998,Slovakia,6.68
1999,Slovakia,10.44
2000,Slovakia,12.19
2001,Slovakia,7.15
2002,Slovakia,3.51
2003,Slovakia,8.43
2004,Slovakia,7.48
2005,Slovakia,2.79
2006,Slovakia,4.26
2007,Slovakia,1.89
2008,Slovakia,3.94
2009,Slovakia,0.92
2010,Slovakia,0.70
2011,Slovakia,4.08
2012,Slovakia,3.74
2013,Slovakia,1.46
2014,Slovakia,-0.10
2015,Slovakia,-0.35
2016,Slovakia,-0.48
2017,Slovakia,1.39
2018,Slovakia,2.54
2019,Slovakia,2.77
2020,Slovakia,2.01
1992,EU,4.30
1993,EU,3.50
1994,EU,2.70
1995,EU,3.00
1996,EU,2.50
1997,EU,1.74
1998,EU,1.29
1999,EU,1.19
2000,EU,1.90
2001,EU,2.20
2002,EU,2.07
2003,EU,1.96
2004,EU,2.02
2005,EU,2.16
2006,EU,2.21
2007,EU,2.33
2008,EU,3.66
2009,EU,0.98
2010,EU,2.09
2011,EU,3.10
2012,EU,2.64
2013,EU,1.50
2014,EU,0.55
2015,EU,0.10
2016,EU,0.25
2017,EU,1.71
2018,EU,1.89
2019,EU,1.47
2020,EU,0.74
