Person,Percentage,Month
Lone mother,53.68896,2020-04-01
Lone mother,56.55182,2020-05-01
Lone mother,50.87524,2020-06-01
Lone mother,36.32884,2020-07-01
Lone mother,29.5208,2020-09-01
Lone mother,27.20369,2020-11-01
Father (couple),39.7697,2020-04-01
Father (couple),45.13652,2020-05-01
Father (couple),38.59221,2020-06-01
Father (couple),34.32106,2020-07-01
Father (couple),25.66558,2020-09-01
Father (couple),29.76148,2020-11-01
Mother (couple),50.75487,2020-04-01
Mother (couple),47.049,2020-05-01
Mother (couple),45.82525,2020-06-01
Mother (couple),46.54744,2020-07-01
Mother (couple),30.19788,2020-09-01
Mother (couple),32.09816,2020-11-01
