date,metric,value,value2,metric2
1921,Inflation,8.02,null,Inflation (forecast)
1922,Inflation,14.58,null,Inflation (forecast)
1923,Inflation,6.42,null,Inflation (forecast)
1924,Inflation,0.73,null,Inflation (forecast)
1925,Inflation,-0.19,null,Inflation (forecast)
1926,Inflation,0.72,null,Inflation (forecast)
1927,Inflation,2.5,null,Inflation (forecast)
1928,Inflation,0.34,null,Inflation (forecast)
1929,Inflation,0.92,null,Inflation (forecast)
1930,Inflation,2.8,null,Inflation (forecast)
1931,Inflation,4.29,null,Inflation (forecast)
1932,Inflation,2.59,null,Inflation (forecast)
1933,Inflation,2.18,null,Inflation (forecast)
1934,Inflation,0.05,null,Inflation (forecast)
1935,Inflation,-0.73,null,Inflation (forecast)
1936,Inflation,-0.84,null,Inflation (forecast)
1937,Inflation,-3.38,null,Inflation (forecast)
1938,Inflation,-1.59,null,Inflation (forecast)
1939,Inflation,-3.06,null,Inflation (forecast)
1940,Inflation,-17.01,null,Inflation (forecast)
1941,Inflation,-10.81,null,Inflation (forecast)
1942,Inflation,-7.12,null,Inflation (forecast)
1943,Inflation,-3.4,null,Inflation (forecast)
1944,Inflation,-2.63,null,Inflation (forecast)
1945,Inflation,-2.53,null,Inflation (forecast)
1946,Inflation,-3.38,null,Inflation (forecast)
1947,Inflation,-6.89,null,Inflation (forecast)
1948,Inflation,-7.25,null,Inflation (forecast)
1949,Inflation,-2.68,null,Inflation (forecast)
1950,Inflation,-2.89,null,Inflation (forecast)
1951,Inflation,-9.32,null,Inflation (forecast)
1952,Inflation,-5.44,null,Inflation (forecast)
1953,Inflation,-2.38,null,Inflation (forecast)
1954,Inflation,-1.96,null,Inflation (forecast)
1955,Inflation,-3.91,null,Inflation (forecast)
1956,Inflation,-5.18,null,Inflation (forecast)
1957,Inflation,-3.61,null,Inflation (forecast)
1958,Inflation,-2.93,null,Inflation (forecast)
1959,Inflation,-1.16,null,Inflation (forecast)
1960,Inflation,-1.31,null,Inflation (forecast)
1961,Inflation,-3.26,null,Inflation (forecast)
1962,Inflation,-3.87,null,Inflation (forecast)
1963,Inflation,-1.92,null,Inflation (forecast)
1964,Inflation,-3.97,null,Inflation (forecast)
1965,Inflation,-5.57,null,Inflation (forecast)
1966,Inflation,-4.32,null,Inflation (forecast)
1967,Inflation,-3.1,null,Inflation (forecast)
1968,Inflation,-5.32,null,Inflation (forecast)
1969,Inflation,-6.18,null,Inflation (forecast)
1970,Inflation,-6.8,null,Inflation (forecast)
1971,Inflation,-8.97,null,Inflation (forecast)
1972,Inflation,-7.51,null,Inflation (forecast)
1973,Inflation,-9.96,null,Inflation (forecast)
1974,Inflation,-18.28,null,Inflation (forecast)
1975,Inflation,-23.57,null,Inflation (forecast)
1976,Inflation,-16.53,null,Inflation (forecast)
1977,Inflation,-14.81,null,Inflation (forecast)
1978,Inflation,-10.66,null,Inflation (forecast)
1979,Inflation,-14.58,null,Inflation (forecast)
1980,Inflation,-17.22,null,Inflation (forecast)
1981,Inflation,-12.32,null,Inflation (forecast)
1982,Inflation,-9.19,null,Inflation (forecast)
1983,Inflation,-5.97,null,Inflation (forecast)
1984,Inflation,-5.51,null,Inflation (forecast)
1985,Inflation,-4.36,null,Inflation (forecast)
1986,Inflation,-4.46,null,Inflation (forecast)
1987,Inflation,-4.5,null,Inflation (forecast)
1988,Inflation,-5.3,null,Inflation (forecast)
1989,Inflation,-5.88,null,Inflation (forecast)
1990,Inflation,-7.86,null,Inflation (forecast)
1991,Inflation,-7.56,null,Inflation (forecast)
1992,Inflation,-4.11,null,Inflation (forecast)
1993,Inflation,-3.5,null,Inflation (forecast)
1994,Inflation,-1.73,null,Inflation (forecast)
1995,Inflation,-3.04,null,Inflation (forecast)
1996,Inflation,-3.63,null,Inflation (forecast)
1997,Inflation,-1.94,null,Inflation (forecast)
1998,Inflation,-1.52,null,Inflation (forecast)
1999,Inflation,-0.5,null,Inflation (forecast)
2000,Inflation,-0.61,null,Inflation (forecast)
2001,Inflation,-0.88,null,Inflation (forecast)
2002,Inflation,-0.49,null,Inflation (forecast)
2003,Inflation,-1.44,null,Inflation (forecast)
2004,Inflation,-1.92,null,Inflation (forecast)
2005,Inflation,-2.7,null,Inflation (forecast)
2006,Inflation,-2.68,null,Inflation (forecast)
2007,Inflation,-2.62,null,Inflation (forecast)
2008,Inflation,-3.6,null,Inflation (forecast)
2009,Inflation,-0.63,null,Inflation (forecast)
2010,Inflation,-1.21,null,Inflation (forecast)
2011,Inflation,-3.68,null,Inflation (forecast)
2012,Inflation,-1.85,null,Inflation (forecast)
2013,Inflation,-2.2,null,Inflation (forecast)
2014,Inflation,-1.4,null,Inflation (forecast)
2015,Inflation,0.42,null,Inflation (forecast)
2016,Inflation,-1.13,null,Inflation (forecast)
2017,Inflation,-1.79,null,Inflation (forecast)
2018,Inflation,-2.05,null,Inflation (forecast)
2019,Inflation,-1.34,null,Inflation (forecast)
2020,Inflation,-1.05,null,Inflation (forecast)
2021,Inflation,-2.46,null,Inflation (forecast)
2022,Inflation,null,-5.5,Inflation (forecast)
1921,Nominal income ,-16.55,null,Nominal income (forecast)
1922,Nominal income ,-11.23,null,Nominal income (forecast)
1923,Nominal income ,-2.66,null,Nominal income (forecast)
1924,Nominal income ,2.97,null,Nominal income (forecast)
1925,Nominal income ,1.06,null,Nominal income (forecast)
1926,Nominal income ,-0.9,null,Nominal income (forecast)
1927,Nominal income ,3.95,null,Nominal income (forecast)
1928,Nominal income ,-0.38,null,Nominal income (forecast)
1929,Nominal income ,0.96,null,Nominal income (forecast)
1930,Nominal income ,-2.19,null,Nominal income (forecast)
1931,Nominal income ,-4.14,null,Nominal income (forecast)
1932,Nominal income ,-4.5,null,Nominal income (forecast)
