Ethnic group,Unemployment rate,Year,smooth_diff,
Bangladeshi,0.012559745,1995,nul,
Bangladeshi,-0.03561742,1996,nul,
Bangladeshi,0.060831521,1997,nul,
Bangladeshi,0.009312739,1998,nul,
Bangladeshi,0.035840704,1999,3.978382782,
Bangladeshi,0.052607887,2000,4.146628937,
Bangladeshi,0.125996173,2001,5.185014634,
Bangladeshi,0.037173783,2002,4.874027422,
Bangladeshi,0.059349316,2003,6.286559945,
Bangladeshi,0.027701899,2004,6.412070617,
Bangladeshi,0.057837293,2005,5.89808665,
Bangladeshi,0.032842672,2006,5.307330461,
Bangladeshi,0.136440666,2007,5.499775559,
Bangladeshi,0.047136665,2008,5.200981499,
Bangladeshi,0.00634933,2009,5.742580277,
Bangladeshi,0.072828116,2010,5.415220459,
Bangladeshi,0.054493842,2011,5.68273495,
Bangladeshi,0.032457851,2012,4.434006898,
Bangladeshi,0.076445789,2013,4.558521328,
Bangladeshi,0.028374909,2014,4.648870647,
Bangladeshi,0.056918976,2015,4.506720454,
Bangladeshi,0.024055142,2016,nul,
Bangladeshi,0.058342963,2017,nul,
Bangladeshi,0.014480769,2018,nul,
Bangladeshi,0.060034599,2019,nul,
Black,0.069486052,1995,nul,
Black,0.071301311,1996,nul,
Black,0.066172432,1997,nul,
Black,0.052952894,1998,nul,
Black,0.055821967,1999,7.334894584,
Black,0.082408175,2000,7.342837802,
Black,0.078671054,2001,7.635194806,
Black,0.107142806,2002,7.925252425,
Black,0.076183821,2003,8.596993222,
Black,0.070200941,2004,8.769824645,
Black,0.097613442,2005,8.590197247,
Black,0.092277618,2006,8.293836133,
Black,0.113409566,2007,8.288713702,
Black,0.071376795,2008,8.052927953,
Black,0.066241709,2009,8.023810511,
Black,0.051998553,2010,7.81986309,
Black,0.106681788,2011,7.842346846,
Black,0.054963103,2012,7.556561222,
Black,0.067580371,2013,7.05005792,
Black,0.079258174,2014,6.625657001,
Black,0.094301156,2015,6.673631958,
Black,0.08768886,2016,nul,
Black,0.025791498,2017,nul,
Black,0.028045627,2018,nul,
Black,0.0563163,2019,nul,
Chinese,0.002542017,1995,nul,
Chinese,0.046356905,1996,nul,
Chinese,-0.028980185,1997,nul,
Chinese,-0.016421494,1998,nul,
Chinese,-0.002791544,1999,0.828260915,
Chinese,0.055979479,2000,1.36151966,
Chinese,0.039671937,2001,1.456505593,
Chinese,-0.009287238,2002,2.209852466,
Chinese,-0.012526394,2003,2.798518111,
Chinese,0.050535304,2004,2.986655654,
Chinese,0.054905639,2005,2.400587767,
Chinese,0.038821033,2006,2.639527085,
Chinese,0.036558414,2007,2.813898792,
Chinese,0.014140835,2008,3.349757958,
Chinese,0.003233369,2009,3.786334029,
Chinese,0.061176475,2010,3.128288946,
Chinese,0.006406215,2011,2.877779727,
Chinese,0.035700931,2012,2.697575013,
Chinese,0.08982715,2013,2.245116932,
Chinese,-0.004318418,2014,1.93161015,
Chinese,0.016275204,2015,2.402118709,
Chinese,0.02033999,2016,nul,
Chinese,-0.026580392,2017,nul,
Chinese,-0.024982241,2018,nul,
Chinese,0.103522246,2019,nul,
Indian,0.030500224,1995,nul,
Indian,0.030098855,1996,nul,
Indian,0.015822715,1997,nul,
Indian,0.036777423,1998,nul,
Indian,0.018693793,1999,2.809758692,
Indian,0.025599187,2000,2.591931738,
Indian,0.039625488,2001,2.685712418,
Indian,0.034375787,2002,2.867800477,
Indian,0.021384812,2003,2.710437467,
Indian,0.010895798,2004,2.832187789,
Indian,0.038539116,2005,2.863116865,
Indian,0.03221064,2006,2.614242389,
Indian,0.022614752,2007,2.391243119,
Indian,0.029651322,2008,2.485473887,
Indian,0.028382804,2009,2.774786954,
Indian,0.017226785,2010,2.523186915,
Indian,0.014305852,2011,2.697531053,
Indian,0.029865582,2012,2.749280124,
Indian,0.036933974,2013,2.765090691,
Indian,0.015895112,2014,2.635565879,
Indian,0.047901612,2015,2.663754552,
Indian,0.027272168,2016,nul,
Indian,0.031074272,2017,nul,
Indian,0.016725571,2018,nul,
Indian,0.019763765,2019,nul,
Pakistani,0.078449044,1995,nul,
Pakistani,0.08897344,1996,nul,
Pakistani,0.067196421,1997,nul,
Pakistani,0.068842291,1998,nul,
Pakistani,0.04165278,1999,7.030847253,
Pakistani,0.064935409,2000,6.52297602,
Pakistani,0.106346886,2001,6.237038744,
Pakistani,0.038758438,2002,6.156609503,
Pakistani,0.077621543,2003,6.091349517,
Pakistani,0.032740633,2004,6.322305098,
Pakistani,0.063239085,2005,5.994028434,
Pakistani,0.05995779,2006,5.446877904,
Pakistani,0.062968893,2007,5.256985798,
Pakistani,0.062438782,2008,4.876103984,
Pakistani,0.035390509,2009,5.359451309,
Pakistani,0.057103338,2010,5.342377685,
Pakistani,0.021668149,2011,5.458235219,
Pakistani,0.04334218,2012,5.296119687,
Pakistani,0.076241892,2013,5.222869719,
Pakistani,0.061702459,2014,5.142584979,
Pakistani,0.070384968,2015,5.111535331,
Pakistani,0.048378495,2016,nul,
Pakistani,0.055846285,2017,nul,
Pakistani,0.028164883,2018,nul,
Pakistani,0.05430887,2019,nul,
