Quarter,GDP growth
1980 Q1,23.1
1980 Q2,18
1980 Q3,16.3
1980 Q4,14
1981 Q1,12.6
1981 Q2,12
1981 Q3,11
1981 Q4,10.9
1982 Q1,10.8
1982 Q2,10.7
1982 Q3,9.7
1982 Q4,9.4
1983 Q1,10.5
1983 Q2,9.4
1983 Q3,10.1
1983 Q4,9.9
1984 Q1,7
1984 Q2,8.2
1984 Q3,7.1
1984 Q4,8
1985 Q1,7.9
1985 Q2,10.7
1985 Q3,10.8
1985 Q4,9.4
1986 Q1,9.8
1986 Q2,6.7
1986 Q3,6.8
1986 Q4,7.8
1987 Q1,8.7
1987 Q2,10.4
1987 Q3,13
1987 Q4,12
1988 Q1,12.8
1988 Q2,11.8
1988 Q3,11.1
1988 Q4,12.3
1989 Q1,11.6
1989 Q2,11.2
1989 Q3,10.5
1989 Q4,9.3
1990 Q1,9.2
1990 Q2,10.1
1990 Q3,9.1
1990 Q4,7.1
1991 Q1,6.9
1991 Q2,5.2
1991 Q3,4.3
1991 Q4,5.6
1992 Q1,4.6
1992 Q2,3.6
1992 Q3,2.9
1992 Q4,3.1
1993 Q1,4.6
1993 Q2,4.6
1993 Q3,6.2
1993 Q4,5.7
1994 Q1,4.8
1994 Q2,5.5
1994 Q3,4.8
1994 Q4,5.8
1995 Q1,4.8
1995 Q2,5.1
1995 Q3,5.7
1995 Q4,4.6
1996 Q1,5.7
1996 Q2,6.7
1996 Q3,6.9
1996 Q4,7.5
1997 Q1,6.3
1997 Q2,4.8
1997 Q3,5.8
1997 Q4,2.9
1998 Q1,4
1998 Q2,4.8
1998 Q3,3.2
1998 Q4,7.2
1999 Q1,6
1999 Q2,3.9
1999 Q3,4
1999 Q4,3.1
2000 Q1,4.9
2000 Q2,6.6
2000 Q3,5.8
2000 Q4,4.3
2001 Q1,3
2001 Q2,4.2
2001 Q3,3.8
2001 Q4,4.4
2002 Q1,4.5
2002 Q2,3.3
2002 Q3,4.5
2002 Q4,5
2003 Q1,5.4
2003 Q2,5.5
2003 Q3,6
2003 Q4,6.2
2004 Q1,5.2
2004 Q2,5.9
2004 Q3,4.5
2004 Q4,4
2005 Q1,4.7
2005 Q2,5.5
2005 Q3,5.7
2005 Q4,7.1
2006 Q1,7
2006 Q2,5.6
2006 Q3,5.7
2006 Q4,4.1
2007 Q1,4.7
2007 Q2,4.6
2007 Q3,5.4
2007 Q4,5.8
2008 Q1,5.8
2008 Q2,4.1
2008 Q3,2
2008 Q4,-0.5
2009 Q1,-4.1
2009 Q2,-3.3
2009 Q3,-1.9
2009 Q4,-1
2010 Q1,2.7
2010 Q2,4.1
2010 Q3,3.5
2010 Q4,4.5
2011 Q1,4.9
2011 Q2,2.5
2011 Q3,2.8
2011 Q4,3.2
2012 Q1,1.7
2012 Q2,2.9
2012 Q3,4.3
2012 Q4,3.5
2013 Q1,3.5
2013 Q2,3.9
2013 Q3,3.8
2013 Q4,4.8
2014 Q1,5.4
2014 Q2,5.3
2014 Q3,4.4
2014 Q4,3.5
2015 Q1,3.1
2015 Q2,3.7
2015 Q3,2.7
2015 Q4,2.6
2016 Q1,3.4
2016 Q2,3.4
2016 Q3,3.9
2016 Q4,5
2017 Q1,4.6
2017 Q2,3.4
2017 Q3,3.4
2017 Q4,3.6
2018 Q1,3.1
2018 Q2,3.7
2018 Q3,4.2
2018 Q4,3.1
2019 Q1,3.9
2019 Q2,3.4
2019 Q3,3.1
2019 Q4,3.1
2020 Q1,1.4
2020 Q2,-13.7
2020 Q3,-3.7
