Person,Month,Hours
Lone mother,2020-04-01,-26.59119
Lone mother,2020-05-01,-25.28532
Lone mother,2020-06-01,-19.45454
Lone mother,2020-07-01,-18.16957
Lone mother,2020-09-01,-23.76142
Lone mother,2020-11-01,-25.23818
Father (couple),2020-04-01,-28.64593
Father (couple),2020-05-01,-26.19797
Father (couple),2020-06-01,-22.87907
Father (couple),2020-07-01,-22.02771
Father (couple),2020-09-01,-14.50711
Father (couple),2020-11-01,-17.12299
Mother (couple),2020-04-01,-21.38555
Mother (couple),2020-05-01,-20.72674
Mother (couple),2020-06-01,-19.19508
Mother (couple),2020-07-01,-20.3124
Mother (couple),2020-09-01,-15.38887
Mother (couple),2020-11-01,-18.40326
