Gender,Age,Change,Time period
Men,16-30,-0.1926,April to June
Men,30-40,-0.1527,April to June
Men,40-50,-0.1333,April to June
Men,50-60,-0.0833,April to June
Men,60-70,-0.1324,April to June
Men,70+,-0.0821,April to June
Men,16-30,-0.1276,July to September
Men,30-40,-0.0709,July to September
Men,40-50,-0.0617,July to September
Men,50-60,-0.0543,July to September
Men,60-70,-0.0653,July to September
Men,70+,-0.0325,July to September
Men,16-30,-0.2059,November
Men,30-40,-0.2021,November
Men,40-50,-0.2275,November
Men,50-60,-0.1559,November
Men,60-70,-0.2177,November
Men,70+,-0.162,November
