Country,Date,Vaccinated
India,2021-05-08,9.66
India,2021-05-09,9.7
India,2021-05-10,9.8
India,2021-05-11,9.9
India,2021-05-12,9.99
Pakistan,2021-02-02,0
Pakistan,2021-02-10,0.01
Pakistan,2021-02-17,0.02
Pakistan,2021-02-21,0.03
Pakistan,2021-03-14,0.16
Pakistan,2021-03-31,0.36
Pakistan,2021-04-06,0.42
Pakistan,2021-04-08,0.5
Pakistan,2021-04-13,0.59
Pakistan,2021-04-28,0.95
Pakistan,2021-05-11,1.27
Sri Lanka,2021-01-28,0
Sri Lanka,2021-01-29,0.02
Sri Lanka,2021-01-30,0.18
Sri Lanka,2021-01-31,0.28
Sri Lanka,2021-02-01,0.45
Sri Lanka,2021-02-02,0.55
Sri Lanka,2021-02-03,0.65
Sri Lanka,2021-02-04,0.68
Sri Lanka,2021-02-05,0.73
Sri Lanka,2021-02-06,0.75
Sri Lanka,2021-02-07,0.76
Sri Lanka,2021-02-08,0.78
Sri Lanka,2021-02-09,0.81
Sri Lanka,2021-02-10,0.83
Sri Lanka,2021-02-11,0.83
Sri Lanka,2021-02-12,0.84
Sri Lanka,2021-02-13,0.87
Sri Lanka,2021-02-14,0.88
Sri Lanka,2021-02-15,0.9
Sri Lanka,2021-02-16,0.92
Sri Lanka,2021-02-17,0.98
Sri Lanka,2021-02-18,1.09
Sri Lanka,2021-02-19,1.23
Sri Lanka,2021-02-20,1.41
Sri Lanka,2021-02-21,1.58
Sri Lanka,2021-02-22,1.65
Sri Lanka,2021-02-23,1.71
Sri Lanka,2021-02-24,1.84
Sri Lanka,2021-02-26,1.9
Sri Lanka,2021-02-27,2.06
Sri Lanka,2021-02-28,2.18
Sri Lanka,2021-03-01,2.38
Sri Lanka,2021-03-02,2.59
Sri Lanka,2021-03-03,2.8
Sri Lanka,2021-03-04,3.04
Sri Lanka,2021-03-05,3.27
Sri Lanka,2021-03-06,3.38
Sri Lanka,2021-03-07,3.41
Sri Lanka,2021-03-08,3.44
Sri Lanka,2021-03-09,3.47
Sri Lanka,2021-03-10,3.51
Sri Lanka,2021-03-11,3.55
Sri Lanka,2021-03-12,3.55
Sri Lanka,2021-03-13,3.6
Sri Lanka,2021-03-14,3.61
Sri Lanka,2021-03-15,3.66
Sri Lanka,2021-03-16,3.72
Sri Lanka,2021-03-17,3.77
Sri Lanka,2021-03-18,3.81
Sri Lanka,2021-03-19,3.85
Sri Lanka,2021-03-20,3.87
Sri Lanka,2021-03-21,3.88
Sri Lanka,2021-03-22,3.92
Sri Lanka,2021-03-27,4.13
Sri Lanka,2021-03-28,4.18
Sri Lanka,2021-03-29,4.18
Sri Lanka,2021-03-30,4.22
Sri Lanka,2021-03-31,4.26
Sri Lanka,2021-04-01,4.3
Sri Lanka,2021-04-02,4.31
Sri Lanka,2021-04-04,4.32
Sri Lanka,2021-04-06,4.32
Sri Lanka,2021-04-07,4.32
Sri Lanka,2021-04-09,4.32
Sri Lanka,2021-04-11,4.32
Sri Lanka,2021-04-29,4.33
Sri Lanka,2021-04-30,4.33
Sri Lanka,2021-05-01,4.33
Sri Lanka,2021-05-02,4.33
Sri Lanka,2021-05-03,4.33
Sri Lanka,2021-05-04,4.33
Sri Lanka,2021-05-05,4.33
Sri Lanka,2021-05-06,4.33
Sri Lanka,2021-05-07,4.33
Sri Lanka,2021-05-09,4.34
Sri Lanka,2021-05-10,4.35
Sri Lanka,2021-05-11,4.43
Sri Lanka,2021-05-12,4.65
Nepal,2021-02-01,0.39
Nepal,2021-02-04,0.54
Nepal,2021-02-20,1.38
Nepal,2021-03-19,5.49
Nepal,2021-04-05,5.83
Nepal,2021-04-07,6.2
Nepal,2021-04-08,6.22
Nepal,2021-04-09,6.3
Nepal,2021-04-10,6.32
Nepal,2021-04-11,6.35
Nepal,2021-04-13,6.43
Nepal,2021-04-15,6.47
Nepal,2021-04-16,6.52
Nepal,2021-04-17,6.56
Nepal,2021-04-18,6.61
Nepal,2021-04-19,6.65
Nepal,2021-04-20,6.73
Nepal,2021-04-21,6.75
Nepal,2021-04-22,6.79
Nepal,2021-04-23,6.83
Nepal,2021-04-25,6.89
Nepal,2021-04-26,6.93
Nepal,2021-04-27,7.04
Nepal,2021-04-28,7.18
Nepal,2021-05-07,7.18
