Income,Change,Percentage
All,Decreased a lot,8.49
All,Decreased moderately,8.43
All,Decreased a little,6.56
All,Stayed broadly the same,56.6
All,Unknown,9.31
All,Increased a little,5.27
All,Increased moderately,3.24
All,Increased substantially,2.16
Lowest income,Decreased a lot,10.58
Lowest income,Decreased moderately,7.42
Lowest income,Decreased a little,6.73
Lowest income,Stayed broadly the same,51.76
Lowest income,Unknown,12.01
Lowest income,Increased a little,5.69
Lowest income,Increased moderately,3.1
Lowest income,Increased substantially,2.71
2nd quintile,Decreased a lot,9.25
2nd quintile,Decreased moderately,11.74
2nd quintile,Decreased a little,6.79
2nd quintile,Stayed broadly the same,56.93
2nd quintile,Unknown,3.16
2nd quintile,Increased a little,6.35
2nd quintile,Increased moderately,3.58
2nd quintile,Increased substantially,2.21
3rd quintile,Decreased a lot,8.64
3rd quintile,Decreased moderately,8.11
3rd quintile,Decreased a little,7.88
3rd quintile,Stayed broadly the same,60.4
3rd quintile,Unknown,2.42
3rd quintile,Increased a little,7.09
3rd quintile,Increased moderately,3.42
3rd quintile,Increased substantially,2.04
4th quintile,Decreased a lot,8.49
4th quintile,Decreased moderately,7.97
4th quintile,Decreased a little,4.59
4th quintile,Stayed broadly the same,64.77
4th quintile,Unknown,1.74
4th quintile,Increased a little,7.23
4th quintile,Increased moderately,3.47
4th quintile,Increased substantially,1.74
Highest income,Decreased a lot,9.23
Highest income,Decreased moderately,7.81
Highest income,Decreased a little,6.43
Highest income,Stayed broadly the same,62.44
Highest income,Unknown,0.59
Highest income,Increased a little,7.15
Highest income,Increased moderately,4.2
Highest income,Increased substantially,2.16
