date,index,value
2001-03-01,Private sector (total),6.8
2001-04-01,Private sector (total),6.7
2001-05-01,Private sector (total),5.1
2001-06-01,Private sector (total),5.4
2001-07-01,Private sector (total),5.1
2001-08-01,Private sector (total),5.1
2001-09-01,Private sector (total),4.5
2001-10-01,Private sector (total),4.4
2001-11-01,Private sector (total),4.2
2001-12-01,Private sector (total),3.8
2002-01-01,Private sector (total),3.5
2002-02-01,Private sector (total),2.9
2002-03-01,Private sector (total),2.9
2002-04-01,Private sector (total),2.9
2002-05-01,Private sector (total),3.2
2002-06-01,Private sector (total),3.5
2002-07-01,Private sector (total),3.7
2002-08-01,Private sector (total),3.6
2002-09-01,Private sector (total),3.4
2002-10-01,Private sector (total),3
2002-11-01,Private sector (total),2.7
2002-12-01,Private sector (total),2.3
2003-01-01,Private sector (total),2.1
2003-02-01,Private sector (total),1.8
2003-03-01,Private sector (total),2.7
2003-04-01,Private sector (total),2.9
2003-05-01,Private sector (total),3.2
2003-06-01,Private sector (total),2.4
2003-07-01,Private sector (total),2.3
2003-08-01,Private sector (total),2.2
2003-09-01,Private sector (total),2.5
2003-10-01,Private sector (total),3
2003-11-01,Private sector (total),3.4
2003-12-01,Private sector (total),3.6
2004-01-01,Private sector (total),3.8
2004-02-01,Private sector (total),3.7
2004-03-01,Private sector (total),3.6
2004-04-01,Private sector (total),3.6
2004-05-01,Private sector (total),4
2004-06-01,Private sector (total),4.2
2004-07-01,Private sector (total),4.4
2004-08-01,Private sector (total),4.4
2004-09-01,Private sector (total),4.6
2004-10-01,Private sector (total),4.7
2004-11-01,Private sector (total),4.8
2004-12-01,Private sector (total),4.9
2005-01-01,Private sector (total),4.7
2005-02-01,Private sector (total),5.1
2005-03-01,Private sector (total),4.8
2005-04-01,Private sector (total),4.6
2005-05-01,Private sector (total),4
2005-06-01,Private sector (total),3.9
2005-07-01,Private sector (total),4.1
2005-08-01,Private sector (total),4.5
2005-09-01,Private sector (total),4.7
2005-10-01,Private sector (total),4.5
2005-11-01,Private sector (total),4.4
2005-12-01,Private sector (total),4.2
2006-01-01,Private sector (total),4
2006-02-01,Private sector (total),4.4
2006-03-01,Private sector (total),5
2006-04-01,Private sector (total),5.6
2006-05-01,Private sector (total),5.4
2006-06-01,Private sector (total),5.5
2006-07-01,Private sector (total),5.4
2006-08-01,Private sector (total),5
2006-09-01,Private sector (total),4.3
2006-10-01,Private sector (total),4.3
2006-11-01,Private sector (total),4.5
2006-12-01,Private sector (total),5.3
