Minority group ,Factor adjusted by,Hazard ratio,Sex
Bangladeshi,Age,3.45,Male
Bangladeshi,and geography,2.27,
Bangladeshi,and socio-economic,1.91,
Bangladeshi,and health/disability,1.71,
Bangladeshi,and hospital-based comorbidity ,1.43,
Black African,Age,3.83,
Black African,and geography,2.48,
Black African,and socio-economic,2.25,
Black African,and health/disability,2.49,
Black African,and hospital-based comorbidity ,2.51,
Black Caribbean,Age,2.83,
Black Caribbean,and geography,1.84,
Black Caribbean,and socio-economic,1.69,
Black Caribbean,and health/disability,1.67,
Black Caribbean,and hospital-based comorbidity ,1.66,
Chinese,Age,1.3,
Chinese,and geography,1.01,
Chinese,and socio-economic,1.04,
Chinese,and health/disability,1.04,
Chinese,and hospital-based comorbidity ,1.23,
Indian,Age,2.09,
Indian,and geography,1.46,
Indian,and socio-economic,1.52,
Indian,and health/disability,1.44,
Indian,and hospital-based comorbidity ,1.4,
Mixed/Multiple ethnic groups,Age,1.65,
Mixed/Multiple ethnic groups,and geography,1.33,
Mixed/Multiple ethnic groups,and socio-economic,1.23,
Mixed/Multiple ethnic groups,and health/disability,1.23,
Mixed/Multiple ethnic groups,and hospital-based comorbidity ,1.26,
Other ethnic group,Age,2.34,
Other ethnic group,and geography,1.68,
Other ethnic group,and socio-economic,1.6,
Other ethnic group,and health/disability,1.53,
Other ethnic group,and hospital-based comorbidity ,1.54,
Pakistani,Age,2.5,
Pakistani,and geography,1.72,
Pakistani,and socio-economic,1.6,
Pakistani,and health/disability,1.47,
Pakistani,and hospital-based comorbidity ,1.29,
