date,region,value
2020 Q1,England,-2.7
2020 Q2,England,-19
2020 Q3,England,17.2
2020 Q4,England,1.2
2021 Q1,England,-0.6
2021 Q2,England,4.8
2021 Q3,England,0.6
2020 Q1,Wales,-1.4
2020 Q2,Wales,-15.2
2020 Q3,Wales,14.4
2020 Q4,Wales,0.9
2021 Q1,Wales,-1.7
2021 Q2,Wales,6.2
2021 Q3,Wales,-0.3
2020 Q1,Scotland,-2.5
2020 Q2,Scotland,-19.4
2020 Q3,Scotland,16.0
2020 Q4,Scotland,2.0
2021 Q1,Scotland,-1.9
2021 Q2,Scotland,4.7
2021 Q3,Scotland,1.0
2020 Q1,Northern Ireland,-2.8
2020 Q2,Northern Ireland,-13.6
2020 Q3,Northern Ireland,15.5
2020 Q4,Northern Ireland,-1.4
2021 Q1,Northern Ireland,-1.6
2021 Q2,Northern Ireland,3.1
2021 Q3,Northern Ireland,1.5
