quarter,sector,value
Q1 2021,Agriculture,0.02
Q2 2021,Agriculture,0.02
Q3 2021,Agriculture,0.03
Q4 2021,Agriculture,0.00
Q1 2022,Agriculture,0.00
Q2 2022,Agriculture,0.00
Q3 2022,Agriculture,0.00
Q4 2022,Agriculture,0.00
Q1 2023,Agriculture,0.00
Q1 2021,Services,-1.32
Q2 2021,Services,5.18
Q3 2021,Services,0.97
Q4 2021,Services,1.25
Q1 2022,Services,0.44
Q2 2022,Services,-0.29
Q3 2022,Services,0.00
Q4 2022,Services,0.03
Q1 2023,Services,0.13
Q1 2021,Production,-0.05
Q2 2021,Production,0.09
Q3 2021,Production,0.04
Q4 2021,Production,-0.02
Q1 2022,Production,0.17
Q2 2022,Production,0.07
Q3 2022,Production,-0.21
Q4 2022,Production,-0.03
Q1 2023,Production,-0.01
Q1 2021,Construction,0.06
Q2 2021,Construction,0.25
Q3 2021,Construction,-0.09
Q4 2021,Construction,0.06
Q1 2022,Construction,0.14
Q2 2022,Construction,0.15
Q3 2022,Construction,0.04
Q4 2022,Construction,0.02
Q1 2023,Construction,-0.11
