Minority group ,Factor adjusted by,Hazard ratio,Sex
Bangladeshi,Age,3.45,Male
Black African,Age,3.83,
Black Caribbean,Age,2.83,
Chinese,Age,1.3,
Indian,Age,2.09,
Mixed/Multiple ethnic groups,Age,1.65,
Other ethnic group,Age,2.34,
Pakistani,Age,2.5,
Bangladeshi,and Geography,2.27,
Black African,and Geography,2.48,
Black Caribbean,and Geography,1.84,
Chinese,and Geography,1.01,
Indian,and Geography,1.46,
Mixed/Multiple ethnic groups,and Geography,1.33,
Other ethnic group,and Geography,1.68,
Pakistani,and Geography,1.72,
Bangladeshi,and socio-economic,1.91,
Black African,and socio-economic,2.25,
Black Caribbean,and socio-economic,1.69,
Chinese,and socio-economic,1.04,
Indian,and socio-economic,1.52,
Mixed/Multiple ethnic groups,and socio-economic,1.23,
Other ethnic group,and socio-economic,1.6,
Pakistani,and socio-economic,1.6,
Bangladeshi,and health/disability,1.71,
Black African,and health/disability,2.49,
Black Caribbean,and health/disability,1.67,
Chinese,and health/disability,1.04,
Indian,and health/disability,1.44,
Mixed/Multiple ethnic groups,and health/disability,1.23,
Other ethnic group,and health/disability,1.53,
Pakistani,and health/disability,1.47,
Bangladeshi,and hospital-based comorbidity ,1.43,
Black African,and hospital-based comorbidity ,2.51,
Black Caribbean,and hospital-based comorbidity ,1.66,
Chinese,and hospital-based comorbidity ,1.23,
Indian,and hospital-based comorbidity ,1.4,
Mixed/Multiple ethnic groups,and hospital-based comorbidity ,1.26,
Other ethnic group,and hospital-based comorbidity ,1.54,
Pakistani,and hospital-based comorbidity ,1.29,
