Year,Gender,Sickness absence (% of workhours)
1995,Male,2.6
1996,Male,2.5
1997,Male,2.6
1998,Male,2.5
1999,Male,2.6
2000,Male,2.5
2001,Male,2.5
2002,Male,2.4
2003,Male,2.5
2004,Male,2.3
2005,Male,2.2
2006,Male,2.2
2007,Male,2.1
2008,Male,2
2009,Male,1.9
2010,Male,1.8
2011,Male,1.7
2012,Male,1.7
2013,Male,1.6
2014,Male,1.6
2015,Male,1.7
2016,Male,1.6
2017,Male,1.5
2018,Male,1.6
2019,Male,1.6
2020,Male,1.5
1995,Female,3.8
1996,Female,3.6
1997,Female,3.8
1998,Female,3.6
1999,Female,3.7
2000,Female,3.5
2001,Female,3.5
2002,Female,3.5
2003,Female,3.4
2004,Female,3.3
2005,Female,3.1
2006,Female,2.9
2007,Female,3.2
2008,Female,3.1
2009,Female,3
2010,Female,2.8
2011,Female,2.6
2012,Female,2.7
2013,Female,2.6
2014,Female,2.5
2015,Female,2.6
2016,Female,2.5
2017,Female,2.4
2018,Female,2.5
2019,Female,2.4
2020,Female,2.3
