Sector,Response,Percentage
Manufacturing,Permanent WFH,-54
Water ,Permanent WFH,-52
Construction,Permanent WFH,-79
Wholesale and Retail ,Permanent WFH,-71
Transportation and Storage,Permanent WFH,-90
Accommodation and Food,Permanent WFH,-90
Information and Communication,Permanent WFH,3
Real Estate,Permanent WFH,-45
"Professional, Scientific",Permanent WFH,-13
Administrative ,Permanent WFH,-45
Education,Permanent WFH,-28
Human Health ,Permanent WFH,-54
"Arts, Entertainment",Permanent WFH,-40
All Industries,Permanent WFH,-50
