date,value1,value2
2009-10-01,25.18,0.94
2009-11-01,26.99,0.89
2009-12-01,31.42,0.99
2010-01-01,39.77,1.27
2010-02-01,35.78,1.24
2010-03-01,32.14,1.07
2010-04-01,32.79,1.17
2010-05-01,39.49,1.41
2010-06-01,42.15,1.55
2010-07-01,45.94,1.64
2010-08-01,42.61,1.48
2010-09-01,40.77,1.58
2010-10-01,46,1.64
2010-11-01,49.66,1.65
2010-12-01,62.26,2.04
2011-01-01,55.98,1.92
2011-02-01,53.74,1.84
2011-03-01,60.39,2.06
2011-04-01,57.23,2.01
2011-05-01,57.01,2.01
2011-06-01,58.25,2.02
2011-07-01,55.09,1.91
2011-08-01,54.06,1.89
2011-09-01,53.64,2.07
2011-10-01,56.05,1.97
2011-11-01,58.15,2.04
2011-12-01,56.04,1.9
2012-01-01,54.43,1.81
2012-02-01,65.41,2.24
2012-03-01,58.44,1.98
2012-04-01,59.94,2.04
2012-05-01,57.01,1.95
2012-06-01,55.15,1.92
2012-07-01,55.6,1.92
2012-08-01,54.53,1.9
2012-09-01,60.45,2.05
2012-10-01,64.35,2.15
2012-11-01,65.63,2.19
2012-12-01,65.5,2.22
2013-01-01,66.83,2.22
2013-02-01,68.88,2.25
2013-03-01,86.57,null
2013-04-01,69.98,null
2013-05-01,66.14,null
2013-06-01,60.47,null
2013-07-01,65.23,null
2013-08-01,64.65,null
2013-09-01,65.71,null
2013-10-01,65.08,null
2013-11-01,68.29,null
2013-12-01,69.35,null
2014-01-01,65.1,null
2014-02-01,58.86,null
2014-03-01,56.53,null
2014-04-01,49.89,null
2014-05-01,45.33,null
2014-06-01,39.5,null
2014-07-01,37.51,null
2014-08-01,40.61,null
2014-09-01,48.43,null
2014-10-01,50.42,null
2014-11-01,54.84,null
2014-12-01,53.62,null
2015-01-01,46.1,null
2015-02-01,50.47,null
2015-03-01,47.23,null
2015-04-01,46.86,null
2015-05-01,44.09,null
2015-06-01,43.37,null
2015-07-01,43.47,null
2015-08-01,39.69,null
2015-09-01,41.04,null
2015-10-01,39.56,null
2015-11-01,35.9,null
2015-12-01,34.03,null
2016-01-01,32.05,null
2016-02-01,29.66,null
2016-03-01,29.6,null
2016-04-01,29.44,null
2016-05-01,30.41,null
2016-06-01,34.2,null
2016-07-01,34.3,null
2016-08-01,30.36,null
2016-09-01,28.36,null
2016-10-01,42.83,null
2016-11-01,48.12,null
2016-12-01,46.53,null
2017-01-01,53.39,null
2017-02-01,51.01,null
2017-03-01,41.02,null
2017-04-01,39.73,null
2017-05-01,39.29,null
2017-06-01,34.84,null
2017-07-01,36.21,null
2017-08-01,42.57,null
2017-09-01,46,null
2017-10-01,45.4,1.61
2017-11-01,52.95,1.73
2017-12-01,58.29,1.81
2018-01-01,50.44,1.64
2018-02-01,58.96,1.63
2018-03-01,64.3,1.63
2018-04-01,50.94,1.68
2018-05-01,55.58,1.89
2018-06-01,54.97,1.91
2018-07-01,57.93,1.97
2018-08-01,62.83,2.14
2018-09-01,73.72,2.5
2018-10-01,66.53,2.3
2018-11-01,64.37,2.19
2018-12-01,63.74,2.15
2019-01-01,57.71,1.92
2019-02-01,47.09,1.58
2019-03-01,39.31,1.34
2019-04-01,34.98,1.29
2019-05-01,31.43,1.16
2019-06-01,27.96,0.97
2019-07-01,29.6,0.99
2019-08-01,27.75,1.03
2019-09-01,24.87,1.17
2019-10-01,25.65,1.36
2019-11-01,38.04,1.36
2019-12-01,32.14,1.2
2020-01-01,27.9,0.95
2020-02-01,23.5,0.76
2020-03-01,22.92,0.75
2020-04-01,13.75,0.58
2020-05-01,11.59,0.44
2020-06-01,13.18,0.48
2020-07-01,13.24,0.48
2020-08-01,20.22,0.74
2020-09-01,29.9,1.04
2020-10-01,38.23,1.28
2020-11-01,37.57,1.25
2020-12-01,45.69,1.49
2021-01-01,59.01,1.82
2021-02-01,45.94,1.52
2021-03-01,44.96,1.51
2021-04-01,54.77,1.76
2021-05-01,65.2,2.16
2021-06-01,72.01,2.51
2021-07-01,90.88,3.08
2021-08-01,110.04,3.81
2021-09-01,162.1,5.73
2021-10-01,213.76,7.74
2021-11-01,201.09,7
2021-12-01,270.96,9.77
2022-01-01,203.75,7.12
2022-02-01,187.77,6.73
