date,region,value,,,,,,,
2019 Q2,North East,100,,,,,,,
2019 Q3,North East,100,,,,,,,
2019 Q4,North East,97.85365854,,,,,,,
2020 Q1,North East,94.53658537,,,,,,,
2020 Q2,North East,78.24,,,,,,,
2020 Q3,North East,90.54,,,,,,,
2020 Q4,North East,91.99,,,,,,,
2021 Q1,North East,90.83,,,,,,,
2021 Q2,North East,97.07,,,,,,,
2019 Q2,North West,100,,,,,,,
2019 Q3,North West,99.22854388,,,,,,,
2019 Q4,North West,100.5785921,,,,,,,
2020 Q1,North West,98.84281581,,,,,,,
2020 Q2,North West,79.65,,,,,,,
2020 Q3,North West,94.99,,,,,,,
2020 Q4,North West,95.65,,,,,,,
2021 Q1,North West,94.41,,,,,,,
2021 Q2,North West,98.17,,,,,,,
2019 Q2,Yorkshire & The Humber,100,,,,,,,
2019 Q3,Yorkshire & The Humber,100.0958773,,,,,,,
2019 Q4,Yorkshire & The Humber,100,,,,,,,
2020 Q1,Yorkshire & The Humber,96.83604986,,,,,,,
2020 Q2,Yorkshire & The Humber,78.61936721,,,,,,,
2020 Q3,Yorkshire & The Humber,93.67209971,,,,,,,
2020 Q4,Yorkshire & The Humber,94.04678811,,,,,,,
2021 Q1,Yorkshire & The Humber,93.38446788,,,,,,,
2021 Q2,Yorkshire & The Humber,98.94534995,,,,,,,
2019 Q2,East Midlands,100,,,,,,,
2019 Q3,East Midlands,98.65642994,,,,,,,
2019 Q4,East Midlands,97.98464491,,,,,,,
2020 Q1,East Midlands,94.72168906,,,,,,,
2020 Q2,East Midlands,77.15930902,,,,,,,
2020 Q3,East Midlands,92.32245681,,,,,,,
2020 Q4,East Midlands,91.58387716,,,,,,,
2021 Q1,East Midlands,90.30710173,,,,,,,
2021 Q2,East Midlands,95.00959693,,,,,,,
2019 Q2,West Midlands,100,,,,,,,
2019 Q3,West Midlands,100,,,,,,,
2019 Q4,West Midlands,99.51876805,,,,,,,
2020 Q1,West Midlands,95.18768046,,,,,,,
2020 Q2,West Midlands,75.93840231,,,,,,,
2020 Q3,West Midlands,88.73917228,,,,,,,
2020 Q4,West Midlands,88.47295476,,,,,,,
2021 Q1,West Midlands,87.4879692,,,,,,,
2021 Q2,West Midlands,91.91530318,,,,,,,
2019 Q2,East of England,100,,,,,,,
2019 Q3,East of England,100.7590133,,,,,,,
2019 Q4,East of England,100.9487666,,,,,,,
2020 Q1,East of England,98.76660342,,,,,,,
2020 Q2,East of England,77.89373814,,,,,,,
2020 Q3,East of England,92.50474383,,,,,,,
2020 Q4,East of England,93.79981025,,,,,,,
2021 Q1,East of England,94.21252372,,,,,,,
2021 Q2,East of England,98.19734345,,,,,,,
2019 Q2,London,100,,,,,,,
2019 Q3,London,102.1217712,,,,,,,
2019 Q4,London,102.398524,,,,,,,
2020 Q1,London,100.4612546,,,,,,,
2020 Q2,London,83.2103321,,,,,,,
2020 Q3,London,94.2804428,,,,,,,
2020 Q4,London,97.20313653,,,,,,,
2021 Q1,London,97.1402214,,,,,,,
2021 Q2,London,101.4760148,,,,,,,
2019 Q2,South East,100,,,,,,,
2019 Q3,South East,100,,,,,,,
2019 Q4,South East,99.90319458,,,,,,,
2020 Q1,South East,96.8054211,,,,,,,
2020 Q2,South East,76.96030978,,,,,,,
2020 Q3,South East,91.77153921,,,,,,,
2020 Q4,South East,92.6892546,,,,,,,
2021 Q1,South East,91.48112294,,,,,,,
2021 Q2,South East,95.54695063,,,,,,,
2019 Q2,South West,100,,,,,,,
2019 Q3,South West,100,,,,,,,
2019 Q4,South West,100.6743738,,,,,,,
2020 Q1,South West,97.49518304,,,,,,,
2020 Q2,South West,78.99807322,,,,,,,
2020 Q3,South West,94.79768786,,,,,,,
2020 Q4,South West,94.98728324,,,,,,,
2021 Q1,South West,94.70134875,,,,,,,
2021 Q2,South West,99.61464355,,,,,,,
2019 Q2,England,100,,,,,,,
2019 Q3,England,100.4752852,,,,,,,
2019 Q4,England,100.5703422,,,,,,,
2020 Q1,England,97.90874525,,,,,,,
2020 Q2,England,79.37262357,,,,,,,
2020 Q3,England,92.96577947,,,,,,,
2020 Q4,England,94.08136882,,,,,,,
2021 Q1,England,93.44106464,,,,,,,
2021 Q2,England,97.90874525,,,,,,,
2019 Q2,Wales,100,,,,,,,
2019 Q3,Wales,99.32627526,,,,,,,
2019 Q4,Wales,97.59384023,,,,,,,
2020 Q1,Wales,96.24639076,,,,,,,
2020 Q2,Wales,81.61693936,,,,,,,
2020 Q3,Wales,93.35899904,,,,,,,
2020 Q4,Wales,94.19923003,,,,,,,
2021 Q1,Wales,92.58902791,,,,,,,
2021 Q2,Wales,98.36381136,,,,,,,
2019 Q2,Scotland,100,,,,,,,
2019 Q3,Scotland,100.0623557,,,,,,,
2019 Q4,Scotland,99.85400216,,,,,,,
2020 Q1,Scotland,96.76586678,,,,,,,
2020 Q2,Scotland,78.83540699,,,,,,,
2020 Q3,Scotland,91.20172302,,,,,,,
2020 Q4,Scotland,93.22479874,,,,,,,
2021 Q1,Scotland,91.78281457,,,,,,,
2021 Q2,Scotland,96.96106906,,,,,,,
2019 Q2,NI,100,,,,,,,
2019 Q3,NI,99.51242692,,,,,,,
2019 Q4,NI,100.7143373,,,,,,,
2020 Q1,NI,97.8523901,,,,,,,
2020 Q2,NI,82.50325979,,,,,,,
2020 Q3,NI,97.98923938,,,,,,,
2020 Q4,NI,99.33332402,,,,,,,
2021 Q1,NI,98.15891776,,,,,,,
2021 Q2,NI,101.024021,,,,,,,
